,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,100,MiniMax,1,20,"139,314名中的3,911名取得20股股份",0.56,0.028
1,100,MiniMax,2,40,"39,265名中的1,582名取得20股股份",0.81,0.0405
2,100,MiniMax,3,60,"23,720名中的1,135名取得20股股份",0.96,0.048
3,100,MiniMax,4,80,"7,002名中的412名取得20股股份",1.18,0.059
4,100,MiniMax,5,100,"10,391名中的716名取得20股股份",1.38,0.069
5,100,MiniMax,6,120,"7,508名中的589名取得20股股份",1.57,0.0785
6,100,MiniMax,7,140,"4,698名中的411名取得20股股份",1.75,0.0875
7,100,MiniMax,8,160,"4,622名中的445名取得20股股份",1.93,0.0965
8,100,MiniMax,9,180,"5,194名中的544名取得20股股份",2.09,0.1045
9,100,MiniMax,10,200,"32,223名中的3,634名取得20股股份",2.26,0.113
10,100,MiniMax,15,300,"15,651名中的2,357名取得20股股份",3.01,0.1505
11,100,MiniMax,20,400,"7,267名中的1,343名取得20股股份",3.7,0.185
12,100,MiniMax,25,500,"4,760名中的1,032名取得20股股份",4.34,0.217
13,100,MiniMax,30,600,"7,570名中的1,868名取得20股股份",4.94,0.247
14,100,MiniMax,35,700,"3,843名中的1,058名取得20股股份",5.51,0.2755
15,100,MiniMax,40,800,"3,291名中的997名取得20股股份",6.06,0.303
16,100,MiniMax,45,900,"2,495名中的822名取得20股股份",6.59,0.3295
17,100,MiniMax,50,1000,"16,195名中的5,748名取得20股股份",7.1,0.355
18,100,MiniMax,100,2000,"11,308名中的6,576名取得20股股份",11.63,0.5815
19,100,MiniMax,150,3000,"7,187名中的5,579名取得20股股份",15.52,0.776
20,100,MiniMax,200,4000,20股股份,20.0,1.0
21,100,MiniMax,250,5000,"20股股份加5,035名中的589名取得额外20股股份",22.34,1.117
22,100,MiniMax,300,6000,"20股股份加4,273名中的1,162名取得额外20股股份",25.44,1.272
23,100,MiniMax,350,7000,"20股股份加2,845名中的1,194名取得额外20股股份",28.39,1.4195
24,100,MiniMax,400,8000,"20股股份加2,524名中的1,417名取得额外20股股份",31.23,1.5615
25,100,MiniMax,450,9000,"20股股份加1,855名中的1,295名取得额外20股股份",33.96,1.698
26,100,MiniMax,500,10000,"20股股份加10,634名中的8,827名取得额外20股股份",36.6,1.83
27,100,MiniMax,1000,20000,"40股股份加6,429名中的6,419名取得额外20股股份",59.97,2.9985
28,100,MiniMax,1500,30000,"80股股份加4,886名中的13名取得额外20股股份",80.05,4.0025
29,100,MiniMax,2000,40000,100股股份,100.0,5.0
30,100,MiniMax,2500,50000,"100股股份加2,163名中的1,099名取得额外20股股份",110.16,5.508
31,100,MiniMax,3000,60000,"100股股份加1,555名中的1,494名取得额外20股股份",119.21,5.9605
32,100,MiniMax,3500,70000,"120股股份加1,027名中的383名取得额外20股股份",127.46,6.373
33,100,MiniMax,4000,80000,120股股份加759名中的571名取得额外20股股份,135.05,6.7525
34,100,MiniMax,4500,90000,140股股份加548名中的58名取得额外20股股份,142.12,7.106
35,100,MiniMax,5000,100000,"140股股份加2,167名中的949名取得额外20股股份",148.76,7.438
36,100,MiniMax,10000,200000,200股股份加864名中的38名取得额外20股股份,200.88,10.044
