代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
1021,華沿機器人,200,1,200,"46,102名申请，2,306名获发200股",10.0,0.05
1021,華沿機器人,200,2,400,"39,888名申请，3,192名获发200股",16.0,0.08
1021,華沿機器人,200,3,600,"7,784名申请，818名获发200股",21.02,0.11
1021,華沿機器人,200,4,800,"3,614名申请，434名获发200股",24.02,0.12
1021,華沿機器人,200,5,1000,"5,085名申请，712名获发200股",28.0,0.14
1021,華沿機器人,200,6,1200,"2,948名申请，425名获发200股",28.83,0.14
1021,華沿機器人,200,7,1400,"2,384名申请，368名获发200股",30.87,0.15
1021,華沿機器人,200,8,1600,"2,225名申请，356名获发200股",32.0,0.16
1021,華沿機器人,200,9,1800,"1,340名申请，225名获发200股",33.58,0.17
1021,華沿機器人,200,10,2000,"14,358名申请，2,513名获发200股",35.0,0.18
1021,華沿機器人,200,15,3000,"3,669名申请，695名获发200股",37.88,0.19
1021,華沿機器人,200,20,4000,"3,341名申请，649名获发200股",38.85,0.19
1021,華沿機器人,200,25,5000,"5,349名申请，1,070名获发200股",40.0,0.2
1021,華沿機器人,200,30,6000,"2,907名申请，594名获发200股",40.87,0.2
1021,華沿機器人,200,35,7000,"1,552名申请，326名获发200股",42.01,0.21
1021,華沿機器人,200,40,8000,"1,503名申请，325名获发200股",43.25,0.22
1021,華沿機器人,200,45,9000,"1,275名申请，287名获发200股",45.02,0.23
1021,華沿機器人,200,50,10000,"9,596名申请，2,208名获发200股",46.02,0.23
1021,華沿機器人,200,100,20000,"7,340名申请，2,056名获发200股",56.02,0.28
1021,華沿機器人,200,150,30000,"5,167名申请，1,628名获发200股",63.02,0.32
1021,華沿機器人,200,200,40000,"3,820名申请，1,331名获发200股",69.69,0.35
1021,華沿機器人,200,250,50000,"3,266名申请，1,199名获发200股",73.42,0.37
1021,華沿機器人,200,300,60000,"3,282名申请，1,379名获发200股",84.03,0.42
1021,華沿機器人,200,350,70000,"1,789名申请，814名获发200股",90.97,0.45
1021,華沿機器人,200,400,80000,"1,835名申请，881名获发200股",96.02,0.48
1021,華沿機器人,200,450,90000,"1,510名申请，748名获发200股",99.07,0.5
1021,華沿機器人,200,500,100000,"9,067名申请，4,534名获发200股",100.0,0.5
1021,華沿機器人,200,1000,200000,"9,197名申请，8,320名获发200股",180.93,0.9
1021,華沿機器人,200,1500,300000,"11,350名申请，9,080名获200股+2,270名获400股",240.0,1.2
1021,華沿機器人,200,2000,400000,"3,426名申请，2,190名获200股+1,236名获400股",272.04,1.36
1021,華沿機器人,200,2500,500000,"2,170名申请，1,084名获200股+1,086名获400股",300.09,1.5
1021,華沿機器人,200,3000,600000,"1,612名申请，605名获200股+1,007名获400股",324.94,1.62
1021,華沿機器人,200,3500,700000,960名申请，251名获200股+709名获400股,347.71,1.74
1021,華沿機器人,200,4000,800000,870名申请，137名获200股+733名获400股,368.28,1.84
1021,華沿機器人,200,4500,900000,674名申请，41名获200股+633名获400股,387.83,1.94
1021,華沿機器人,200,5000,1000000,"1,767名申请，1,767名获发400股",400.0,2.0
1021,華沿機器人,200,7500,1500000,"1,030名申请，593名获400股+437名获600股",484.85,2.42
1021,華沿機器人,200,10098,2019600,"2,018名申请，429名获400股+1,589名获600股",557.48,2.79
