,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,1276,恒瑞医药,200,1,200,"56,065名申请人中5,607名将获发200股",20.0,0.1
1,1276,恒瑞医药,200,2,400,"17,734名申请人中2,590名将获发200股",29.213,0.1461
2,1276,恒瑞医药,200,3,600,"9,873名申请人中1,859名将获发200股",37.6582,0.1883
3,1276,恒瑞医药,200,4,800,"4,464名申请人中992名将获发200股",44.4444,0.2222
4,1276,恒瑞医药,200,5,1000,"9,642名申请人中2,435名将获发200股",50.5136,0.2526
5,1276,恒瑞医药,200,6,1200,"3,250名申请人中912名将获发200股",56.1231,0.2806
6,1276,恒瑞医药,200,7,1400,"1,925名申请人中590名将获发200股",61.2987,0.3065
7,1276,恒瑞医药,200,8,1600,"1,805名申请人中598名将获发200股",66.2604,0.3313
8,1276,恒瑞医药,200,9,1800,"1,762名申请人中625名将获发200股",70.9421,0.3547
9,1276,恒瑞医药,200,10,2000,"15,938名申请人中5,998名将获发200股",75.2721,0.3764
10,1276,恒瑞医药,200,15,3000,"7,169名申请人中3,408名将获发200股",95.0822,0.4754
11,1276,恒瑞医药,200,20,4000,"6,420名申请人中3,601名将获发200股",112.1807,0.5609
12,1276,恒瑞医药,200,25,5000,"4,847名申请人中3,091名将获发200股",127.546,0.6377
13,1276,恒瑞医药,200,30,6000,"5,637名申请人中3,941名将获发200股",139.8347,0.6992
14,1276,恒瑞医药,200,35,7000,"2,542名申请人中1,940名将获发200股",152.6357,0.7632
15,1276,恒瑞医药,200,40,8000,"2,527名申请人中2,113名将获发200股",167.2742,0.8364
16,1276,恒瑞医药,200,45,9000,"1,870名申请人中1,726名将获发200股",184.5989,0.923
17,1276,恒瑞医药,200,50,10000,200股,200.0,1.0
18,1276,恒瑞医药,200,100,20000,"200股 + 7,147名申请人中2,975名将获发额外200股",283.2474,1.4162
19,1276,恒瑞医药,200,150,30000,"200股 + 3,921名申请人中3,092名将获发额外200股",357.7256,1.7886
20,1276,恒瑞医药,200,200,40000,400股,400.0,2.0
21,1276,恒瑞医药,200,250,50000,"400股 + 2,224名申请人中890名将获发额外200股",480.0359,2.4002
22,1276,恒瑞医药,200,300,60000,"400股 + 1,805名申请人中1,202名将获发额外200股",533.1856,2.6659
23,1276,恒瑞医药,200,350,70000,"400股 + 1,059名申请人中891名将获发额外200股",568.2729,2.8414
24,1276,恒瑞医药,200,400,80000,600股,600.0,3.0
25,1276,恒瑞医药,200,450,90000,600股 + 693名申请人中182名将获发额外200股,652.5255,3.2626
26,1276,恒瑞医药,200,500,100000,"600股 + 6,741名申请人中3,877名将获发额外200股",715.0316,3.5752
27,1276,恒瑞医药,200,1000,200000,"1,400股",1400.0,7.0
28,1276,恒瑞医药,200,1500,300000,"2,000股 + 1,169名申请人中229名将获发额外200股",2039.1793,10.1959
29,1276,恒瑞医药,200,2000,400000,"2,600股 + 671名申请人中242名将获发额外200股",2672.131,13.3607
30,1276,恒瑞医药,200,2500,500000,"3,200股 + 431名申请人中194名将获发额外200股",3290.0229,16.4501
31,1276,恒瑞医药,200,3000,600000,"3,800股 + 262名申请人中116名将获发额外200股",3888.5496,19.4427
32,1276,恒瑞医药,200,3500,700000,"4,400股 + 127名申请人中42名将获发额外200股",4466.1417,22.3307
33,1276,恒瑞医药,200,4000,800000,"5,000股",5000.0,25.0
34,1276,恒瑞医药,200,4500,900000,"5,400股 + 67名申请人中31名将获发额外200股",5492.5373,27.4627
35,1276,恒瑞医药,200,5000,1000000,"6,000股",6000.0,30.0
36,1276,恒瑞医药,200,10000,2000000,"11,800股",11800.0,59.0
37,1276,恒瑞医药,200,15000,3000000,"17,200股",17200.0,86.0
38,1276,恒瑞医药,200,20000,4000000,"22,400股",22400.0,112.0
39,1276,恒瑞医药,200,25000,5000000,"27,600股",27600.0,138.0
40,1276,恒瑞医药,200,30871,6174200,"33,600股",33600.0,168.0
