,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,1333,博雷顿,1,200,"12,680名中254名获发200股",3.93,0.01965
1,1333,博雷顿,2,400,"3,378名中119名获发200股",6.81,0.03405
2,1333,博雷顿,3,600,"1,671名中82名获发200股",9.36,0.0468
3,1333,博雷顿,4,800,604名中38名获发200股,11.84,0.0592
4,1333,博雷顿,5,1000,"1,385名中103名获发200股",13.84,0.0692
5,1333,博雷顿,6,1200,410名中36名获发200股,16.14,0.0807
6,1333,博雷顿,7,1400,202名中20名获发200股,18.02,0.0901
7,1333,博雷顿,8,1600,271名中30名获发200股,19.93,0.09965
8,1333,博雷顿,9,1800,165名中20名获发200股,21.62,0.1081
9,1333,博雷顿,10,2000,"2,616名中338名获发200股",22.88,0.1144
10,1333,博雷顿,15,3000,644名中116名获发200股,30.53,0.15265
11,1333,博雷顿,20,4000,677名中154名获发200股,37.06,0.1853
12,1333,博雷顿,25,5000,995名中271名获发200股,42.81,0.21405
13,1333,博雷顿,30,6000,762名中240名获发200股,47.9,0.2395
14,1333,博雷顿,35,7000,200名中72名获发200股,52.94,0.2647
15,1333,博雷顿,40,8000,263名中105名获发200股,57.07,0.28535
16,1333,博雷顿,45,9000,154名中68名获发200股,61.26,0.3063
17,1333,博雷顿,50,10000,647名中308名获发200股,64.5,0.3225
18,1333,博雷顿,60,12000,261名中144名获发200股,71.11,0.35555
19,1333,博雷顿,70,14000,143名中90名获发200股,77.25,0.38625
20,1333,博雷顿,80,16000,162名中113名获发200股,82.18,0.4109
21,1333,博雷顿,90,18000,114名中88名获发200股,87.13,0.43565
22,1333,博雷顿,100,20000,628名中522名获发200股,90.78,0.4539
23,1333,博雷顿,150,30000,380名中80名获发额外200股,134.78,0.6739
24,1333,博雷顿,200,40000,198名中92名获发额外200股,163.45,0.81725
25,1333,博雷顿,250,50000,161名中122名获发额外200股,186.22,0.9311
26,1333,博雷顿,300,60000,116名中116名获发400股,400.0,2.0
