,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,1384,滴普科技,1,200,"108,817名中的3,265名取得200股H股",6.0,0.03
1,1384,滴普科技,2,400,"14,151名中的518名取得200股H股",7.32,0.0366
2,1384,滴普科技,3,600,"6,269名中的258名取得200股H股",8.23,0.04115
3,1384,滴普科技,4,800,"4,167名中的186名取得200股H股",8.93,0.04465
4,1384,滴普科技,5,1000,"5,818名中的277名取得200股H股",9.52,0.0476
5,1384,滴普科技,6,1200,"2,310名中的116名取得200股H股",10.04,0.0502
6,1384,滴普科技,7,1400,"1,594名中的84名取得200股H股",10.54,0.0527
7,1384,滴普科技,8,1600,"1,789名中的98名取得200股H股",10.96,0.0548
8,1384,滴普科技,9,1800,"5,700名中的321名取得200股H股",11.26,0.0563
9,1384,滴普科技,10,2000,"9,376名中的543名取得200股H股",11.58,0.0579
10,1384,滴普科技,15,3000,"4,246名中的277名取得200股H股",13.05,0.06525
11,1384,滴普科技,20,4000,"4,048名中的286名取得200股H股",14.13,0.07065
12,1384,滴普科技,25,5000,"2,482名中的187名取得200股H股",15.07,0.07535
13,1384,滴普科技,30,6000,"1,840名中的146名取得200股H股",15.87,0.07935
14,1384,滴普科技,35,7000,"1,375名中的114名取得200股H股",16.58,0.0829
15,1384,滴普科技,40,8000,"1,552名中的134名取得200股H股",17.27,0.08635
16,1384,滴普科技,45,9000,"1,000名中的89名取得200股H股",17.8,0.089
17,1384,滴普科技,50,10000,"7,925名中的727名取得200股H股",18.35,0.09175
18,1384,滴普科技,100,20000,"5,940名中的665名取得200股H股",22.39,0.11195
19,1384,滴普科技,150,30000,"3,752名中的471名取得200股H股",25.11,0.12555
20,1384,滴普科技,200,40000,"3,452名中的471名取得200股H股",27.29,0.13645
21,1384,滴普科技,250,50000,"2,356名中的343名取得200股H股",29.12,0.1456
22,1384,滴普科技,300,60000,"1,889名中的290名取得200股H股",30.7,0.1535
23,1384,滴普科技,350,70000,"1,502名中的241名取得200股H股",32.09,0.16045
24,1384,滴普科技,400,80000,"1,657名中的276名取得200股H股",33.31,0.16655
25,1384,滴普科技,450,90000,"1,154名中的199名取得200股H股",34.49,0.17245
26,1384,滴普科技,500,100000,"2,536名中的450名取得200股H股",35.49,0.17745
27,1384,滴普科技,600,120000,"1,912名中的357名取得200股H股",37.34,0.1867
28,1384,滴普科技,700,140000,"1,504名中的294名取得200股H股",39.1,0.1955
29,1384,滴普科技,800,160000,"1,682名中的341名取得200股H股",40.55,0.20275
30,1384,滴普科技,900,180000,"6,166名中的1,292名取得200股H股",41.92,0.2096
