代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
1768,鳴鳴很忙,100,1,100,"61,617名申请人中的1,849名获得100股股份",3.0,0.03
1768,鳴鳴很忙,100,2,200,"25,446名申请人中的895名获得100股股份",3.52,0.0352
1768,鳴鳴很忙,100,3,300,"8,190名申请人中的289名获得100股股份",3.53,0.0353
1768,鳴鳴很忙,100,4,400,"9,550名申请人中的337名获得100股股份",3.53,0.0353
1768,鳴鳴很忙,100,5,500,"6,307名申请人中的223名获得100股股份",3.54,0.0354
1768,鳴鳴很忙,100,6,600,"3,198名申请人中的114名获得100股股份",3.56,0.0356
1768,鳴鳴很忙,100,7,700,"2,738名申请人中的98名获得100股股份",3.58,0.0358
1768,鳴鳴很忙,100,8,800,"3,047名申请人中的110名获得100股股份",3.61,0.0361
1768,鳴鳴很忙,100,9,900,"2,187名申请人中的79名获得100股股份",3.61,0.0361
1768,鳴鳴很忙,100,10,1000,"12,527名申请人中的453名获得100股股份",3.62,0.0362
1768,鳴鳴很忙,100,15,1500,"6,397名申请人中的232名获得100股股份",3.63,0.0363
1768,鳴鳴很忙,100,20,2000,"5,902名申请人中的215名获得100股股份",3.64,0.0364
1768,鳴鳴很忙,100,25,2500,"4,344名申请人中的159名获得100股股份",3.66,0.0366
1768,鳴鳴很忙,100,30,3000,"3,634名申请人中的134名获得100股股份",3.69,0.0369
1768,鳴鳴很忙,100,35,3500,"2,774名申请人中的103名获得100股股份",3.71,0.0371
1768,鳴鳴很忙,100,40,4000,"3,140名申请人中的120名获得100股股份",3.82,0.0382
1768,鳴鳴很忙,100,45,4500,"2,428名申请人中的93名获得100股股份",3.83,0.0383
1768,鳴鳴很忙,100,50,5000,"4,110名申请人中的158名获得100股股份",3.84,0.0384
1768,鳴鳴很忙,100,60,6000,"3,176名申请人中的124名获得100股股份",3.9,0.039
1768,鳴鳴很忙,100,70,7000,"2,619名申请人中的103名获得100股股份",3.93,0.0393
1768,鳴鳴很忙,100,80,8000,"2,485名申请人中的98名获得100股股份",3.94,0.0394
1768,鳴鳴很忙,100,90,9000,"2,022名申请人中的80名获得100股股份",3.96,0.0396
1768,鳴鳴很忙,100,100,10000,"12,939名申请人中的514名获得100股股份",3.97,0.0397
1768,鳴鳴很忙,100,200,20000,"11,677名申请人中的471名获得100股股份",4.03,0.0403
1768,鳴鳴很忙,100,300,30000,"9,749名申请人中的2,545名获得100股股份",26.11,0.2611
1768,鳴鳴很忙,100,400,40000,"3,518名申请人中的919名获得100股股份",26.12,0.2612
1768,鳴鳴很忙,100,500,50000,"7,067名申请人中的1,847名获得100股股份",26.14,0.2614
1768,鳴鳴很忙,100,1000,100000,"2,972名申请人中的777名获得100股股份",26.14,0.2614
1768,鳴鳴很忙,100,1500,150000,"1,214名申请人中的318名获得100股股份",26.19,0.2619
1768,鳴鳴很忙,100,2000,200000,694名申请人中的182名获得100股股份,26.22,0.2622
1768,鳴鳴很忙,100,2500,250000,338名申请人中的89名获得100股股份,26.33,0.2633
1768,鳴鳴很忙,100,3000,300000,281名申请人中的74名获得100股股份,26.33,0.2633
1768,鳴鳴很忙,100,3500,350000,173名申请人中的46名获得100股股份,26.59,0.2659
1768,鳴鳴很忙,100,4000,400000,117名申请人中的32名获得100股股份,27.35,0.2735
1768,鳴鳴很忙,100,4500,450000,81名申请人中的23名获得100股股份,28.4,0.284
1768,鳴鳴很忙,100,5000,500000,76名申请人中的22名获得100股股份,28.95,0.2895
1768,鳴鳴很忙,100,5500,550000,42名申请人中的13名获得100股股份,30.95,0.3095
1768,鳴鳴很忙,100,6000,600000,52名申请人中的17名获得100股股份,32.69,0.3269
1768,鳴鳴很忙,100,6500,650000,30名申请人中的10名获得100股股份,33.33,0.3333
1768,鳴鳴很忙,100,7051,705100,387名申请人中的137名获得100股股份,35.4,0.354
