代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
1989,廣合科技,100,1,100,"69,175名申请人中的3,459名获得100股股份",5.0,0.05
1989,廣合科技,100,2,200,"12,543名申请人中的797名获得100股股份",6.35,0.0635
1989,廣合科技,100,3,300,"6,634名申请人中的485名获得100股股份",7.31,0.0731
1989,廣合科技,100,4,400,"3,057名申请人中的247名获得100股股份",8.08,0.0808
1989,廣合科技,100,5,500,"4,377名申请人中的382名获得100股股份",8.73,0.0873
1989,廣合科技,100,6,600,"12,684名申请人中的1,178名获得100股股份",9.29,0.0929
1989,廣合科技,100,7,700,"1,845名申请人中的181名获得100股股份",9.81,0.0981
1989,廣合科技,100,8,800,"1,647名申请人中的169名获得100股股份",10.26,0.1026
1989,廣合科技,100,9,900,"1,082名申请人中的116名获得100股股份",10.72,0.1072
1989,廣合科技,100,10,1000,"9,302名申请人中的1,031名获得100股股份",11.08,0.1108
1989,廣合科技,100,15,1500,"4,075名申请人中的520名获得100股股份",12.76,0.1276
1989,廣合科技,100,20,2000,"3,724名申请人中的525名获得100股股份",14.1,0.141
1989,廣合科技,100,25,2500,"2,603名申请人中的396名获得100股股份",15.21,0.1521
1989,廣合科技,100,30,3000,"2,770名申请人中的449名获得100股股份",16.21,0.1621
1989,廣合科技,100,35,3500,"1,658名申请人中的284名获得100股股份",17.13,0.1713
1989,廣合科技,100,40,4000,"1,862名申请人中的333名获得100股股份",17.88,0.1788
1989,廣合科技,100,45,4500,"1,285名申请人中的240名获得100股股份",18.68,0.1868
1989,廣合科技,100,50,5000,"2,870名申请人中的555名获得100股股份",19.34,0.1934
1989,廣合科技,100,60,6000,"2,297名申请人中的473名获得100股股份",20.59,0.2059
1989,廣合科技,100,70,7000,"1,971名申请人中的428名获得100股股份",21.71,0.2171
1989,廣合科技,100,80,8000,"1,750名申请人中的398名获得100股股份",22.74,0.2274
1989,廣合科技,100,90,9000,"1,413名申请人中的335名获得100股股份",23.71,0.2371
1989,廣合科技,100,100,10000,"9,432名申请人中的2,315名获得100股股份",24.54,0.2454
1989,廣合科技,100,200,20000,"5,928名申请人中的1,849名获得100股股份",31.19,0.3119
1989,廣合科技,100,300,30000,"4,183名申请人中的1,501名获得100股股份",35.88,0.3588
1989,廣合科技,100,400,40000,"2,868名申请人中的1,136名获得100股股份",39.61,0.3961
1989,廣合科技,100,500,50000,"2,523名申请人中的1,080名获得100股股份",42.81,0.4281
1989,廣合科技,100,600,60000,"4,692名申请人中的2,138名获得100股股份",45.57,0.4557
1989,廣合科技,100,700,70000,"6,430名申请人中的3,601名获得100股股份",56.0,0.56
1989,廣合科技,100,800,80000,"2,108名申请人中的1,307名获得100股股份",62.0,0.62
1989,廣合科技,100,900,90000,"1,685名申请人中的1,143名获得100股股份",67.83,0.6783
1989,廣合科技,100,1000,100000,"5,916名申请人中的4,346名获得100股股份",73.46,0.7346
1989,廣合科技,100,2000,200000,"100股股份，另2,593名申请人中有634名获得额外100股股份",124.45,1.2445
1989,廣合科技,100,3000,300000,"100股股份，另1,337名申请人中有928名获得额外100股股份",169.41,1.6941
1989,廣合科技,100,4000,400000,200股股份，另577名申请人中有63名获得额外100股股份,210.92,2.1092
1989,廣合科技,100,5000,500000,200股股份，另450名申请人中有225名获得额外100股股份,250.0,2.5
1989,廣合科技,100,6000,600000,200股股份，另238名申请人中有208名获得额外100股股份,287.39,2.8739
1989,廣合科技,100,7000,700000,300股股份，另146名申请人中有34名获得额外100股股份,323.29,3.2329
1989,廣合科技,100,8000,800000,300股股份，另105名申请人中有61名获得额外100股股份,358.1,3.581
1989,廣合科技,100,9000,900000,300股股份，另68名申请人中有62名获得额外100股股份,391.18,3.9118
1989,廣合科技,100,10000,1000000,400股股份，另226名申请人中有53名获得额外100股股份,423.45,4.2345
1989,廣合科技,100,15000,1500000,500股股份，另114名申请人中有87名获得额外100股股份,576.32,5.7632
1989,廣合科技,100,20000,2000000,700股股份，另39名申请人中有7名获得额外100股股份,717.95,7.1795
1989,廣合科技,100,23000,2300000,700股股份，另135名申请人中有132名获得额外100股股份,797.78,7.9778
