代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2530,纽曼思,8000,1,8000,"5,379名申请人中有2,690名获发8,000股股份",4000.74,0.5
2530,纽曼思,8000,2,16000,"491名申请人中有275名获发8,000股股份",4480.65,0.56
2530,纽曼思,8000,3,24000,"264名申请人中有167名获发8,000股股份",5060.61,0.63
2530,纽曼思,8000,4,32000,"134名申请人中有91名获发8,000股股份",5432.84,0.68
2530,纽曼思,8000,5,40000,"533名申请人中有380名获发8,000股股份",5703.56,0.71
2530,纽曼思,8000,6,48000,"99名申请人中有74名获发8,000股股份",5979.8,0.75
2530,纽曼思,8000,7,56000,"60名申请人中有47名获发8,000股股份",6266.67,0.78
2530,纽曼思,8000,8,64000,"67名申请人中有53名获发8,000股股份",6328.36,0.79
2530,纽曼思,8000,9,72000,"42名申请人中有34名获发8,000股股份",6476.19,0.81
2530,纽曼思,8000,10,80000,"551名申请人中有458名获发8,000股股份",6649.73,0.83
2530,纽曼思,8000,15,120000,"247名申请人中有224名获发8,000股股份",7255.06,0.91
2530,纽曼思,8000,20,160000,"237名申请人中有229名获发8,000股股份",7730.0,0.97
2530,纽曼思,8000,25,200000,"179名申请人全部获发8,000股股份",8000.0,1.0
2530,纽曼思,8000,30,240000,"8,000股股份，另加89名申请人中有5名获发额外8,000股股份",8449.44,1.06
2530,纽曼思,8000,35,280000,"8,000股股份，另加80名申请人中有8名获发额外8,000股股份",8800.0,1.1
2530,纽曼思,8000,40,320000,"8,000股股份，另加50名申请人中有7名获发额外8,000股股份",9120.0,1.14
2530,纽曼思,8000,45,360000,"8,000股股份，另加45名申请人中有7名获发额外8,000股股份",9244.44,1.16
2530,纽曼思,8000,50,400000,"8,000股股份，另加132名申请人中有24名获发额外8,000股股份",9454.55,1.18
2530,纽曼思,8000,60,480000,"8,000股股份，另加82名申请人中有19名获发额外8,000股股份",9853.66,1.23
2530,纽曼思,8000,70,560000,"8,000股股份，另加43名申请人中有12名获发额外8,000股股份",10232.56,1.28
2530,纽曼思,8000,80,640000,"8,000股股份，另加23名申请人中有8名获发额外8,000股股份",10782.61,1.35
2530,纽曼思,8000,90,720000,"8,000股股份，另加31名申请人中有11名获发额外8,000股股份",10838.71,1.35
2530,纽曼思,8000,100,800000,"8,000股股份，另加218名申请人中有84名获发额外8,000股股份",11082.57,1.39
2530,纽曼思,8000,200,1600000,"8,000股股份，另加90名申请人中有55名获发额外8,000股股份",12888.89,1.61
2530,纽曼思,8000,300,2400000,"8,000股股份，另加31名申请人中有24名获发额外8,000股股份",14193.55,1.77
2530,纽曼思,8000,400,3200000,"19名申请人全部获发16,000股股份",16000.0,2.0
2530,纽曼思,8000,500,4000000,"16,000股股份，另加61名申请人中有11名获发额外8,000股股份",17442.62,2.18
2530,纽曼思,8000,600,4800000,"34名申请人全部获发544,000股股份",544000.0,68.0
2530,纽曼思,8000,700,5600000,"2名申请人全部获发632,000股股份",632000.0,79.0
2530,纽曼思,8000,800,6400000,"1名申请人全部获发720,000股股份",720000.0,90.0
2530,纽曼思,8000,900,7200000,"2名申请人全部获发808,000股股份",808000.0,101.0
2530,纽曼思,8000,1000,8000000,"3名申请人全部获发872,000股股份",872000.0,109.0
2530,纽曼思,8000,1125,9000000,"4名申请人全部获发976,000股股份",976000.0,122.0
2530,纽曼思,8000,1250,10000000,"2名申请人全部获发1,080,000股股份",1080000.0,135.0
2530,纽曼思,8000,1375,11000000,"4名申请人全部获发1,176,000股股份",1176000.0,147.0
2530,纽曼思,8000,1562,12496000,"11名申请人全部获发1,320,000股股份",1320000.0,165.0
