代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0805,新吉奥房车,2000,1,2000,"1,463名申请人中的1,171名获得2,000股股份",1600.82,0.8004
0805,新吉奥房车,2000,2,4000,"2,000股股份，加上210名申请人中的70名获得额外2,000股股份",2666.67,1.3333
0805,新吉奥房车,2000,3,6000,"2,000股股份，加上169名申请人中的135名获得额外2,000股股份",3597.63,1.7988
0805,新吉奥房车,2000,4,8000,"4,000股股份，加上55名申请人中的12名获得额外2,000股股份",4436.36,2.2182
0805,新吉奥房车,2000,5,10000,"4,000股股份，加上95名申请人中的59名获得额外2,000股股份",5242.11,2.6211
0805,新吉奥房车,2000,6,12000,"6,000股股份",6000.0,3.0
0805,新吉奥房车,2000,7,14000,"6,000股股份，加上14名申请人中的5名获得额外2,000股股份",6714.29,3.3571
0805,新吉奥房车,2000,8,16000,"6,000股股份，加上10名申请人中的7名获得额外2,000股股份",7400.0,3.7
0805,新吉奥房车,2000,9,18000,"8,000股股份，加上19名申请人中的1名获得额外2,000股股份",8105.26,4.0526
0805,新吉奥房车,2000,10,20000,"8,000股股份，加上68名申请人中的24名获得额外2,000股股份",8705.88,4.3529
0805,新吉奥房车,2000,15,30000,"10,000股股份，加上44名申请人中的38名获得额外2,000股股份",11727.27,5.8636
0805,新吉奥房车,2000,20,40000,"14,000股股份，加上32名申请人中的8名获得额外2,000股股份",14500.0,7.25
0805,新吉奥房车,2000,25,50000,"16,000股股份，加上18名申请人中的10名获得额外2,000股股份",17111.11,8.5556
0805,新吉奥房车,2000,30,60000,"18,000股股份，加上15名申请人中的12名获得额外2,000股股份",19600.0,9.8
0805,新吉奥房车,2000,35,70000,"22,000股股份",22000.0,11.0
0805,新吉奥房车,2000,40,80000,"24,000股股份，加上5名申请人中的1名获得额外2,000股股份",24400.0,12.2
0805,新吉奥房车,2000,45,90000,"26,000股股份，加上3名申请人中的1名获得额外2,000股股份",26666.67,13.3333
0805,新吉奥房车,2000,50,100000,"28,000股股份，加上19名申请人中的4名获得额外2,000股股份",28421.05,14.2105
0805,新吉奥房车,2000,60,120000,"32,000股股份，加上12名申请人中的3名获得额外2,000股股份",32500.0,16.25
0805,新吉奥房车,2000,70,140000,"36,000股股份",36000.0,18.0
0805,新吉奥房车,2000,80,160000,"40,000股股份",40000.0,20.0
0805,新吉奥房车,2000,90,180000,"44,000股股份",44000.0,22.0
0805,新吉奥房车,2000,100,200000,"48,000股股份",48000.0,24.0
0805,新吉奥房车,2000,150,300000,"64,000股股份",64000.0,32.0
0805,新吉奥房车,2000,200,400000,"78,000股股份",78000.0,39.0
0805,新吉奥房车,2000,250,500000,"94,000股股份",94000.0,47.0
0805,新吉奥房车,2000,350,700000,"120,000股股份",120000.0,60.0
0805,新吉奥房车,2000,500,1000000,"156,000股股份",156000.0,78.0
0805,新吉奥房车,2000,1500,3000000,"346,000股股份",346000.0,173.0
0805,新吉奥房车,2000,1200,2400000,"2,400,000股股份",2400000.0,1200.0
0805,新吉奥房车,2000,3600,7200000,"7,200,000股股份",7200000.0,3600.0
