代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2596,宜宾银行,1000,1,1000,"1,000股H股",1000.0,1.0
2596,宜宾银行,1000,2,2000,"2,000股H股",2000.0,2.0
2596,宜宾银行,1000,3,3000,"3,000股H股",3000.0,3.0
2596,宜宾银行,1000,4,4000,"4,000股H股",4000.0,4.0
2596,宜宾银行,1000,5,5000,"5,000股H股",5000.0,5.0
2596,宜宾银行,1000,6,6000,"6,000股H股",6000.0,6.0
2596,宜宾银行,1000,7,7000,"7,000股H股",7000.0,7.0
2596,宜宾银行,1000,8,8000,"8,000股H股",8000.0,8.0
2596,宜宾银行,1000,9,9000,"9,000股H股",9000.0,9.0
2596,宜宾银行,1000,10,10000,"10,000股H股",10000.0,10.0
2596,宜宾银行,1000,15,15000,"15,000股H股",15000.0,15.0
2596,宜宾银行,1000,20,20000,"20,000股H股",20000.0,20.0
2596,宜宾银行,1000,25,25000,"25,000股H股",25000.0,25.0
2596,宜宾银行,1000,30,30000,"30,000股H股",30000.0,30.0
2596,宜宾银行,1000,35,35000,"35,000股H股",35000.0,35.0
2596,宜宾银行,1000,40,40000,"40,000股H股",40000.0,40.0
2596,宜宾银行,1000,45,45000,"45,000股H股",45000.0,45.0
2596,宜宾银行,1000,50,50000,"50,000股H股",50000.0,50.0
2596,宜宾银行,1000,60,60000,"60,000股H股",60000.0,60.0
2596,宜宾银行,1000,70,70000,"70,000股H股",70000.0,70.0
2596,宜宾银行,1000,80,80000,"80,000股H股",80000.0,80.0
2596,宜宾银行,1000,90,90000,"90,000股H股",90000.0,90.0
2596,宜宾银行,1000,100,100000,"100,000股H股",100000.0,100.0
2596,宜宾银行,1000,200,200000,"200,000股H股",200000.0,200.0
2596,宜宾银行,1000,300,300000,"300,000股H股",300000.0,300.0
2596,宜宾银行,1000,400,400000,"400,000股H股",400000.0,400.0
2596,宜宾银行,1000,1000,1000000,"1,000,000股H股",1000000.0,1000.0
