代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数,获配百分比,有效申请数目
01364,古茗,400,1.0,400,400股股份,400.0,1.0,100.00%,7857
01364,古茗,400,2.0,800,800股股份,800.0,2.0,100.00%,2186
01364,古茗,400,3.0,1200,"1,200股股份",1200.0,3.0,100.00%,859
01364,古茗,400,4.0,1600,"1,600股股份",1600.0,4.0,100.00%,442
01364,古茗,400,5.0,2000,"2,000股股份",2000.0,5.0,100.00%,725
01364,古茗,400,6.0,2400,"2,000股股份,另加174名申请人中的6名将获分配额外的400股股份",2013.7931034482758,5.0344827586206895,83.91%,174
01364,古茗,400,7.0,2800,"2,000股股份,另加170名申请人中的8名将获分配额外的400股股份",2018.8235294117646,5.047058823529412,72.10%,170
01364,古茗,400,8.0,3200,"2,000股股份,另加184名申请人中的10名将获分配额外的400股股份",2021.7391304347825,5.054347826086956,63.18%,184
01364,古茗,400,9.0,3600,"2,000股股份,另加118名申请人中的8名将获分配额外的400股股份",2027.1186440677966,5.067796610169491,56.31%,118
01364,古茗,400,10.0,4000,"2,000股股份,另加1,492名申请人中的110名将获分配额外的400股股份",2029.490616621984,5.07372654155496,50.74%,1492
01364,古茗,400,15.0,6000,"2,000股股份,另加527名申请人中的43名将获分配额外的400股股份",2032.6375711574954,5.0815939278937385,33.88%,527
01364,古茗,400,20.0,8000,"2,000股股份,另加934名申请人中的80名将获分配额外的400股股份",2034.2612419700215,5.085653104925054,25.43%,934
01364,古茗,400,25.0,10000,"2,000股股份,另加632名申请人中的56名将获分配额外的400股股份",2035.4430379746836,5.088607594936709,20.35%,632
01364,古茗,400,30.0,12000,"2,000股股份,另加206名申请人中的19名将获分配额外的400股股份",2036.893203883495,5.092233009708738,16.97%,206
01364,古茗,400,35.0,14000,"2,000股股份,另加199名申请人中的20名将获分配额外的400股股份",2040.2010050251256,5.100502512562814,14.57%,199
01364,古茗,400,40.0,16000,"2,000股股份,另加400名申请人中的43名将获分配额外的400股股份",2043.0,5.1075,12.77%,400
01364,古茗,400,45.0,18000,"2,000股股份,另加284名申请人中的33名将获分配额外的400股股份",2046.4788732394366,5.116197183098591,11.37%,284
01364,古茗,400,50.0,20000,"2,000股股份,另加1,463名申请人中的174名将获分配额外的400股股份",2047.5734791524264,5.118933697881066,10.24%,1463
01364,古茗,400,75.0,30000,"2,000股股份,另加1,031名申请人中的123名将获分配额外的400股股份",2047.7206595538312,5.119301648884578,6.83%,1031
01364,古茗,400,100.0,40000,"2,000股股份,另加966名申请人中的116名将获分配额外的400股股份",2048.033126293996,5.12008281573499,5.12%,966
01364,古茗,400,125.0,50000,"2,000股股份,另加896名申请人中的108名将获分配额外的400股股份",2048.214285714286,5.120535714285714,4.10%,896
01364,古茗,400,150.0,60000,"2,000股股份,另加546名申请人中的66名将获分配额外的400股股份",2048.3516483516482,5.1208791208791204,3.41%,546
01364,古茗,400,175.0,70000,"2,000股股份,另加288名申请人中的35名将获分配额外的400股股份",2048.6111111111113,5.121527777777779,2.93%,288
01364,古茗,400,200.0,80000,"2,000股股份,另加422名申请人中的52名将获分配额外的400股股份",2049.2890995260664,5.123222748815166,2.56%,422
01364,古茗,400,225.0,90000,"2,000股股份,另加363名申请人中的46名将获分配额外的400股股份",2050.68870523416,5.1267217630854,2.28%,363
01364,古茗,400,250.0,100000,"2,000股股份,另加2,393名申请人中的308名将获分配额外的400股股份",2051.4834935227746,5.128708733806937,2.05%,2393
01364,古茗,400,500.0,200000,"2,000股股份,另加673名申请人中的90名将获分配额外的400股股份",2053.491827637444,5.13372956909361,1.03%,673
01364,古茗,400,750.0,300000,"2,000股股份,另加370名申请人中的54名将获分配额外的400股股份",2058.3783783783783,5.145945945945946,0.69%,370
01364,古茗,400,1000.0,400000,"2,000股股份,另加305名申请人中的88名将获分配额外的400股股份",2115.409836065574,5.288524590163934,0.53%,305
01364,古茗,400,1250.0,500000,"2,400股股份",2400.0,6.0,0.48%,343
01364,古茗,400,1500.0,600000,"24,000股股份",24000.0,60.0,4.00%,700
01364,古茗,400,1750.0,700000,"24,000股股份,另加110名申请人中的30名将获分配额外的400股股份",24109.090909090908,60.27272727272727,3.44%,110
01364,古茗,400,2000.0,800000,"24,000股股份,另加69名申请人中的33名将获分配额外的400股股份",24191.304347826088,60.47826086956522,3.02%,69
01364,古茗,400,2250.0,900000,"24,000股股份,另加64名申请人中的32名将获分配额外的400股股份",24200.0,60.5,2.69%,64
01364,古茗,400,2500.0,1000000,"24,400股股份",24400.0,61.0,2.44%,461
01364,古茗,400,5000.0,2000000,"24,400股股份,另加98名申请人中的6名将获分配额外的400股股份",24424.48979591837,61.061224489795926,1.22%,98
01364,古茗,400,7500.0,3000000,"24,400股股份,另加33名申请人中的3名将获分配额外的400股股份",24436.363636363636,61.09090909090909,0.81%,33
01364,古茗,400,10000.0,4000000,"24,400股股份,另加30名申请人中的3名将获分配额外的400股股份",24440.0,61.1,0.61%,30
01364,古茗,400,12500.0,5000000,"24,400股股份,另加15名申请人中的2名将获分配额外的400股股份",24453.333333333332,61.13333333333333,0.49%,15
01364,古茗,400,15000.0,6000000,"24,400股股份,另加8名申请人中的2名将获分配额外的400股股份",24500.0,61.25,0.41%,8
01364,古茗,400,17500.0,7000000,"24,400股股份,另加6名申请人中的2名将获分配额外的400股股份",24533.333333333332,61.33333333333333,0.35%,6
01364,古茗,400,19826.0,7930400,"24,800股股份",24800.0,62.0,0.31%,44
