代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2097,蜜雪集团,100,1.0,100,"93,805名申请人中有7,504名获得100股股份",7.999573583497681,0.07999573583497681
2097,蜜雪集团,100,2.0,200,"18,091名申请人中有1,483名获得100股股份",8.197446243988724,0.08197446243988724
2097,蜜雪集团,100,3.0,300,"10,299名申请人中有865名获得100股股份",8.398873677056025,0.08398873677056025
2097,蜜雪集团,100,4.0,400,"14,101名申请人中有1,213名获得100股股份",8.60222679242607,0.0860222679242607
2097,蜜雪集团,100,5.0,500,"11,581名申请人中有1,019名获得100股股份",8.798894741386754,0.08798894741386754
2097,蜜雪集团,100,6.0,600,"1,382名申请人中有125名获得100股股份",9.044862518089724,0.09044862518089725
2097,蜜雪集团,100,7.0,700,980名申请人中有90名获得100股股份,9.183673469387756,0.09183673469387756
2097,蜜雪集团,100,8.0,800,"2,397名申请人中有224名获得100股股份",9.345014601585316,0.09345014601585316
2097,蜜雪集团,100,9.0,900,"1,156名申请人中有110名获得100股股份",9.515570934256056,0.09515570934256055
2097,蜜雪集团,100,10.0,1000,"9,252名申请人中有925名获得100股股份",9.997838305231301,0.09997838305231302
2097,蜜雪集团,100,15.0,1500,"2,408名申请人中有343名获得100股股份",14.244186046511627,0.14244186046511628
2097,蜜雪集团,100,20.0,2000,"3,909名申请人中有704名获得100股股份",18.00972115630596,0.1800972115630596
2097,蜜雪集团,100,25.0,2500,"3,476名申请人中有739名获得100股股份",21.26006904487917,0.2126006904487917
2097,蜜雪集团,100,30.0,3000,"2,366名申请人中有568名获得100股股份",24.00676246830093,0.2400676246830093
2097,蜜雪集团,100,35.0,3500,"1,441名申请人中有378名获得100股股份",26.23178348369188,0.26231783483691884
2097,蜜雪集团,100,40.0,4000,"1,546名申请人中有433名获得100股股份",28.00776196636481,0.2800776196636481
2097,蜜雪集团,100,45.0,4500,"1,925名申请人中有563名获得100股股份",29.246753246753247,0.2924675324675325
2097,蜜雪集团,100,50.0,5000,"3,078名申请人中有923名获得100股股份",29.987004548408056,0.2998700454840806
2097,蜜雪集团,100,60.0,6000,"1,632名申请人中有539名获得100股股份",33.02696078431372,0.33026960784313725
2097,蜜雪集团,100,70.0,7000,"1,368名申请人中有479名获得100股股份",35.014619883040936,0.35014619883040937
2097,蜜雪集团,100,80.0,8000,"1,235名申请人中有454名获得100股股份",36.76113360323887,0.36761133603238866
2097,蜜雪集团,100,90.0,9000,"1,135名申请人中有439名获得100股股份",38.6784140969163,0.38678414096916297
2097,蜜雪集团,100,100.0,10000,"10,246名申请人中有4,098名获得100股股份",39.99609603747804,0.3999609603747804
2097,蜜雪集团,100,150.0,15000,"4,978名申请人中有2,837名获得100股股份",56.99075934110084,0.5699075934110084
2097,蜜雪集团,100,200.0,20000,"22,304名申请人中有15,595名获得100股股份",69.92019368723099,0.6992019368723099
2097,蜜雪集团,100,250.0,25000,"10,258名申请人中有3,077名获得100股股份",29.996100604406315,0.29996100604406317
2097,蜜雪集团,100,500.0,50000,"5,967名申请人中有3,282名获得100股股份",55.00251382604324,0.5500251382604324
2097,蜜雪集团,100,750.0,75000,"3,126名申请人中有2,345名获得100股股份",75.01599488163788,0.7501599488163788
2097,蜜雪集团,100,1000.0,100000,"6,916名申请人中有6,224名获得100股股份",89.99421631000578,0.8999421631000578
2097,蜜雪集团,100,2000.0,200000,"100股股份加3,331名申请人中有1,999名获得额外100股股份",160.0120084058841,1.600120084058841
2097,蜜雪集团,100,3000.0,300000,200股股份,200.0,2.0
2097,蜜雪集团,100,4000.0,400000,200股股份加937名申请人中有225名获得额外100股股份,224.0128068303095,2.240128068303095
2097,蜜雪集团,100,5000.0,500000,"200股股份加1,113名申请人中有334名获得额外100股股份",230.00898472596586,2.3000898472596587
2097,蜜雪集团,100,6000.0,600000,200股股份加591名申请人中有201名获得额外100股股份,234.01015228426397,2.3401015228426396
2097,蜜雪集团,100,7000.0,700000,200股股份加576名申请人中有219名获得额外100股股份,238.02083333333331,2.380208333333333
2097,蜜雪集团,100,8530.0,853000,"200股股份加4,597名申请人中有2,807名获得额外100股股份",261.06156188818795,2.6106156188818797
