代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
6693,赤峰黄金,200,1.0,200,"11,782名中3,299名获发200股股份",56.000679001867255,0.2800033950093363
6693,赤峰黄金,200,2.0,400,"2,579名中1,333名获发200股股份",103.37340054284607,0.5168670027142304
6693,赤峰黄金,200,3.0,600,"2,565名中1,955名获发200股股份",152.4366471734893,0.7621832358674464
6693,赤峰黄金,200,4.0,800,200股股份,200.0,1.0
6693,赤峰黄金,200,5.0,1000,"200股股份加2,142名中364名获发额外200股股份",233.98692810457516,1.1699346405228759
6693,赤峰黄金,200,6.0,1200,200股股份加845名中316名获发额外200股股份,274.79289940828403,1.3739644970414202
6693,赤峰黄金,200,7.0,1400,200股股份加451名中262名获发额外200股股份,316.1862527716186,1.5809312638580932
6693,赤峰黄金,200,8.0,1600,200股股份加367名中291名获发额外200股股份,358.58310626702996,1.79291553133515
6693,赤峰黄金,200,9.0,1800,400股股份,400.0,2.0
6693,赤峰黄金,200,10.0,2000,"400股股份加1,999名中40名获发额外200股股份",404.00200100050023,2.020010005002501
6693,赤峰黄金,200,15.0,3000,400股股份加906名中498名获发额外200股股份,509.9337748344371,2.5496688741721854
6693,赤峰黄金,200,20.0,4000,600股股份,600.0,3.0
6693,赤峰黄金,200,25.0,5000,600股股份加480名中216名获发额外200股股份,690.0,3.45
6693,赤峰黄金,200,30.0,6000,800股股份,800.0,4.0
6693,赤峰黄金,200,35.0,7000,800股股份加199名中89名获发额外200股股份,889.4472361809045,4.447236180904523
6693,赤峰黄金,200,40.0,8000,"1,000股股份",1000.0,5.0
6693,赤峰黄金,200,45.0,9000,"1,000股股份加114名中51名获发额外200股股份",1089.4736842105262,5.447368421052631
6693,赤峰黄金,200,50.0,10000,"1,200股股份",1200.0,6.0
6693,赤峰黄金,200,100.0,20000,"1,200股股份加479名中383名获发额外200股股份",1359.9164926931107,6.799582463465554
6693,赤峰黄金,200,150.0,30000,"1,400股股份",1400.0,7.0
6693,赤峰黄金,200,200.0,40000,"1,600股股份",1600.0,8.0
6693,赤峰黄金,200,250.0,50000,"2,000股股份",2000.0,10.0
6693,赤峰黄金,200,300.0,60000,"2,200股股份",2200.0,11.0
6693,赤峰黄金,200,350.0,70000,"2,400股股份",2400.0,12.0
6693,赤峰黄金,200,400.0,80000,"2,600股股份",2600.0,13.0
6693,赤峰黄金,200,450.0,90000,"2,800股股份",2800.0,14.0
6693,赤峰黄金,200,500.0,100000,"3,000股股份",3000.0,15.0
6693,赤峰黄金,200,1000.0,200000,"4,600股股份",4600.0,23.0
6693,赤峰黄金,200,1500.0,300000,"6,200股股份",6200.0,31.0
6693,赤峰黄金,200,2000.0,400000,"69,800股股份",69800.0,349.0
6693,赤峰黄金,200,2500.0,500000,"86,000股股份",86000.0,430.0
6693,赤峰黄金,200,5000.0,1000000,"167,000股股份",167000.0,835.0
6693,赤峰黄金,200,7500.0,1500000,"240,800股股份",240800.0,1204.0
6693,赤峰黄金,200,10000.0,2000000,"320,000股股份",320000.0,1600.0
6693,赤峰黄金,200,12500.0,2500000,"400,000股股份",400000.0,2000.0
6693,赤峰黄金,200,17500.0,3500000,"560,000股股份",560000.0,2800.0
6693,赤峰黄金,200,22500.0,4500000,"720,000股股份",720000.0,3600.0
