代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2561,维昇药业-B,100,1.0,100,"10,312名申请者中647名接获100股股份",6.274243599689682,0.06274243599689683
2561,维昇药业-B,100,2.0,200,"2,140名申请者中268名接获100股股份",12.523364485981308,0.1252336448598131
2561,维昇药业-B,100,3.0,300,"1,152名申请者中216名接获100股股份",18.75,0.1875
2561,维昇药业-B,100,4.0,400,634名申请者中158名接获100股股份,24.9211356466877,0.24921135646687698
2561,维昇药业-B,100,5.0,500,893名申请者中278名接获100股股份,31.131019036954086,0.3113101903695409
2561,维昇药业-B,100,6.0,600,512名申请者中191名接获100股股份,37.3046875,0.373046875
2561,维昇药业-B,100,7.0,700,225名申请者中97名接获100股股份,43.111111111111114,0.43111111111111117
2561,维昇药业-B,100,8.0,800,232名申请者中114名接获100股股份,49.13793103448276,0.4913793103448276
2561,维昇药业-B,100,9.0,900,138名申请者中76名接获100股股份,55.072463768115945,0.5507246376811594
2561,维昇药业-B,100,10.0,1000,"1,581名申请者中967名接获100股股份",61.16382036685642,0.6116382036685643
2561,维昇药业-B,100,15.0,1500,483名申请者中443名接获100股股份,91.7184265010352,0.917184265010352
2561,维昇药业-B,100,20.0,2000,100股股份，另加544名申请者中120名接获额外100股股份,122.05882352941177,1.2205882352941178
2561,维昇药业-B,100,25.0,2500,100股股份，另加290名申请者中152名接获额外100股股份,152.41379310344828,1.524137931034483
2561,维昇药业-B,100,30.0,3000,100股股份，另加665名申请者中551名接获额外100股股份,182.85714285714286,1.8285714285714285
2561,维昇药业-B,100,35.0,3500,200股股份，另加133名申请者中17名接获额外100股股份,212.78195488721803,2.1278195488721803
2561,维昇药业-B,100,40.0,4000,200股股份，另加325名申请者中140名接获额外100股股份,243.0769230769231,2.430769230769231
2561,维昇药业-B,100,45.0,4500,200股股份，另加75名申请者中55名接获额外100股股份,273.3333333333333,2.733333333333333
2561,维昇药业-B,100,50.0,5000,300股股份，另加395名申请者中13名接获额外100股股份,303.2911392405063,3.032911392405063
2561,维昇药业-B,100,60.0,6000,300股股份，另加169名申请者中108名接获额外100股股份,363.905325443787,3.63905325443787
2561,维昇药业-B,100,70.0,7000,400股股份，另加110名申请者中27名接获额外100股股份,424.54545454545456,4.245454545454546
2561,维昇药业-B,100,80.0,8000,400股股份，另加81名申请者中68名接获额外100股股份,483.9506172839506,4.8395061728395055
2561,维昇药业-B,100,90.0,9000,500股股份，另加49名申请者中21名接获额外100股股份,542.8571428571429,5.428571428571429
2561,维昇药业-B,100,100.0,10000,600股股份，另加499名申请者中9名接获额外100股股份,601.8036072144289,6.018036072144289
2561,维昇药业-B,100,200.0,20000,"1,200股股份，另加210名申请者中7名接获额外100股股份",1203.3333333333333,12.033333333333333
2561,维昇药业-B,100,300.0,30000,"1,800股股份，另加131名申请者中2名接获额外100股股份",1801.526717557252,18.015267175572518
2561,维昇药业-B,100,400.0,40000,"2,400股股份，另加51名申请者中2名接获额外100股股份",2403.921568627451,24.03921568627451
2561,维昇药业-B,100,500.0,50000,"3,000股股份，另加45名申请者中2名接获额外100股股份",3004.4444444444443,30.044444444444444
2561,维昇药业-B,100,600.0,60000,"3,600股股份，另加64名申请者中5名接获额外100股股份",3607.8125,36.078125
2561,维昇药业-B,100,700.0,70000,"4,600股股份，另加76名申请者中35名接获额外100股股份",4646.0526315789475,46.46052631578947
2561,维昇药业-B,100,800.0,80000,"5,300股股份，另加10名申请者中1名接获额外100股股份",5310.0,53.1
2561,维昇药业-B,100,900.0,90000,"5,900股股份，另加8名申请者中6名接获额外100股股份",5975.0,59.75
2561,维昇药业-B,100,1000.0,100000,"6,600股股份，另加37名申请者中13名接获额外100股股份",6635.135135135135,66.35135135135135
2561,维昇药业-B,100,1500.0,150000,"9,900股股份，另加20名申请者中11名接获额外100股股份",9955.0,99.55
2561,维昇药业-B,100,2000.0,200000,"13,200股股份，另加12名申请者中9名接获额外100股股份",13275.0,132.75
2561,维昇药业-B,100,2500.0,250000,"16,600股股份",16600.0,166.0
2561,维昇药业-B,100,3000.0,300000,"19,900股股份，另加9名申请者中1名接获额外100股股份",19911.11111111111,199.1111111111111
2561,维昇药业-B,100,3500.0,350000,"23,200股股份，另加3名申请者中1名接获额外100股股份",23233.333333333332,232.33333333333331
2561,维昇药业-B,100,4000.0,400000,"26,500股股份，另加2名申请者中1名接获额外100股股份",26550.0,265.5
2561,维昇药业-B,100,4500.0,450000,"29,900股股份",29900.0,299.0
2561,维昇药业-B,100,4950.0,495000,"32,800股股份，另加25名申请者中8名接获额外100股股份",32832.0,328.32
