代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2610,NANSHAN AL INTL,100,1.0,100,100股股份,100.0,1.0
2610,NANSHAN AL INTL,100,2.0,200,"100股股份，另加1,225名申请人中的490名将获分配额外的100股股份",140.0,1.4
2610,NANSHAN AL INTL,100,3.0,300,100股股份，另加984名申请人中的737名将获分配额外的100股股份,174.89837398373984,1.7489837398373984
2610,NANSHAN AL INTL,100,4.0,400,200股股份,200.0,2.0
2610,NANSHAN AL INTL,100,5.0,500,200股股份，另加670名申请人中的235名将获分配额外的100股股份,235.07462686567163,2.3507462686567164
2610,NANSHAN AL INTL,100,6.0,600,200股股份，另加277名申请人中的211名将获分配额外的100股股份,276.17328519855596,2.7617328519855597
2610,NANSHAN AL INTL,100,7.0,700,300股股份,300.0,3.0
2610,NANSHAN AL INTL,100,8.0,800,300股股份，另加151名申请人中的55名将获分配额外的100股股份,336.42384105960264,3.3642384105960264
2610,NANSHAN AL INTL,100,9.0,900,300股股份，另加94名申请人中的65名将获分配额外的100股股份,369.1489361702128,3.6914893617021276
2610,NANSHAN AL INTL,100,10.0,1000,400股股份,400.0,4.0
2610,NANSHAN AL INTL,100,15.0,1500,500股股份,500.0,5.0
2610,NANSHAN AL INTL,100,20.0,2000,600股股份,600.0,6.0
2610,NANSHAN AL INTL,100,25.0,2500,700股股份,700.0,7.0
2610,NANSHAN AL INTL,100,30.0,3000,800股股份,800.0,8.0
2610,NANSHAN AL INTL,100,35.0,3500,800股股份，另加85名申请人中的49名将获分配额外的100股股份,857.6470588235294,8.576470588235294
2610,NANSHAN AL INTL,100,40.0,4000,900股股份,900.0,9.0
2610,NANSHAN AL INTL,100,45.0,4500,"1,000股股份",1000.0,10.0
2610,NANSHAN AL INTL,100,50.0,5000,"1,000股股份，另加192名申请人中的96名将获分配额外的100股股份",1050.0,10.5
2610,NANSHAN AL INTL,100,60.0,6000,"1,100股股份，另加93名申请人中的55名将获分配额外的100股股份",1159.1397849462367,11.591397849462366
2610,NANSHAN AL INTL,100,70.0,7000,"1,300股股份",1300.0,13.0
2610,NANSHAN AL INTL,100,80.0,8000,"1,300股股份，另加43名申请人中的33名将获分配额外的100股股份",1376.7441860465117,13.767441860465118
2610,NANSHAN AL INTL,100,90.0,9000,"1,400股股份，另加26名申请人中的20名将获分配额外的100股股份",1476.923076923077,14.769230769230768
2610,NANSHAN AL INTL,100,100.0,10000,"1,500股股份，另加226名申请人中的159名将获分配额外的100股股份",1570.353982300885,15.70353982300885
2610,NANSHAN AL INTL,100,200.0,20000,"2,200股股份",2200.0,22.0
2610,NANSHAN AL INTL,100,300.0,30000,"2,900股股份",2900.0,29.0
2610,NANSHAN AL INTL,100,400.0,40000,"3,600股股份",3600.0,36.0
2610,NANSHAN AL INTL,100,500.0,50000,"4,300股股份",4300.0,43.0
2610,NANSHAN AL INTL,100,600.0,60000,"5,000股股份",5000.0,50.0
2610,NANSHAN AL INTL,100,700.0,70000,"5,700股股份",5700.0,57.0
2610,NANSHAN AL INTL,100,800.0,80000,"6,400股股份",6400.0,64.0
2610,NANSHAN AL INTL,100,900.0,90000,"7,100股股份",7100.0,71.0
2610,NANSHAN AL INTL,100,1000.0,100000,"7,800股股份",7800.0,78.0
2610,NANSHAN AL INTL,100,2000.0,200000,"69,100股股份",69100.0,691.0
2610,NANSHAN AL INTL,100,3000.0,300000,"103,600股股份",103600.0,1036.0
2610,NANSHAN AL INTL,100,4000.0,400000,"137,900股股份",137900.0,1379.0
2610,NANSHAN AL INTL,100,5000.0,500000,"172,300股股份",172300.0,1723.0
2610,NANSHAN AL INTL,100,6000.0,600000,"206,700股股份",206700.0,2067.0
2610,NANSHAN AL INTL,100,7000.0,700000,"241,000股股份",241000.0,2410.0
2610,NANSHAN AL INTL,100,10000.0,1000000,"344,000股股份",344000.0,3440.0
