代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2569,舒宝国际,5000,1.0,5000,"7,128名申请人中2,139名获发5,000股",1500.4208754208755,0.3000841750841751
2569,舒宝国际,5000,2.0,10000,"1,638名申请人中625名获发5,000股",1907.8144078144078,0.38156288156288154
2569,舒宝国际,5000,3.0,15000,"1,645名申请人中721名获发5,000股",2191.4893617021276,0.4382978723404255
2569,舒宝国际,5000,4.0,20000,"831名申请人中403名获发5,000股",2424.789410348977,0.4849578820697954
2569,舒宝国际,5000,5.0,25000,"527名申请人中276名获发5,000股",2618.595825426945,0.523719165085389
2569,舒宝国际,5000,6.0,30000,"474名申请人中264名获发5,000股",2784.8101265822784,0.5569620253164557
2569,舒宝国际,5000,7.0,35000,"246名申请人中145名获发5,000股",2947.1544715447153,0.589430894308943
2569,舒宝国际,5000,8.0,40000,"233名申请人中144名获发5,000股",3090.1287553648067,0.6180257510729613
2569,舒宝国际,5000,9.0,45000,"120名申请人中77名获发5,000股",3208.3333333333335,0.6416666666666667
2569,舒宝国际,5000,10.0,50000,"1,077名申请人中715名获发5,000股",3319.405756731662,0.6638811513463324
2569,舒宝国际,5000,12.0,60000,"272名申请人中193名获发5,000股",3547.794117647059,0.7095588235294118
2569,舒宝国际,5000,14.0,70000,"149名申请人中112名获发5,000股",3758.3892617449665,0.7516778523489933
2569,舒宝国际,5000,16.0,80000,"614名申请人中480名获发5,000股",3908.7947882736157,0.7817589576547231
2569,舒宝国际,5000,18.0,90000,"134名申请人中109名获发5,000股",4067.1641791044776,0.8134328358208955
2569,舒宝国际,5000,20.0,100000,"1,115名申请人中940名获发5,000股",4215.2466367713005,0.8430493273542601
2569,舒宝国际,5000,30.0,150000,"839名申请人中813名获发5,000股",4845.0536352800955,0.9690107270560191
2569,舒宝国际,5000,40.0,200000,"5,000股",5000.0,1.0
2569,舒宝国际,5000,50.0,250000,"5,000股加283名申请人中45名获发额外5,000股",5795.053003533569,1.1590106007067138
2569,舒宝国际,5000,60.0,300000,"5,000股加218名申请人中51名获发额外5,000股",6169.724770642202,1.2339449541284404
2569,舒宝国际,5000,70.0,350000,"5,000股加156名申请人中47名获发额外5,000股",6506.410256410256,1.301282051282051
2569,舒宝国际,5000,80.0,400000,"5,000股加122名申请人中44名获发额外5,000股",6803.2786885245905,1.3606557377049182
2569,舒宝国际,5000,90.0,450000,"5,000股加75名申请人中32名获发额外5,000股",7133.333333333334,1.4266666666666667
2569,舒宝国际,5000,100.0,500000,"5,000股加407名申请人中191名获发额外5,000股",7346.437346437347,1.4692874692874693
2569,舒宝国际,5000,120.0,600000,"5,000股加125名申请人中71名获发额外5,000股",7840.0,1.568
2569,舒宝国际,5000,140.0,700000,"5,000股加82名申请人中54名获发额外5,000股",8292.682926829268,1.6585365853658536
2569,舒宝国际,5000,160.0,800000,"5,000股加101名申请人中74名获发额外5,000股",8663.366336633662,1.7326732673267324
2569,舒宝国际,5000,180.0,900000,"5,000股加63名申请人中51名获发额外5,000股",9047.619047619048,1.8095238095238095
2569,舒宝国际,5000,200.0,1000000,"10,000股",10000.0,2.0
2569,舒宝国际,5000,400.0,2000000,"10,000股加159名申请人中35名获发额外5,000股",11100.62893081761,2.2201257861635217
2569,舒宝国际,5000,600.0,3000000,"10,000股加82名申请人中60名获发额外5,000股",13658.536585365853,2.7317073170731705
2569,舒宝国际,5000,800.0,4000000,"15,000股",15000.0,3.0
2569,舒宝国际,5000,1000.0,5000000,"15,000股加36名申请人中9名获发额外5,000股",16250.0,3.25
2569,舒宝国际,5000,1200.0,6000000,"15,000股加18名申请人中9名获发额外5,000股",17500.0,3.5
2569,舒宝国际,5000,1400.0,7000000,"15,000股加11名申请人中8名获发额外5,000股",18636.363636363636,3.727272727272727
2569,舒宝国际,5000,1600.0,8000000,"15,000股加25名申请人中21名获发额外5,000股",19200.0,3.84
2569,舒宝国际,5000,1800.0,9000000,"470,000股加50名申请人中9名获发额外5,000股",470900.0,94.18
2569,舒宝国际,5000,2000.0,10000000,"515,000股",515000.0,103.0
2569,舒宝国际,5000,2200.0,11000000,"565,000股",565000.0,113.0
2569,舒宝国际,5000,2500.0,12500000,"640,000股",640000.0,128.0
