代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2625,江苏宏信,1000,1.0,1000,"4,199名申请人中有164名获得1,000股股份",39.05691831388426,0.03905691831388426
2625,江苏宏信,1000,2.0,2000,"701名申请人中有54名获得1,000股股份",77.03281027104137,0.07703281027104138
2625,江苏宏信,1000,3.0,3000,"679名申请人中有77名获得1,000股股份",113.4020618556701,0.1134020618556701
2625,江苏宏信,1000,4.0,4000,"221名申请人中有33名获得1,000股股份",149.3212669683258,0.1493212669683258
2625,江苏宏信,1000,5.0,5000,"360名申请人中有67名获得1,000股股份",186.11111111111111,0.18611111111111112
2625,江苏宏信,1000,6.0,6000,"167名申请人中有37名获得1,000股股份",221.5568862275449,0.2215568862275449
2625,江苏宏信,1000,7.0,7000,"105名申请人中有27名获得1,000股股份",257.14285714285717,0.2571428571428572
2625,江苏宏信,1000,8.0,8000,"78名申请人中有22名获得1,000股股份",282.05128205128204,0.28205128205128205
2625,江苏宏信,1000,9.0,9000,"51名申请人中有16名获得1,000股股份",313.72549019607845,0.3137254901960784
2625,江苏宏信,1000,10.0,10000,"500名申请人中有173名获得1,000股股份",346.0,0.346
2625,江苏宏信,1000,15.0,15000,"215名申请人中有111名获得1,000股股份",516.2790697674419,0.5162790697674419
2625,江苏宏信,1000,20.0,20000,"256名申请人中有175名获得1,000股股份",683.59375,0.68359375
2625,江苏宏信,1000,25.0,25000,"111名申请人中有94名获得1,000股股份",846.8468468468468,0.8468468468468469
2625,江苏宏信,1000,30.0,30000,"1,000股股份",1000.0,1.0
2625,江苏宏信,1000,35.0,35000,"1,000股股份加114名申请人中有14名获得额外1,000股股份",1122.8070175438597,1.1228070175438598
2625,江苏宏信,1000,40.0,40000,"1,000股股份加84名申请人中有20名获得额外1,000股股份",1238.095238095238,1.2380952380952381
2625,江苏宏信,1000,45.0,45000,"1,000股股份加48名申请人中有17名获得额外1,000股股份",1354.1666666666667,1.3541666666666667
2625,江苏宏信,1000,50.0,50000,"1,000股股份加126名申请人中有60名获得额外1,000股股份",1476.1904761904761,1.476190476190476
2625,江苏宏信,1000,60.0,60000,"1,000股股份加126名申请人中有93名获得额外1,000股股份",1738.095238095238,1.7380952380952381
2625,江苏宏信,1000,70.0,70000,"2,000股股份",2000.0,2.0
2625,江苏宏信,1000,80.0,80000,"2,000股股份加37名申请人中有6名获得额外1,000股股份",2162.162162162162,2.1621621621621623
2625,江苏宏信,1000,90.0,90000,"2,000股股份加30名申请人中有10名获得额外1,000股股份",2333.3333333333335,2.3333333333333335
2625,江苏宏信,1000,100.0,100000,"2,000股股份加143名申请人中有72名获得额外1,000股股份",2503.4965034965035,2.5034965034965033
2625,江苏宏信,1000,150.0,150000,"2,000股股份加156名申请人中有109名获得额外1,000股股份",2698.7179487179487,2.698717948717949
2625,江苏宏信,1000,200.0,200000,"3,000股股份",3000.0,3.0
2625,江苏宏信,1000,250.0,250000,"3,000股股份加30名申请人中有12名获得额外1,000股股份",3400.0,3.4
2625,江苏宏信,1000,300.0,300000,"4,000股股份",4000.0,4.0
2625,江苏宏信,1000,350.0,350000,"4,000股股份加21名申请人中有10名获得额外1,000股股份",4476.190476190476,4.476190476190476
2625,江苏宏信,1000,400.0,400000,"5,000股股份",5000.0,5.0
2625,江苏宏信,1000,450.0,450000,"5,000股股份加4名申请人中有2名获得额外1,000股股份",5500.0,5.5
2625,江苏宏信,1000,500.0,500000,"6,000股股份",6000.0,6.0
2625,江苏宏信,1000,600.0,600000,"6,000股股份加5名申请人中有2名获得额外1,000股股份",6400.0,6.4
2625,江苏宏信,1000,700.0,700000,"7,000股股份",7000.0,7.0
2625,江苏宏信,1000,800.0,800000,"8,000股股份",8000.0,8.0
2625,江苏宏信,1000,900.0,900000,"9,000股股份",9000.0,9.0
2625,江苏宏信,1000,1000.0,1000000,"10,000股股份",10000.0,10.0
2625,江苏宏信,1000,1250.0,1250000,"11,000股股份",11000.0,11.0
2625,江苏宏信,1000,1500.0,1500000,"12,000股股份",12000.0,12.0
2625,江苏宏信,1000,1750.0,1750000,"587,000股股份加5名申请人中有2名获得额外1,000股股份",587400.0,587.4
2625,江苏宏信,1000,2250.0,2250000,"754,000股股份加2名申请人中有1名获得额外1,000股股份",754500.0,754.5
