代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2589,沪上阿姨,30,1.0,30,"23,133名中2,313名获发30股股份",2.9996109454026714,0.09998703151342238
2589,沪上阿姨,30,2.0,60,"12,541名中1,317名获发30股股份",3.1504664699784706,0.10501554899928235
2589,沪上阿姨,30,3.0,90,"6,728名中737名获发30股股份",3.286266349583829,0.10954221165279429
2589,沪上阿姨,30,4.0,120,"3,454名中394名获发30股股份",3.4221192819918933,0.11407064273306311
2589,沪上阿姨,30,5.0,150,"4,145名中491名获发30股股份",3.5536791314837153,0.11845597104945718
2589,沪上阿姨,30,6.0,180,"3,075名中387名获发30股股份",3.7756097560975608,0.12585365853658537
2589,沪上阿姨,30,7.0,210,"1,697名中220名获发30股股份",3.889216263995286,0.1296405421331762
2589,沪上阿姨,30,8.0,240,"1,403名中191名获发30股股份",4.084105488239487,0.13613684960798292
2589,沪上阿姨,30,9.0,270,"1,192名中166名获发30股股份",4.177852348993288,0.13926174496644295
2589,沪上阿姨,30,10.0,300,"10,645名中1,544名获发30股股份",4.351338656646313,0.1450446218882104
2589,沪上阿姨,30,15.0,450,"3,105名中466名获发30股股份",4.502415458937198,0.15008051529790659
2589,沪上阿姨,30,20.0,600,"3,197名中512名获发30股股份",4.80450422270879,0.16015014075695966
2589,沪上阿姨,30,25.0,750,"3,457名中605名获发30股股份",5.250216951113682,0.1750072317037894
2589,沪上阿姨,30,30.0,900,"4,186名中753名获发30股股份",5.396559961777353,0.1798853320592451
2589,沪上阿姨,30,35.0,1050,"1,386名中252名获发30股股份",5.454545454545454,0.1818181818181818
2589,沪上阿姨,30,40.0,1200,"1,296名中238名获发30股股份",5.5092592592592595,0.18364197530864199
2589,沪上阿姨,30,45.0,1350,"1,029名中199名获发30股股份",5.801749271137027,0.1933916423712342
2589,沪上阿姨,30,50.0,1500,"2,584名中504名获发30股股份",5.851393188854489,0.19504643962848298
2589,沪上阿姨,30,60.0,1800,"2,407名中477名获发30股股份",5.945159950145409,0.1981719983381803
2589,沪上阿姨,30,70.0,2100,"1,580名中321名获发30股股份",6.094936708860759,0.20316455696202532
2589,沪上阿姨,30,80.0,2400,"1,349名中281名获发30股股份",6.2490733876945885,0.20830244625648628
2589,沪上阿姨,30,90.0,2700,"1,125名中243名获发30股股份",6.48,0.21600000000000003
2589,沪上阿姨,30,100.0,3000,"5,375名中1,183名获发30股股份",6.602790697674418,0.22009302325581395
2589,沪上阿姨,30,150.0,4500,"3,550名中852名获发30股股份",7.2,0.24000000000000002
2589,沪上阿姨,30,200.0,6000,"2,441名中635名获发30股股份",7.8041786153215895,0.2601392871773863
2589,沪上阿姨,30,250.0,7500,"1,874名中562名获发30股股份",8.996798292422625,0.2998932764140875
2589,沪上阿姨,30,300.0,9000,"1,794名中592名获发30股股份",9.899665551839465,0.3299888517279822
2589,沪上阿姨,30,350.0,10500,"1,194名中418名获发30股股份",10.50251256281407,0.3500837520938023
2589,沪上阿姨,30,400.0,12000,969名中349名获发30股股份,10.804953560371517,0.3601651186790506
2589,沪上阿姨,30,450.0,13500,761名中277名获发30股股份,10.919842312746386,0.3639947437582129
2589,沪上阿姨,30,500.0,15000,"1,400名中511名获发30股股份",10.95,0.365
2589,沪上阿姨,30,600.0,18000,"1,080名中402名获发30股股份",11.166666666666666,0.3722222222222222
2589,沪上阿姨,30,700.0,21000,749名中283名获发30股股份,11.335113484646195,0.37783711615487314
2589,沪上阿姨,30,800.0,24000,652名中250名获发30股股份,11.503067484662576,0.3834355828220859
2589,沪上阿姨,30,900.0,27000,544名中211名获发30股股份,11.636029411764707,0.38786764705882354
2589,沪上阿姨,30,1000.0,30000,"2,397名中959名获发30股股份",12.002503128911139,0.4000834376303713
2589,沪上阿姨,30,1500.0,45000,60股股份,60.0,2.0
2589,沪上阿姨,30,2000.0,60000,60股股份加上996名中398名获发额外30股股份,71.98795180722891,2.399598393574297
2589,沪上阿姨,30,2500.0,75000,60股股份加上631名中473名获发额外30股股份,82.48811410459588,2.7496038034865293
2589,沪上阿姨,30,3000.0,90000,90股股份,90.0,3.0
2589,沪上阿姨,30,3500.0,105000,90股股份加上286名中53名获发额外30股股份,95.55944055944056,3.1853146853146854
2589,沪上阿姨,30,4019.0,120570,"90股股份加上1,631名中480名获发额外30股股份",98.82893930104231,3.2942979767014102
