代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
3750,宁德时代,100,1.0,100,"105,175人中有10,518人获发100股股份",10.000475398145948,0.10000475398145948
3750,宁德时代,100,2.0,200,"33,234人中有3,638人获发100股股份",10.94662093037251,0.10946620930372511
3750,宁德时代,100,3.0,300,"18,622人中有2,570人获发100股股份",13.800880678767049,0.1380088067876705
3750,宁德时代,100,4.0,400,"13,693人中有2,191人获发100股股份",16.000876360184037,0.16000876360184038
3750,宁德时代,100,5.0,500,"15,533人中有2,641人获发100股股份",17.002510783493207,0.17002510783493208
3750,宁德时代,100,6.0,600,"5,531人中有962人获发100股股份",17.392876514192732,0.17392876514192732
3750,宁德时代,100,7.0,700,"4,773人中有869人获发100股股份",18.206578671694952,0.18206578671694953
3750,宁德时代,100,8.0,800,"4,600人中有883人获发100股股份",19.195652173913043,0.19195652173913044
3750,宁德时代,100,9.0,900,"2,947人中有584人获发100股股份",19.81676280963692,0.1981676280963692
3750,宁德时代,100,10.0,1000,"35,843人中有7,169人获发100股股份",20.001115978015232,0.20001115978015233
3750,宁德时代,100,20.0,2000,"16,383人中有4,915人获发100股股份",30.000610388817677,0.3000061038881768
3750,宁德时代,100,30.0,3000,"7,834人中有2,585人获发100股股份",32.997191728363546,0.32997191728363545
3750,宁德时代,100,40.0,4000,"5,779人中有2,080人获发100股股份",35.99238622599066,0.3599238622599066
3750,宁德时代,100,50.0,5000,"4,620人中有1,733人获发100股股份",37.510822510822514,0.37510822510822517
3750,宁德时代,100,60.0,6000,"2,525人中有985人获发100股股份",39.00990099009901,0.3900990099009901
3750,宁德时代,100,70.0,7000,"1,993人中有837人获发100股股份",41.996989463120926,0.41996989463120926
3750,宁德时代,100,80.0,8000,"1,901人中有836人获发100股股份",43.97685428721726,0.4397685428721726
3750,宁德时代,100,90.0,9000,"1,233人中有544人获发100股股份",44.12003244120032,0.44120032441200324
3750,宁德时代,100,100.0,10000,"9,559人中有4,302人获发100股股份",45.00470760539805,0.45004707605398053
3750,宁德时代,100,200.0,20000,"100股股份，另加10,463人中有235人获发额外100股股份",102.24600974863806,1.0224600974863807
3750,宁德时代,100,300.0,30000,"100股股份，另加2,529人中有1,340人获发额外100股股份",152.98536971134837,1.5298536971134837
3750,宁德时代,100,400.0,40000,"200股股份，另加1,732人中有69人获发额外100股股份",203.9838337182448,2.039838337182448
3750,宁德时代,100,500.0,50000,200股股份，另加987人中有543人获发额外100股股份,255.01519756838906,2.5501519756838906
3750,宁德时代,100,600.0,60000,300股股份，另加577人中有35人获发额外100股股份,306.06585788561523,3.0606585788561524
3750,宁德时代,100,700.0,70000,300股股份，另加411人中有234人获发额外100股股份,356.93430656934305,3.5693430656934306
3750,宁德时代,100,800.0,80000,400股股份，另加388人中有31人获发额外100股股份,407.9896907216495,4.079896907216495
3750,宁德时代,100,900.0,90000,400股股份，另加202人中有119人获发额外100股股份,458.91089108910893,4.589108910891089
3750,宁德时代,100,1000.0,100000,"500股股份，另加1,005人中有101人获发额外100股股份",510.0497512437811,5.100497512437811
3750,宁德时代,100,2000.0,200000,"1,000股股份，另加361人中有72人获发额外100股股份",1019.9445983379501,10.199445983379501
3750,宁德时代,100,3000.0,300000,"1,500股股份，另加126人中有38人获发额外100股股份",1530.1587301587301,15.3015873015873
3750,宁德时代,100,4000.0,400000,"2,000股股份，另加70人中有28人获发额外100股股份",2040.0,20.4
3750,宁德时代,100,5000.0,500000,"2,500股股份，另加66人中有33人获发额外100股股份",2550.0,25.5
3750,宁德时代,100,6000.0,600000,"3,000股股份，另加20人中有12人获发额外100股股份",3060.0,30.6
3750,宁德时代,100,7000.0,700000,"3,500股股份，另加17人中有12人获发额外100股股份",3570.5882352941176,35.705882352941174
3750,宁德时代,100,8000.0,800000,"4,000股股份，另加16人中有13人获发额外100股股份",4081.25,40.8125
3750,宁德时代,100,9000.0,900000,"4,500股股份，另加7人中有6人获发额外100股股份",4585.714285714285,45.857142857142854
3750,宁德时代,100,10000.0,1000000,"5,100股股份",5100.0,51.0
3750,宁德时代,100,15000.0,1500000,"7,600股股份，另加7人中4人获发额外100股股份",7657.142857142857,76.57142857142857
3750,宁德时代,100,20000.0,2000000,"10,200股股份",10200.0,102.0
3750,宁德时代,100,25000.0,2500000,"12,700股股份，另加4人中有2人获发额外100股股份",12750.0,127.5
3750,宁德时代,100,30000.0,3000000,"15,300股股份",15300.0,153.0
3750,宁德时代,100,40000.0,4000000,"20,400股股份",20400.0,204.0
3750,宁德时代,100,44210.0,4421000,"22,100股股份，另加21人中有1人获发额外100股股份",22104.761904761905,221.04761904761904
