代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2621,手回集团,400,1.0,400,"16,607名申请人中831名获发400股股份",20.015656048654183,0.050039140121635454
2621,手回集团,400,2.0,800,"3,459名申请人中254名获发400股股份",29.37265105521827,0.07343162763804567
2621,手回集团,400,3.0,1200,"5,170名申请人中474名获发400股股份",36.67311411992263,0.09168278529980657
2621,手回集团,400,4.0,1600,"1,381名申请人中149名获发400股股份",43.15713251267198,0.10789283128167995
2621,手回集团,400,5.0,2000,"2,180名申请人中265名获发400股股份",48.62385321100918,0.12155963302752294
2621,手回集团,400,6.0,2400,"1,145名申请人中154名获发400股股份",53.799126637554586,0.13449781659388646
2621,手回集团,400,7.0,2800,679名申请人中100名获发400股股份,58.910162002945505,0.14727540500736377
2621,手回集团,400,8.0,3200,750名申请人中118名获发400股股份,62.93333333333333,0.15733333333333333
2621,手回集团,400,9.0,3600,558名申请人中94名获发400股股份,67.38351254480287,0.16845878136200718
2621,手回集团,400,10.0,4000,"3,390名申请人中603名获发400股股份",71.15044247787611,0.17787610619469027
2621,手回集团,400,15.0,6000,"1,811名申请人中403名获发400股股份",89.01159580342352,0.2225289895085588
2621,手回集团,400,20.0,8000,"1,213名申请人中317名获发400股股份",104.53421269579555,0.26133553173948887
2621,手回集团,400,25.0,10000,"1,123名申请人中331名获发400股股份",117.89848619768478,0.2947462154942119
2621,手回集团,400,30.0,12000,"1,179名申请人中385名获发400股股份",130.61916878710772,0.32654792196776933
2621,手回集团,400,35.0,14000,723名申请人中257名获发400股股份,142.1853388658368,0.355463347164592
2621,手回集团,400,40.0,16000,491名申请人中188名获发400股股份,153.15682281059063,0.38289205702647655
2621,手回集团,400,45.0,18000,328名申请人中134名获发400股股份,163.41463414634146,0.40853658536585363
2621,手回集团,400,50.0,20000,"1,760名申请人中761名获发400股股份",172.95454545454547,0.4323863636363637
2621,手回集团,400,75.0,30000,"1,121名申请人中606名获发400股股份",216.23550401427298,0.5405887600356825
2621,手回集团,400,100.0,40000,"1,098名申请人中695名获发400股股份",253.18761384335156,0.6329690346083789
2621,手回集团,400,125.0,50000,680名申请人中487名获发400股股份,286.47058823529414,0.7161764705882354
2621,手回集团,400,150.0,60000,725名申请人中574名获发400股股份,316.6896551724138,0.7917241379310345
2621,手回集团,400,175.0,70000,328名申请人中283名获发400股股份,345.1219512195122,0.8628048780487805
2621,手回集团,400,200.0,80000,510名申请人中473名获发400股股份,370.98039215686276,0.9274509803921569
2621,手回集团,400,225.0,90000,240名申请人中238名获发400股股份,396.6666666666667,0.9916666666666667
2621,手回集团,400,250.0,100000,400股股份,400.0,1.0
2621,手回集团,400,500.0,200000,400股股份加上896名申请人中703名获发额外400股股份,713.8392857142858,1.7845982142857144
2621,手回集团,400,750.0,300000,400股股份加上493名申请人中454名获发额外400股股份,768.3569979716024,1.9208924949290058
2621,手回集团,400,1000.0,400000,800股股份,800.0,2.0
2621,手回集团,400,1250.0,500000,800股股份加上190名申请人中72名获发额外400股股份,951.578947368421,2.3789473684210525
2621,手回集团,400,1500.0,600000,800股股份加上354名申请人中248名获发额外400股股份,1080.225988700565,2.7005649717514126
2621,手回集团,400,1750.0,700000,"4,000股股份加上701名申请人中301名获发额外400股股份",4171.754636233952,10.42938659058488
2621,手回集团,400,2000.0,800000,"4,400股股份",4400.0,11.0
2621,手回集团,400,2250.0,900000,"4,800股股份",4800.0,12.0
2621,手回集团,400,2500.0,1000000,"5,200股股份",5200.0,13.0
2621,手回集团,400,2750.0,1100000,"5,600股股份",5600.0,14.0
2621,手回集团,400,3045.0,1218000,"6,000股股份",6000.0,15.0
