,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9881,容大科技,500,1,500,"11,565名中739名获发500股股份",31.95,0.06
1,9881,容大科技,500,2,1000,"2,089名中159名获发500股股份",38.06,0.08
2,9881,容大科技,500,3,1500,950名中81名获发500股股份,42.63,0.09
3,9881,容大科技,500,4,2000,"1,033名中94名获发500股股份",45.5,0.09
4,9881,容大科技,500,5,2500,639名中62名获发500股股份,48.51,0.1
5,9881,容大科技,500,6,3000,407名中41名获发500股股份,50.37,0.1
6,9881,容大科技,500,7,3500,316名中34名获发500股股份,53.8,0.11
7,9881,容大科技,500,8,4000,768名中84名获发500股股份,54.69,0.11
8,9881,容大科技,500,9,4500,186名中21名获发500股股份,56.45,0.11
9,9881,容大科技,500,10,5000,958名中111名获发500股股份,57.93,0.12
10,9881,容大科技,500,12,6000,224名中28名获发500股股份,62.5,0.13
11,9881,容大科技,500,14,7000,251名中32名获发500股股份,63.75,0.13
12,9881,容大科技,500,16,8000,329名中44名获发500股股份,66.87,0.13
13,9881,容大科技,500,18,9000,356名中48名获发500股股份,67.42,0.13
14,9881,容大科技,500,20,10000,897名中125名获发500股股份,69.68,0.14
15,9881,容大科技,500,30,15000,570名中89名获发500股股份,78.07,0.16
16,9881,容大科技,500,40,20000,485名中81名获发500股股份,83.51,0.17
17,9881,容大科技,500,50,25000,315名中56名获发500股股份,88.89,0.18
18,9881,容大科技,500,60,30000,229名中43名获发500股股份,93.89,0.19
19,9881,容大科技,500,70,35000,108名中22名获发500股股份,101.85,0.2
20,9881,容大科技,500,80,40000,145名中30名获发500股股份,103.45,0.21
21,9881,容大科技,500,90,45000,66名中14名获发500股股份,106.06,0.21
22,9881,容大科技,500,100,50000,291名中64名获发500股股份,109.97,0.22
23,9881,容大科技,500,120,60000,135名中31名获发500股股份,114.81,0.23
24,9881,容大科技,500,140,70000,55名中14名获发500股股份,127.27,0.25
25,9881,容大科技,500,160,80000,69名中18名获发500股股份,130.43,0.26
26,9881,容大科技,500,180,90000,98名中26名获发500股股份,132.65,0.27
27,9881,容大科技,500,200,100000,237名中64名获发500股股份,135.02,0.27
28,9881,容大科技,500,400,200000,103名中60名获发500股股份,291.26,0.58
29,9881,容大科技,500,600,300000,36名中36名获发500股股份,500.0,1.0
