代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2617,TRANSTHERA-B,500,1.0,500,"48,850名申请人获0股H股，394名申请人获500股H股",4.032753326509724,0.008065506653019448
2617,TRANSTHERA-B,500,2.0,1000,"10,766名申请人获0股H股，117名申请人获500股H股",5.433772989039569,0.010867545978079138
2617,TRANSTHERA-B,500,3.0,1500,"8,473名申请人获0股H股，110名申请人获500股H股",6.49120736456981,0.01298241472913962
2617,TRANSTHERA-B,500,4.0,2000,"3,344名申请人获0股H股，49名申请人获500股H股",7.326555023923445,0.01465311004784689
2617,TRANSTHERA-B,500,5.0,2500,"3,066名申请人获0股H股，50名申请人获500股H股",8.153946510110893,0.016307893020221786
2617,TRANSTHERA-B,500,6.0,3000,"2,049名申请人获0股H股，36名申请人获500股H股",8.784773060029282,0.017569546120058566
2617,TRANSTHERA-B,500,7.0,3500,"3,378名申请人获0股H股，64名申请人获500股H股",9.473060982830077,0.018946121965660156
2617,TRANSTHERA-B,500,8.0,4000,"1,465名申请人获0股H股，29名申请人获500股H股",9.897610921501707,0.019795221843003415
2617,TRANSTHERA-B,500,9.0,4500,849名申请人获0股H股，18名申请人获500股H股,10.60070671378092,0.02120141342756184
2617,TRANSTHERA-B,500,10.0,5000,"5,083名申请人获0股H股，111名申请人获500股H股",10.918748770411174,0.021837497540822346
2617,TRANSTHERA-B,500,12.0,6000,"1,695名申请人获0股H股，40名申请人获500股H股",11.799410029498524,0.02359882005899705
2617,TRANSTHERA-B,500,14.0,7000,"2,333名申请人获0股H股，59名申请人获500股H股",12.64466352336048,0.02528932704672096
2617,TRANSTHERA-B,500,16.0,8000,"1,967名申请人获0股H股，53名申请人获500股H股",13.472292831723436,0.026944585663446874
2617,TRANSTHERA-B,500,18.0,9000,"1,089名申请人获0股H股，31名申请人获500股H股",14.23324150596878,0.02846648301193756
2617,TRANSTHERA-B,500,20.0,10000,"5,464名申请人获0股H股，161名申请人获500股H股",14.732796486090775,0.02946559297218155
2617,TRANSTHERA-B,500,30.0,15000,"3,761名申请人获0股H股，133名申请人获500股H股",17.68146769476203,0.035362935389524064
2617,TRANSTHERA-B,500,40.0,20000,"2,951名申请人获0股H股，118名申请人获500股H股",19.993222636394442,0.039986445272788884
2617,TRANSTHERA-B,500,50.0,25000,"2,297名申请人获0股H股，102名申请人获500股H股",22.20287331301698,0.04440574662603396
2617,TRANSTHERA-B,500,60.0,30000,"1,688名申请人获0股H股，81名申请人获500股H股",23.992890995260662,0.04798578199052132
2617,TRANSTHERA-B,500,70.0,35000,"1,365名申请人获0股H股，71名申请人获500股H股",26.007326007326007,0.05201465201465202
2617,TRANSTHERA-B,500,80.0,40000,"1,538名申请人获0股H股，84名申请人获500股H股",27.30819245773732,0.05461638491547464
2617,TRANSTHERA-B,500,90.0,45000,795名申请人获0股H股，46名申请人获500股H股,28.930817610062892,0.05786163522012579
2617,TRANSTHERA-B,500,100.0,50000,"2,346名申请人获0股H股，142名申请人获500股H股",30.264279624893437,0.060528559249786874
2617,TRANSTHERA-B,500,120.0,60000,"1,259名申请人获0股H股，83名申请人获500股H股",32.9626687847498,0.0659253375694996
2617,TRANSTHERA-B,500,140.0,70000,"1,170名申请人获0股H股，82名申请人获500股H股",35.042735042735046,0.07008547008547009
2617,TRANSTHERA-B,500,160.0,80000,"1,036名申请人获0股H股，78名申请人获500股H股",37.64478764478765,0.07528957528957529
2617,TRANSTHERA-B,500,180.0,90000,578名申请人获0股H股，46名申请人获500股H股,39.792387543252595,0.07958477508650519
2617,TRANSTHERA-B,500,200.0,100000,"2,425名申请人获0股H股，200名申请人获500股H股",41.23711340206186,0.08247422680412372
2617,TRANSTHERA-B,500,300.0,150000,"1,350名申请人获0股H股，135名申请人获500股H股",50.0,0.1
2617,TRANSTHERA-B,500,400.0,200000,972名申请人获0股H股，111名申请人获500股H股,57.098765432098766,0.11419753086419754
2617,TRANSTHERA-B,500,500.0,250000,720名申请人获0股H股，92名申请人获500股H股,63.888888888888886,0.12777777777777777
2617,TRANSTHERA-B,500,600.0,300000,441名申请人获0股H股，62名申请人获500股H股,70.29478458049887,0.14058956916099774
2617,TRANSTHERA-B,500,700.0,350000,457名申请人获0股H股，69名申请人获500股H股,75.49234135667396,0.15098468271334792
2617,TRANSTHERA-B,500,800.0,400000,"971名申请人获0股H股，1,238名申请人获500股H股",637.4871266735324,1.274974253347065
2617,TRANSTHERA-B,500,900.0,450000,131名申请人获0股H股，170名申请人获500股H股,648.8549618320611,1.2977099236641223
2617,TRANSTHERA-B,500,1000.0,500000,290名申请人获0股H股，383名申请人获500股H股,660.3448275862069,1.3206896551724137
2617,TRANSTHERA-B,500,1200.0,600000,157名申请人获0股H股，215名申请人获500股H股,684.7133757961783,1.3694267515923566
2617,TRANSTHERA-B,500,1400.0,700000,85名申请人获0股H股，120名申请人获500股H股,705.8823529411765,1.411764705882353
2617,TRANSTHERA-B,500,1528.0,764000,659名申请人获0股H股，931名申请人获500股H股,706.3732928679818,1.4127465857359636
