,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6168,周六福,100,1,100,"29,034名中237名获发100股股份",0.816,0.008
1,6168,周六福,100,2,200,"6,077名中98名获发100股股份",1.613,0.016
2,6168,周六福,100,3,300,"9,428名中229名获发100股股份",2.429,0.024
3,6168,周六福,100,4,400,"3,505名中113名获发100股股份",3.224,0.032
4,6168,周六福,100,5,500,"4,370名中177名获发100股股份",4.05,0.041
5,6168,周六福,100,6,600,"1,732名中84名获发100股股份",4.85,0.049
6,6168,周六福,100,7,700,"1,343名中76名获发100股股份",5.66,0.057
7,6168,周六福,100,8,800,"1,801名中117名获发100股股份",6.497,0.065
8,6168,周六福,100,9,900,"1,103名中80名获发100股股份",7.253,0.073
9,6168,周六福,100,10,1000,"10,373名中839名获发100股股份",8.09,0.081
10,6168,周六福,100,15,1500,"3,684名中447名获发100股股份",12.133,0.121
11,6168,周六福,100,20,2000,"5,350名中865名获发100股股份",16.168,0.162
12,6168,周六福,100,25,2500,"1,598名中323名获发100股股份",20.213,0.202
13,6168,周六福,100,30,3000,"2,208名中536名获发100股股份",24.275,0.243
14,6168,周六福,100,35,3500,"1,376名中390名获发100股股份",28.343,0.283
15,6168,周六福,100,40,4000,"2,780名中899名获发100股股份",32.338,0.323
16,6168,周六福,100,45,4500,"1,319名中480名获发100股股份",36.391,0.364
17,6168,周六福,100,50,5000,"2,790名中1,128名获发100股股份",40.43,0.404
18,6168,周六福,100,60,6000,"1,721名中835名获发100股股份",48.518,0.485
19,6168,周六福,100,70,7000,"1,366名中773名获发100股股份",56.588,0.566
20,6168,周六福,100,80,8000,"1,715名中1,110名获发100股股份",64.723,0.647
21,6168,周六福,100,90,9000,"1,058名中770名获发100股股份",72.779,0.728
22,6168,周六福,100,100,10000,"9,168名中7,416名获发100股股份",80.893,0.809
23,6168,周六福,100,200,20000,"4,993名中3,084名获发额外100股股份",161.786,1.618
24,6168,周六福,100,300,30000,"2,461名中1,050名获发额外100股股份",242.682,2.427
25,6168,周六福,100,400,40000,"1,693名中399名获发额外100股股份",323.568,3.236
26,6168,周六福,100,500,50000,"1,484名中66名获发额外100股股份",404.447,4.044
27,6168,周六福,100,600,60000,795名中678名获发额外100股股份,485.283,4.853
28,6168,周六福,100,700,70000,610名中404名获发额外100股股份,566.23,5.662
29,6168,周六福,100,800,80000,606名中285名获发额外100股股份,647.03,6.47
30,6168,周六福,100,900,90000,489名中137名获发额外100股股份,728.016,7.28
31,6168,周六福,100,1000,100000,"2,810名中249名获发额外100股股份",808.862,8.089
32,6168,周六福,100,2000,200000,"2,222名中395名获发额外100股股份",1617.776,16.178
