代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
9678,云知声,20,1.0,20,"11,713名申请人中有1,172名获发20股H股",2.0011952531375394,0.10005976265687697
9678,云知声,20,2.0,40,"3,424名申请人中有570名获发20股H股",3.3294392523364484,0.16647196261682243
9678,云知声,20,3.0,60,"1,000名申请人中有224名获发20股H股",4.48,0.22400000000000003
9678,云知声,20,4.0,80,540名申请人中有150名获发20股H股,5.555555555555555,0.2777777777777778
9678,云知声,20,5.0,100,"1,383名申请人中有451名获发20股H股",6.522053506869125,0.32610267534345627
9678,云知声,20,6.0,120,265名申请人中有99名获发20股H股,7.471698113207547,0.3735849056603774
9678,云知声,20,7.0,140,208名申请人中有87名获发20股H股,8.365384615384615,0.4182692307692307
9678,云知声,20,8.0,160,173名申请人中有80名获发20股H股,9.248554913294798,0.46242774566473993
9678,云知声,20,9.0,180,132名申请人中有67名获发20股H股,10.151515151515152,0.5075757575757576
9678,云知声,20,10.0,200,"1,970名申请人中有1,066名获发20股H股",10.82233502538071,0.5411167512690355
9678,云知声,20,15.0,300,517名申请人中有377名获发20股H股,14.584139264990329,0.7292069632495164
9678,云知声,20,20.0,400,549名申请人中有494名获发20股H股,17.996357012750455,0.8998178506375227
9678,云知声,20,25.0,500,20股H股，另加588名申请人中有35名获发额外20股H股,21.19047619047619,1.0595238095238095
9678,云知声,20,30.0,600,20股H股，另加312名申请人中有66名获发额外20股H股,24.23076923076923,1.2115384615384615
9678,云知声,20,35.0,700,20股H股，另加142名申请人中有51名获发额外20股H股,27.183098591549296,1.3591549295774648
9678,云知声,20,40.0,800,20股H股，另加182名申请人中有91名获发额外20股H股,30.0,1.5
9678,云知声,20,45.0,900,20股H股，另加122名申请人中有77名获发额外20股H股,32.622950819672134,1.6311475409836067
9678,云知声,20,50.0,1000,20股H股，另加915名申请人中有697名获发额外20股H股,35.23497267759563,1.7617486338797814
9678,云知声,20,100.0,2000,40股H股，另加404名申请人中有375名获发额外20股H股,58.56435643564356,2.928217821782178
9678,云知声,20,150.0,3000,60股H股，另加180名申请人中有170名获发额外20股H股,78.88888888888889,3.944444444444444
9678,云知声,20,200.0,4000,80股H股，另加136名申请人中有118名获发额外20股H股,97.35294117647058,4.867647058823529
9678,云知声,20,250.0,5000,100股H股，另加120名申请人中有88名获发额外20股H股,114.66666666666667,5.733333333333333
9678,云知声,20,300.0,6000,120股H股，另加71名申请人中有40名获发额外20股H股,131.26760563380282,6.563380281690141
9678,云知声,20,350.0,7000,140股H股，另加36名申请人中有13名获发额外20股H股,147.22222222222223,7.361111111111112
9678,云知声,20,400.0,8000,160股H股，另加42名申请人中有4名获发额外20股H股,161.9047619047619,8.095238095238095
9678,云知声,20,450.0,9000,160股H股，另加18名申请人中有15名获发额外20股H股,176.66666666666666,8.833333333333332
9678,云知声,20,500.0,10000,180股H股，另加98名申请人中有52名获发额外20股H股,190.6122448979592,9.53061224489796
9678,云知声,20,600.0,12000,200股H股，另加33名申请人中有30名获发额外20股H股,218.1818181818182,10.90909090909091
9678,云知声,20,700.0,14000,240股H股，另加13名申请人中有3名获发额外20股H股,244.6153846153846,12.23076923076923
9678,云知声,20,800.0,16000,260股H股，另加27名申请人中有13名获发额外20股H股,269.6296296296296,13.481481481481481
9678,云知声,20,900.0,18000,280股H股，另加13名申请人中有9名获发额外20股H股,293.84615384615387,14.692307692307693
9678,云知声,20,1000.0,20000,300股H股，另加64名申请人中有54名获发额外20股H股,316.875,15.84375
9678,云知声,20,1500.0,30000,"2,400股H股，另加58名申请人中有50名获发额外20股H股",2417.2413793103447,120.86206896551724
9678,云知声,20,2000.0,40000,"3,220股H股",3220.0,161.0
9678,云知声,20,2500.0,50000,"4,020股H股",4020.0,201.0
9678,云知声,20,3000.0,60000,"4,800股H股",4800.0,240.0
9678,云知声,20,3902.0,78040,"6,220股H股",6220.0,311.0
