代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2648,安井食品,100,1.0,100,"13,989名中9,792名获发100股股份",69.99785545785974,0.6999785545785975
2648,安井食品,100,2.0,200,"2,832名中2,322名获发100股股份",81.99152542372882,0.8199152542372882
2648,安井食品,100,3.0,300,"1,622名中1,411名获发100股股份",86.99136868064119,0.8699136868064119
2648,安井食品,100,4.0,400,827名中751名获发100股股份,90.81015719467956,0.9081015719467956
2648,安井食品,100,5.0,500,"1,329名中1,229名获发100股股份",92.47554552294959,0.9247554552294959
2648,安井食品,100,6.0,600,523名中518名获发100股股份,99.04397705544933,0.9904397705544933
2648,安井食品,100,7.0,700,584名中580名获发100股股份,99.31506849315069,0.9931506849315069
2648,安井食品,100,8.0,800,100股股份,100.0,1.0
2648,安井食品,100,9.0,900,100股股份加上224名中18名获发额外100股股份,108.03571428571429,1.080357142857143
2648,安井食品,100,10.0,1000,"100股股份加上2,428名中291名获发额外100股股份",111.9851729818781,1.119851729818781
2648,安井食品,100,15.0,1500,"100股股份加上1,054名中559名获发额外100股股份",153.0360531309298,1.5303605313092978
2648,安井食品,100,20.0,2000,100股股份加上987名中888名获发额外100股股份,189.9696048632219,1.899696048632219
2648,安井食品,100,25.0,2500,100股股份加上434名中412名获发额外100股股份,194.93087557603687,1.9493087557603688
2648,安井食品,100,30.0,3000,200股股份,200.0,2.0
2648,安井食品,100,35.0,3500,200股股份加上261名中81名获发额外100股股份,231.0344827586207,2.310344827586207
2648,安井食品,100,40.0,4000,200股股份加上322名中200名获发额外100股股份,262.111801242236,2.62111801242236
2648,安井食品,100,45.0,4500,200股股份加上220名中199名获发额外100股股份,290.45454545454544,2.9045454545454543
2648,安井食品,100,50.0,5000,300股股份,300.0,3.0
2648,安井食品,100,60.0,6000,300股股份加上261名中149名获发额外100股股份,357.088122605364,3.57088122605364
2648,安井食品,100,70.0,7000,400股股份,400.0,4.0
2648,安井食品,100,80.0,8000,400股股份加上192名中100名获发额外100股股份,452.0833333333333,4.520833333333333
2648,安井食品,100,90.0,9000,500股股份,500.0,5.0
2648,安井食品,100,100.0,10000,"500股股份加上1,028名中535名获发额外100股股份",552.0428015564203,5.520428015564203
2648,安井食品,100,200.0,20000,"1,100股股份",1100.0,11.0
2648,安井食品,100,300.0,30000,"1,600股股份",1600.0,16.0
2648,安井食品,100,400.0,40000,"2,100股股份",2100.0,21.0
2648,安井食品,100,500.0,50000,"2,600股股份",2600.0,26.0
2648,安井食品,100,600.0,60000,"3,100股股份",3100.0,31.0
2648,安井食品,100,700.0,70000,"3,600股股份",3600.0,36.0
2648,安井食品,100,800.0,80000,"5,000股股份",5000.0,50.0
2648,安井食品,100,900.0,90000,"5,600股股份",5600.0,56.0
2648,安井食品,100,1000.0,100000,"6,100股股份",6100.0,61.0
2648,安井食品,100,2000.0,200000,"12,100股股份",12100.0,121.0
2648,安井食品,100,3000.0,300000,"18,000股股份",18000.0,180.0
2648,安井食品,100,4000.0,400000,"23,900股股份",23900.0,239.0
2648,安井食品,100,5000.0,500000,"29,700股股份",29700.0,297.0
2648,安井食品,100,6000.0,600000,"35,500股股份",35500.0,355.0
2648,安井食品,100,7000.0,700000,"41,200股股份",41200.0,412.0
2648,安井食品,100,8000.0,800000,"47,000股股份",47000.0,470.0
2648,安井食品,100,9000.0,900000,"52,700股股份",52700.0,527.0
2648,安井食品,100,10000.0,1000000,"58,500股股份",58500.0,585.0
2648,安井食品,100,12500.0,1250000,"73,000股股份",73000.0,730.0
2648,安井食品,100,15000.0,1500000,"87,500股股份",87500.0,875.0
2648,安井食品,100,19997.0,1999700,"115,700股股份",115700.0,1157.0
