代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
1828,FWD,100,1.0,100,"17,952名申请人中的3,591名将获发100股股份",20.003342245989305,0.20003342245989306
1828,FWD,100,2.0,200,"7,003名申请人中的2,366名将获发100股股份",33.78552049121805,0.3378552049121805
1828,FWD,100,3.0,300,"4,145名申请人中的1,903名将获发100股股份",45.910735826296744,0.45910735826296745
1828,FWD,100,4.0,400,"1,485名申请人中的848名将获发100股股份",57.10437710437711,0.571043771043771
1828,FWD,100,5.0,500,"3,472名申请人中的2,345名将获发100股股份",67.54032258064517,0.6754032258064516
1828,FWD,100,6.0,600,904名申请人中的701名将获发100股股份,77.54424778761062,0.7754424778761062
1828,FWD,100,7.0,700,506名申请人中的441名将获发100股股份,87.15415019762845,0.8715415019762845
1828,FWD,100,8.0,800,801名申请人中的772名将获发100股股份,96.37952559300874,0.9637952559300874
1828,FWD,100,9.0,900,100股股份,100.0,1.0
1828,FWD,100,10.0,1000,"100股股份，另加7,178名申请人中的718名将获发额外100股股份",110.00278629144609,1.1000278629144609
1828,FWD,100,15.0,1500,"100股股份，另加1,587名申请人中的873名将获发额外100股股份",155.00945179584122,1.5500945179584122
1828,FWD,100,20.0,2000,"100股股份，另加2,313名申请人中的2,142名将获发额外100股股份",192.60700389105057,1.9260700389105057
1828,FWD,100,25.0,2500,"200股股份，另加1,865名申请人中的522名将获发额外100股股份",227.98927613941018,2.279892761394102
1828,FWD,100,30.0,3000,"200股股份，另加1,722名申请人中的1,063名将获发额外100股股份",261.73054587688733,2.6173054587688735
1828,FWD,100,35.0,3500,300股股份,300.0,3.0
1828,FWD,100,40.0,4000,300股股份，另加604名申请人中的153名将获发额外100股股份,325.33112582781456,3.2533112582781456
1828,FWD,100,45.0,4500,300股股份，另加279名申请人中的155名将获发额外100股股份,355.55555555555554,3.5555555555555554
1828,FWD,100,50.0,5000,"300股股份，另加1,493名申请人中的1,270名将获发额外100股股份",385.06363027461487,3.8506363027461488
1828,FWD,100,60.0,6000,400股股份，另加589名申请人中的247名将获发额外100股股份,441.93548387096774,4.419354838709677
1828,FWD,100,70.0,7000,400股股份，另加332名申请人中的321名将获发额外100股股份,496.6867469879518,4.966867469879518
1828,FWD,100,80.0,8000,500股股份，另加456名申请人中的225名将获发额外100股股份,549.3421052631579,5.493421052631579
1828,FWD,100,90.0,9000,600股股份,600.0,6.0
1828,FWD,100,100.0,10000,"600股股份，另加2,420名申请人中的1,216名将获发额外100股股份",650.2479338842975,6.502479338842975
1828,FWD,100,200.0,20000,"1,000股股份，另加1,073名申请人中的1,054名将获发额外100股股份",1098.2292637465052,10.982292637465052
1828,FWD,100,300.0,30000,"1,400股股份，另加614名申请人中的539名将获发额外100股股份",1487.785016286645,14.87785016286645
1828,FWD,100,400.0,40000,"1,800股股份，另加227名申请人中的91名将获发额外100股股份",1840.0881057268723,18.400881057268723
1828,FWD,100,500.0,50000,"2,100股股份，另加344名申请人中的224名将获发额外100股股份",2165.1162790697676,21.651162790697676
1828,FWD,100,600.0,60000,"2,500股股份，另加151名申请人中的13名将获发额外100股股份",2508.609271523179,25.08609271523179
1828,FWD,100,700.0,70000,"2,800股股份",2800.0,28.0
1828,FWD,100,800.0,80000,"3,100股股份，另加120名申请人中的24名将获发额外100股股份",3120.0,31.2
1828,FWD,100,900.0,90000,"3,400股股份，另加59名申请人中的18名将获发额外100股股份",3430.508474576271,34.30508474576271
1828,FWD,100,1000.0,100000,"3,800股股份",3800.0,38.0
1828,FWD,100,2000.0,200000,"26,300股股份",26300.0,263.0
1828,FWD,100,3000.0,300000,"39,300股股份，另加31名申请人中的15名将获发额外100股股份",39348.3870967742,393.48387096774195
1828,FWD,100,4000.0,400000,"52,300股股份，另加13名申请人中的9名将获发额外100股股份",52369.230769230766,523.6923076923076
1828,FWD,100,5000.0,500000,"65,300股股份，另加14名申请人中的9名将获发额外100股股份",65364.28571428572,653.6428571428572
1828,FWD,100,6000.0,600000,"78,300股股份，另加6名申请人中的3名将获发额外100股股份",78350.0,783.5
1828,FWD,100,7000.0,700000,"91,300股股份",91300.0,913.0
1828,FWD,100,8000.0,800000,"104,200股股份，另加6名申请人中的3名将获发额外100股股份",104250.0,1042.5
1828,FWD,100,9000.0,900000,"117,200股股份",117200.0,1172.0
1828,FWD,100,10000.0,1000000,"130,100股股份",130100.0,1301.0
1828,FWD,100,20000.0,2000000,"259,100股股份",259100.0,2591.0
1828,FWD,100,30000.0,3000000,"387,600股股份",387600.0,3876.0
1828,FWD,100,45671.0,4567100,"588,800股股份",588800.0,5888.0
