代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2651,大众口腔,100,1.0,100,"13,328名申请人中的1,333名获发100股H股",10.001500600240096,0.10001500600240096
2651,大众口腔,100,2.0,200,"2,848名申请人中的400名获发100股H股",14.044943820224718,0.14044943820224717
2651,大众口腔,100,3.0,300,"7,799名申请人中的1,334名获发100股H股",17.104757020130787,0.17104757020130787
2651,大众口腔,100,4.0,400,824名申请人中的163名获发100股H股,19.781553398058254,0.19781553398058255
2651,大众口腔,100,5.0,500,"1,389名申请人中的305名获发100股H股",21.958243340532757,0.21958243340532757
2651,大众口腔,100,6.0,600,317名申请人中的77名获发100股H股,24.290220820189276,0.24290220820189276
2651,大众口腔,100,7.0,700,217名申请人中的57名获发100股H股,26.267281105990783,0.2626728110599078
2651,大众口腔,100,8.0,800,186名申请人中的52名获发100股H股,27.956989247311828,0.27956989247311825
2651,大众口腔,100,9.0,900,176名申请人中的52名获发100股H股,29.545454545454547,0.29545454545454547
2651,大众口腔,100,10.0,1000,"2,124名申请人中的654名获发100股H股",30.7909604519774,0.307909604519774
2651,大众口腔,100,15.0,1500,537名申请人中的202名获发100股H股,37.61638733705773,0.37616387337057733
2651,大众口腔,100,20.0,2000,998名申请人中的431名获发100股H股,43.186372745490985,0.43186372745490986
2651,大众口腔,100,25.0,2500,300名申请人中的145名获发100股H股,48.333333333333336,0.48333333333333334
2651,大众口腔,100,30.0,3000,350名申请人中的185名获发100股H股,52.857142857142854,0.5285714285714286
2651,大众口腔,100,35.0,3500,152名申请人中的87名获发100股H股,57.23684210526316,0.5723684210526315
2651,大众口腔,100,40.0,4000,222名申请人中的135名获发100股H股,60.810810810810814,0.6081081081081081
2651,大众口腔,100,45.0,4500,250名申请人中的161名获发100股H股,64.4,0.644
2651,大众口腔,100,50.0,5000,633名申请人中的428名获发100股H股,67.61453396524486,0.6761453396524486
2651,大众口腔,100,60.0,6000,215名申请人中的159名获发100股H股,73.95348837209302,0.7395348837209302
2651,大众口腔,100,70.0,7000,143名申请人中的114名获发100股H股,79.72027972027972,0.7972027972027972
2651,大众口腔,100,80.0,8000,129名申请人中的111名获发100股H股,86.04651162790698,0.8604651162790699
2651,大众口腔,100,90.0,9000,90名申请人中的82名获发100股H股,91.11111111111111,0.9111111111111111
2651,大众口腔,100,100.0,10000,100股H股,100.0,1.0
2651,大众口腔,100,200.0,20000,100股H股，另加397名申请人中的137名获发额外100股H股,134.5088161209068,1.345088161209068
2651,大众口腔,100,300.0,30000,100股H股，另加220名申请人中的133名获发额外100股H股,160.45454545454544,1.6045454545454545
2651,大众口腔,100,400.0,40000,100股H股，另加109名申请人中的92名获发额外100股H股,184.40366972477065,1.8440366972477065
2651,大众口腔,100,500.0,50000,200股H股,200.0,2.0
2651,大众口腔,100,600.0,60000,200股H股，另加63名申请人中的14名获发额外100股H股,222.22222222222223,2.2222222222222223
2651,大众口腔,100,700.0,70000,200股H股，另加28名申请人中的11名获发额外100股H股,239.28571428571428,2.392857142857143
2651,大众口腔,100,800.0,80000,200股H股，另加34名申请人中的20名获发额外100股H股,258.8235294117647,2.5882352941176467
2651,大众口腔,100,900.0,90000,200股H股，另加21名申请人中的15名获发额外100股H股,271.42857142857144,2.7142857142857144
2651,大众口腔,100,1000.0,100000,200股H股，另加103名申请人中的83名获发额外100股H股,280.58252427184465,2.8058252427184467
2651,大众口腔,100,1500.0,150000,300股H股，另加35名申请人中的16名获发额外100股H股,345.7142857142857,3.4571428571428573
2651,大众口腔,100,2000.0,200000,400股H股,400.0,4.0
2651,大众口腔,100,2500.0,250000,"9,300股H股",9300.0,93.0
2651,大众口腔,100,3000.0,300000,"11,000股H股",11000.0,110.0
2651,大众口腔,100,3500.0,350000,"12,800股H股",12800.0,128.0
2651,大众口腔,100,4000.0,400000,"14,600股H股",14600.0,146.0
2651,大众口腔,100,4500.0,450000,"16,400股H股",16400.0,164.0
2651,大众口腔,100,5000.0,500000,"18,100股H股",18100.0,181.0
2651,大众口腔,100,5431.0,543100,"19,500股H股",19500.0,195.0
