代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2590,极智嘉-W,200,1.0,200,"26,636名中有1,134名将获发200股股份",8.514792010812434,0.042573960054062165
2590,极智嘉-W,200,2.0,400,"13,005名中有1,108名将获发200股股份",17.039600153787006,0.08519800076893504
2590,极智嘉-W,200,3.0,600,"4,455名中有569名将获发200股股份",25.544332210998878,0.12772166105499438
2590,极智嘉-W,200,4.0,800,"2,079名中有354名将获发200股股份",34.05483405483405,0.17027417027417027
2590,极智嘉-W,200,5.0,1000,"3,141名中有669名将获发200股股份",42.59789875835721,0.21298949379178606
2590,极智嘉-W,200,6.0,1200,"1,243名中有317名将获发200股股份",51.00563153660499,0.25502815768302495
2590,极智嘉-W,200,7.0,1400,747名中有222名将获发200股股份,59.437751004016064,0.2971887550200803
2590,极智嘉-W,200,8.0,1600,808名中有274名将获发200股股份,67.82178217821782,0.3391089108910891
2590,极智嘉-W,200,9.0,1800,"1,851名中有706名将获发200股股份",76.2830902215019,0.38141545110750946
2590,极智嘉-W,200,10.0,2000,"8,631名中有3,659名将获发200股股份",84.78739427644537,0.42393697138222686
2590,极智嘉-W,200,15.0,3000,"2,425名中有1,542名将获发200股股份",127.17525773195877,0.6358762886597938
2590,极智嘉-W,200,20.0,4000,"2,258名中有1,914名将获发200股股份",169.5305580159433,0.8476527900797166
2590,极智嘉-W,200,25.0,5000,"200股股份，另加3,205名中有192名将获发额外200股股份",211.98127925117004,1.0599063962558501
2590,极智嘉-W,200,30.0,6000,"200股股份，另加2,138名中有581名将获发额外200股股份",254.34985968194576,1.2717492984097287
2590,极智嘉-W,200,35.0,7000,"200股股份，另加1,009名中有488名将获发额外200股股份",296.7294350842418,1.483647175421209
2590,极智嘉-W,200,40.0,8000,"200股股份，另加1,180名中有821名将获发额外200股股份",339.1525423728814,1.695762711864407
2590,极智嘉-W,200,45.0,9000,200股股份，另加818名中有742名将获发额外200股股份,381.41809290953546,1.9070904645476774
2590,极智嘉-W,200,50.0,10000,"400股股份，另加5,705名中有684名将获发额外200股股份",423.9789658194566,2.119894829097283
2590,极智嘉-W,200,100.0,20000,"800股股份，另加3,557名中有853名将获发额外200股股份",847.9617655327523,4.2398088276637615
2590,极智嘉-W,200,150.0,30000,"1,200股股份，另加1,741名中有626名将获发额外200股股份",1271.912693854107,6.359563469270535
2590,极智嘉-W,200,200.0,40000,"1,600股股份，另加1,149名中有536名将获发额外200股股份",1693.2985204525673,8.466492602262838
2590,极智嘉-W,200,250.0,50000,"2,000股股份，另加810名中有458名将获发额外200股股份",2113.0864197530864,10.565432098765433
2590,极智嘉-W,200,300.0,60000,"2,400股股份，另加794名中有538名将获发额外200股股份",2535.51637279597,12.67758186397985
2590,极智嘉-W,200,350.0,70000,"2,800股股份，另加361名中有287名将获发额外200股股份",2959.0027700831024,14.795013850415511
2590,极智嘉-W,200,400.0,80000,"3,200股股份，另加393名中有363名将获发额外200股股份",3384.732824427481,16.923664122137403
2590,极智嘉-W,200,450.0,90000,"3,800股股份，另加231名中有13名将获发额外200股股份",3811.255411255411,19.056277056277057
2590,极智嘉-W,200,500.0,100000,"4,200股股份，另加1,639名中有276名将获发额外200股股份",4233.679072605247,21.168395363026235
2590,极智嘉-W,200,1000.0,200000,"8,400股股份，另加807名中有218名将获发额外200股股份",8454.027261462206,42.270136307311034
2590,极智嘉-W,200,1500.0,300000,"10,000股股份，另加847名中有243名将获发额外200股股份",10057.378984651712,50.28689492325856
2590,极智嘉-W,200,2000.0,400000,"13,400股股份，另加154名中有8名将获发额外200股股份",13410.38961038961,67.05194805194805
2590,极智嘉-W,200,2500.0,500000,"16,600股股份，另加120名中有97名将获发额外200股股份",16761.666666666668,83.80833333333334
2590,极智嘉-W,200,3000.0,600000,"20,000股股份，另加80名中有46名将获发额外200股股份",20115.0,100.575
2590,极智嘉-W,200,3500.0,700000,"23,400股股份，另加48名中有16名将获发额外200股股份",23466.666666666668,117.33333333333334
2590,极智嘉-W,200,4000.0,800000,"26,800股股份，另加31名中有3名将获发额外200股股份",26819.354838709678,134.09677419354838
2590,极智嘉-W,200,4500.0,900000,"30,000股股份，另加17名中有15名将获发额外200股股份",30176.470588235294,150.88235294117646
2590,极智嘉-W,200,5000.0,1000000,"33,400股股份，另加50名中有31名将获发额外200股股份",33524.0,167.62
2590,极智嘉-W,200,7500.0,1500000,"50,200股股份，另加32名中有14名将获发额外200股股份",50287.5,251.4375
2590,极智嘉-W,200,10000.0,2000000,"67,000股股份，另加20名中有5名将获发额外200股股份",67050.0,335.25
2590,极智嘉-W,200,12500.0,2500000,"83,800股股份，另加13名中有1名将获发额外200股股份",83815.38461538461,419.07692307692304
2590,极智嘉-W,200,15000.0,3000000,"100,400股股份，另加11名中有10名将获发额外200股股份",100581.81818181818,502.9090909090909
2590,极智嘉-W,200,20000.0,4000000,"134,000股股份，另加6名中有3名将获发额外200股股份",134100.0,670.5
2590,极智嘉-W,200,25000.0,5000000,"167,600股股份",167600.0,838.0
2590,极智嘉-W,200,30000.0,6000000,"201,000股股份，另加2名中有1名将获发额外200股股份",201100.0,1005.5
2590,极智嘉-W,200,35088.0,7017600,"235,200股股份，另加42名中有13名将获发额外200股股份",235261.90476190476,1176.3095238095239
