代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
1304,FORTIOR,100,1.0,100,"30,215名申请人中有6,043名将获发100股股份",20.0,0.2
1304,FORTIOR,100,2.0,200,"4,069名申请人中有1,188名将获发100股股份",29.19636274268862,0.2919636274268862
1304,FORTIOR,100,3.0,300,"2,206名申请人中有804名将获发100股股份",36.44605621033545,0.3644605621033545
1304,FORTIOR,100,4.0,400,"6,399名申请人中有2,726名将获发100股股份",42.60040631348648,0.42600406313486483
1304,FORTIOR,100,5.0,500,"1,800名申请人中有866名将获发100股股份",48.111111111111114,0.48111111111111116
1304,FORTIOR,100,6.0,600,689名申请人中有367名将获发100股股份,53.26560232220609,0.532656023222061
1304,FORTIOR,100,7.0,700,482名申请人中有279名将获发100股股份,57.88381742738589,0.578838174273859
1304,FORTIOR,100,8.0,800,"1,442名申请人中有897名将获发100股股份",62.205270457697644,0.6220527045769765
1304,FORTIOR,100,9.0,900,662名申请人中有439名将获发100股股份,66.31419939577039,0.6631419939577039
1304,FORTIOR,100,10.0,1000,"4,568名申请人中有3,207名将获发100股股份",70.20577933450087,0.7020577933450087
1304,FORTIOR,100,15.0,1500,"1,711名申请人中有1,499名将获发100股股份",87.60958503798948,0.8760958503798948
1304,FORTIOR,100,20.0,2000,"100股股份另加1,814名申请人中的44名将额外获发100股股份",102.42557883131202,1.0242557883131203
1304,FORTIOR,100,25.0,2500,100股股份另加774名申请人中的122名将额外获发100股股份,115.76227390180878,1.1576227390180878
1304,FORTIOR,100,30.0,3000,"100股股份另加1,134名申请人中的315名将额外获发100股股份",127.77777777777777,1.2777777777777777
1304,FORTIOR,100,35.0,3500,100股股份另加527名申请人中的206名将额外获发100股股份,139.08918406072107,1.3908918406072106
1304,FORTIOR,100,40.0,4000,100股股份另加676名申请人中的335名将额外获发100股股份,149.55621301775147,1.4955621301775148
1304,FORTIOR,100,45.0,4500,100股股份另加506名申请人中的301名将额外获发100股股份,159.48616600790513,1.5948616600790513
1304,FORTIOR,100,50.0,5000,"100股股份另加1,072名申请人中有738名将获发额外100股股份",168.84328358208955,1.6884328358208955
1304,FORTIOR,100,60.0,6000,100股股份另加537名申请人中有465名将额外获发100股股份,186.59217877094972,1.8659217877094971
1304,FORTIOR,100,70.0,7000,200股股份另加400名申请人中有12名将额外获发100股股份,203.0,2.03
1304,FORTIOR,100,80.0,8000,200股股份另加422名申请人中的77名将额外获发100股股份,218.24644549763033,2.1824644549763033
1304,FORTIOR,100,90.0,9000,200股股份另加343名申请人中的112名将额外获发100股股份,232.6530612244898,2.326530612244898
1304,FORTIOR,100,100.0,10000,"200股股份另加1,732名申请人中的803名将额外获发100股股份",246.36258660508082,2.4636258660508084
1304,FORTIOR,100,200.0,20000,300股股份另加821名申请人中的488名将额外获发100股股份,359.4397076735688,3.5943970767356883
1304,FORTIOR,100,300.0,30000,400股股份另加383名申请人中的186名将额外获发100股股份,448.5639686684073,4.485639686684073
1304,FORTIOR,100,400.0,40000,500股股份另加267名申请人中的66名将额外获发100股股份,524.7191011235955,5.247191011235954
1304,FORTIOR,100,500.0,50000,"1,700股股份另加579名申请人中的435名将额外获发100股股份",1775.1295336787564,17.751295336787564
1304,FORTIOR,100,600.0,60000,"2,100股股份另加126名申请人中的26名将额外获发100股股份",2120.6349206349205,21.206349206349206
1304,FORTIOR,100,700.0,70000,"2,400股股份另加80名申请人中的52名将额外获发100股股份",2465.0,24.65
1304,FORTIOR,100,800.0,80000,"2,800股股份另加47名申请人中的4名将额外获发100股股份",2808.5106382978724,28.085106382978726
1304,FORTIOR,100,900.0,90000,"3,100股股份另加61名申请人中的30名将额外获发100股股份",3149.1803278688526,31.491803278688526
1304,FORTIOR,100,1000.0,100000,"3,400股股份另加120名申请人中的107名将额外获发100股股份",3489.1666666666665,34.891666666666666
1304,FORTIOR,100,2000.0,200000,"6,800股股份另加50名申请人中的29名将额外获发100股股份",6858.0,68.58
1304,FORTIOR,100,3000.0,300000,"10,100股股份另加24名申请人中的20名将额外获发100股股份",10183.333333333334,101.83333333333334
1304,FORTIOR,100,4000.0,400000,"13,500股股份另加14名申请人中的10名将额外获发100股股份",13571.42857142857,135.7142857142857
1304,FORTIOR,100,5000.0,500000,"16,700股股份另加10名申请人中的6名将额外获发100股股份",16760.0,167.6
1304,FORTIOR,100,6000.0,600000,"20,000股股份",20000.0,200.0
1304,FORTIOR,100,8150.0,815000,"26,900股股份另加31名申请人中的21名将额外获发100股股份",26967.74193548387,269.6774193548387
