代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2627,中慧生物-B,200,1.0,200,"33,581名申请人中336名获发200股H股",2.001131592269438,0.01000565796134719
2627,中慧生物-B,200,2.0,400,"6,889名申请人中94名获发200股H股",2.728988242125127,0.013644941210625634
2627,中慧生物-B,200,3.0,600,"15,279名申请人中247名获发200股H股",3.233195889783363,0.016165979448916814
2627,中慧生物-B,200,4.0,800,"4,125名申请人中76名获发200股H股",3.684848484848485,0.018424242424242426
2627,中慧生物-B,200,5.0,1000,"6,226名申请人中126名获发200股H股",4.047542563443623,0.020237712817218118
2627,中慧生物-B,200,6.0,1200,"4,499名申请人中99名获发200股H股",4.400977995110025,0.022004889975550123
2627,中慧生物-B,200,7.0,1400,"3,519名申请人中83名获发200股H股",4.717249218527991,0.023586246092639956
2627,中慧生物-B,200,8.0,1600,"2,292名申请人中57名获发200股H股",4.973821989528796,0.024869109947643978
2627,中慧生物-B,200,9.0,1800,"1,958名申请人中52名获发200股H股",5.3115423901940755,0.026557711950970377
2627,中慧生物-B,200,10.0,2000,"10,789名申请人中295名获发200股H股",5.468532764853091,0.027342663824265454
2627,中慧生物-B,200,15.0,3000,"7,573名申请人中248名获发200股H股",6.5495840485936885,0.032747920242968444
2627,中慧生物-B,200,20.0,4000,"4,009名申请人中149名获发200股H股",7.433275130955351,0.037166375654776755
2627,中慧生物-B,200,25.0,5000,"3,323名申请人中136名获发200股H股",8.185374661450497,0.04092687330725249
2627,中慧生物-B,200,30.0,6000,"5,770名申请人中255名获发200股H股",8.838821490467938,0.04419410745233969
2627,中慧生物-B,200,35.0,7000,"2,970名申请人中141名获发200股H股",9.494949494949495,0.047474747474747475
2627,中慧生物-B,200,40.0,8000,"2,167名申请人中109名获发200股H股",10.05999077065067,0.050299953853253344
2627,中慧生物-B,200,45.0,9000,"1,775名申请人中94名获发200股H股",10.591549295774648,0.05295774647887324
2627,中慧生物-B,200,50.0,10000,"13,487名申请人中745名获发200股H股",11.047675539408319,0.055238377697041596
2627,中慧生物-B,200,100.0,20000,"9,337名申请人中698名获发200股H股",14.951269144264753,0.07475634572132377
2627,中慧生物-B,200,150.0,30000,"5,624名申请人中502名获发200股H股",17.852062588904694,0.08926031294452347
2627,中慧生物-B,200,200.0,40000,"4,600名申请人中465名获发200股H股",20.217391304347824,0.10108695652173912
2627,中慧生物-B,200,250.0,50000,"3,276名申请人中366名获发200股H股",22.344322344322343,0.11172161172161171
2627,中慧生物-B,200,300.0,60000,"2,856名申请人中345名获发200股H股",24.159663865546218,0.1207983193277311
2627,中慧生物-B,200,350.0,70000,"2,523名申请人中326名获发200股H股",25.84225128814903,0.12921125644074516
2627,中慧生物-B,200,400.0,80000,"1,781名申请人中244名获发200股H股",27.400336889387983,0.13700168444693991
2627,中慧生物-B,200,450.0,90000,"1,507名申请人中218名获发200股H股",28.931652289316524,0.14465826144658261
2627,中慧生物-B,200,500.0,100000,"8,561名申请人中1,292名获发200股H股",30.183389790912276,0.15091694895456137
2627,中慧生物-B,200,1000.0,200000,"5,385名申请人中1,100名获发200股H股",40.85422469823584,0.2042711234911792
2627,中慧生物-B,200,1500.0,300000,"4,480名申请人中1,092名获发200股H股",48.75,0.24375
2627,中慧生物-B,200,2000.0,400000,"4,853名申请人中2,912名获发200股H股",120.00824232433547,0.6000412116216773
2627,中慧生物-B,200,2500.0,500000,"1,513名申请人中1,051名获发200股H股",138.92927957699933,0.6946463978849967
2627,中慧生物-B,200,3000.0,600000,"1,030名申请人中806名获发200股H股",156.50485436893203,0.7825242718446601
2627,中慧生物-B,200,3500.0,700000,799名申请人中692名获发200股H股,173.21652065081352,0.8660826032540676
2627,中慧生物-B,200,4000.0,800000,476名申请人中450名获发200股H股,189.07563025210084,0.9453781512605042
2627,中慧生物-B,200,4500.0,900000,200股H股加上338名申请人中7名获发额外200股H股,204.14201183431953,1.0207100591715976
2627,中慧生物-B,200,5000.0,1000000,200股H股加上567名申请人中53名获发额外200股H股,218.69488536155202,1.09347442680776
2627,中慧生物-B,200,6000.0,1200000,200股H股加上365名申请人中85名获发额外200股H股,246.5753424657534,1.232876712328767
2627,中慧生物-B,200,7000.0,1400000,200股H股加上316名申请人中115名获发额外200股H股,272.7848101265823,1.3639240506329113
2627,中慧生物-B,200,8361.0,1672200,"200股H股加上1,461名申请人中772名获发额外200股H股",305.6810403832991,1.5284052019164955
