代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2631,天岳先进,100,1.0,100,"45,109名中13,533名获发100股股份",30.000665055753842,0.30000665055753845
2631,天岳先进,100,2.0,200,"22,599名中6,780名获发100股股份",30.00132749236692,0.3000132749236692
2631,天岳先进,100,3.0,300,"8,802名中2,642名获发100股股份",30.015905476028177,0.30015905476028176
2631,天岳先进,100,4.0,400,"5,778名中1,735名获发100股股份",30.027691242644515,0.30027691242644516
2631,天岳先进,100,5.0,500,"6,829名中2,051名获发100股股份",30.033679894567285,0.30033679894567283
2631,天岳先进,100,6.0,600,"3,021名中908名获发100股股份",30.05627275736511,0.3005627275736511
2631,天岳先进,100,7.0,700,"2,464名中741名获发100股股份",30.073051948051948,0.3007305194805195
2631,天岳先进,100,8.0,800,"2,135名中643名获发100股股份",30.117096018735364,0.3011709601873536
2631,天岳先进,100,9.0,900,"1,758名中530名获发100股股份",30.147895335608645,0.30147895335608643
2631,天岳先进,100,10.0,1000,"13,833名中4,171名获发100股股份",30.152533795995083,0.30152533795995085
2631,天岳先进,100,15.0,1500,"5,027名中1,516名获发100股股份",30.157151382534316,0.30157151382534314
2631,天岳先进,100,20.0,2000,"7,697名中2,322名获发100股股份",30.16759776536313,0.3016759776536313
2631,天岳先进,100,25.0,2500,"4,830名中1,458名获发100股股份",30.18633540372671,0.3018633540372671
2631,天岳先进,100,30.0,3000,"5,080名中1,534名获发100股股份",30.19685039370079,0.3019685039370079
2631,天岳先进,100,35.0,3500,"2,431名中735名获发100股股份",30.234471410942,0.30234471410942
2631,天岳先进,100,40.0,4000,"2,556名中773名获发100股股份",30.242566510172143,0.3024256651017214
2631,天岳先进,100,45.0,4500,"2,257名中683名获发100股股份",30.26140894993354,0.3026140894993354
2631,天岳先进,100,50.0,5000,"4,230名中1,281名获发100股股份",30.28368794326241,0.3028368794326241
2631,天岳先进,100,60.0,6000,"2,928名中887名获发100股股份",30.293715846994534,0.30293715846994534
2631,天岳先进,100,70.0,7000,"2,481名中752名获发100股股份",30.310358726320032,0.3031035872632003
2631,天岳先进,100,80.0,8000,"2,470名中749名获发100股股份",30.323886639676115,0.3032388663967611
2631,天岳先进,100,90.0,9000,"2,001名中607名获发100股股份",30.334832583708145,0.30334832583708143
2631,天岳先进,100,100.0,10000,"13,160名中3,993名获发100股股份",30.3419452887538,0.30341945288753797
2631,天岳先进,100,200.0,20000,"7,629名中3,510名获发100股股份",46.008651199370824,0.46008651199370826
2631,天岳先进,100,300.0,30000,"4,632名中3,058名获发100股股份",66.01899827288429,0.6601899827288429
2631,天岳先进,100,400.0,40000,"3,577名中3,005名获发100股股份",84.0089460441711,0.840089460441711
2631,天岳先进,100,500.0,50000,100股股份,100.0,1.0
2631,天岳先进,100,600.0,60000,"100股股份加上1,697名中135名获发额外100股股份",107.9552150854449,1.079552150854449
2631,天岳先进,100,700.0,70000,"100股股份加上1,483名中177名获发额外100股股份",111.93526635198921,1.119352663519892
2631,天岳先进,100,800.0,80000,"100股股份加上1,772名中354名获发额外100股股份",119.97742663656885,1.1997742663656885
2631,天岳先进,100,900.0,90000,"100股股份加上1,485名中386名获发额外100股股份",125.993265993266,1.25993265993266
2631,天岳先进,100,1000.0,100000,"100股股份加上9,836名中2,950名获发额外100股股份",129.99186661244408,1.2999186661244408
2631,天岳先进,100,2000.0,200000,"400股股份加上5,644名中4,982名获发额外100股股份",488.2707299787385,4.882707299787385
2631,天岳先进,100,3000.0,300000,700股股份,700.0,7.0
2631,天岳先进,100,4000.0,400000,800股股份,800.0,8.0
2631,天岳先进,100,5000.0,500000,900股股份,900.0,9.0
2631,天岳先进,100,6000.0,600000,"1,000股股份",1000.0,10.0
2631,天岳先进,100,8000.0,800000,"1,300股股份",1300.0,13.0
2631,天岳先进,100,10000.0,1000000,"1,500股股份",1500.0,15.0
2631,天岳先进,100,11936.0,1193600,"1,700股股份",1700.0,17.0
