代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2543,大行科工,100,1.0,100,"50,347名中有10名将获发100股股份",0.01986215663296721,0.00019862156632967208
2543,大行科工,100,2.0,200,"29,521名中有12名将获发100股股份",0.040649029504420585,0.00040649029504420583
2543,大行科工,100,3.0,300,"9,412名中有6名将获发100股股份",0.06374840628984275,0.0006374840628984276
2543,大行科工,100,4.0,400,"8,411名中有7名将获发100股股份",0.08322434906669837,0.0008322434906669837
2543,大行科工,100,5.0,500,"6,866名中有7名将获发100股股份",0.10195164579085349,0.001019516457908535
2543,大行科工,100,6.0,600,"3,477名中有4名将获发100股股份",0.11504170261719873,0.0011504170261719873
2543,大行科工,100,7.0,700,"2,336名中有3名将获发100股股份",0.1284246575342466,0.001284246575342466
2543,大行科工,100,8.0,800,"2,502名中有4名将获发100股股份",0.15987210231814547,0.0015987210231814548
2543,大行科工,100,9.0,900,"2,168名中有4名将获发100股股份",0.18450184501845018,0.0018450184501845018
2543,大行科工,100,10.0,1000,"15,768名中有33名将获发100股股份",0.20928462709284626,0.0020928462709284626
2543,大行科工,100,15.0,1500,"5,617名中有17名将获发100股股份",0.302652661563112,0.0030265266156311197
2543,大行科工,100,20.0,2000,"6,378名中有26名将获发100股股份",0.40765130134838506,0.004076513013483851
2543,大行科工,100,25.0,2500,"3,012名中有16名将获发100股股份",0.5312084993359893,0.005312084993359893
2543,大行科工,100,30.0,3000,"2,659名中有16名将获发100股股份",0.6017299736743137,0.006017299736743137
2543,大行科工,100,35.0,3500,"1,874名中有14名将获发100股股份",0.7470651013874067,0.007470651013874067
2543,大行科工,100,40.0,4000,"2,459名中有20名将获发100股股份",0.813338755591704,0.00813338755591704
2543,大行科工,100,45.0,4500,"1,488名中有14名将获发100股股份",0.9408602150537635,0.009408602150537635
2543,大行科工,100,50.0,5000,"10,938名中有113名将获发100股股份",1.033095629914061,0.01033095629914061
2543,大行科工,100,100.0,10000,"7,909名中有163名将获发100股股份",2.06094322923252,0.0206094322923252
2543,大行科工,100,150.0,15000,"4,464名中有138名将获发100股股份",3.0913978494623655,0.030913978494623656
2543,大行科工,100,200.0,20000,"4,306名中有178名将获发100股股份",4.133766836971668,0.041337668369716675
2543,大行科工,100,250.0,25000,"2,553名中有132名将获发100股股份",5.170387779083431,0.05170387779083432
2543,大行科工,100,300.0,30000,"2,282名中有141名将获发100股股份",6.178790534618756,0.061787905346187555
2543,大行科工,100,350.0,35000,"1,678名中有121名将获发100股股份",7.210965435041716,0.07210965435041716
2543,大行科工,100,400.0,40000,"1,878名中有155名将获发100股股份",8.25346112886049,0.0825346112886049
2543,大行科工,100,450.0,45000,"1,251名中有116名将获发100股股份",9.272581934452438,0.09272581934452438
2543,大行科工,100,500.0,50000,"2,225名中有230名将获发100股股份",10.337078651685394,0.10337078651685394
2543,大行科工,100,600.0,60000,"2,038名中有253名将获发100股股份",12.414131501472031,0.12414131501472031
2543,大行科工,100,700.0,70000,"1,818名中有263名将获发100股股份",14.466446644664467,0.14466446644664466
2543,大行科工,100,800.0,80000,"1,585名中有262名将获发100股股份",16.529968454258675,0.16529968454258676
2543,大行科工,100,900.0,90000,"1,352名中有252名将获发100股股份",18.63905325443787,0.18639053254437868
2543,大行科工,100,1000.0,100000,"5,951名中有1,230名将获发100股股份",20.66879516047723,0.2066879516047723
2543,大行科工,100,1200.0,120000,"3,809名中有445名将获发100股股份",11.682856392754005,0.11682856392754004
2543,大行科工,100,1400.0,140000,"1,968名中有268名将获发100股股份",13.617886178861788,0.13617886178861788
2543,大行科工,100,1600.0,160000,"1,386名中有216名将获发100股股份",15.584415584415584,0.15584415584415584
2543,大行科工,100,1800.0,180000,"1,042名中有183名将获发100股股份",17.562380038387715,0.17562380038387715
2543,大行科工,100,2000.0,200000,"2,084名中有406名将获发100股股份",19.481765834932823,0.19481765834932824
2543,大行科工,100,2500.0,250000,"1,263名中有307名将获发100股股份",24.307205067300078,0.24307205067300078
2543,大行科工,100,3000.0,300000,898名中有262名将获发100股股份,29.175946547884188,0.29175946547884185
2543,大行科工,100,3500.0,350000,646名中有220名将获发100股股份,34.05572755417957,0.3405572755417957
2543,大行科工,100,3960.0,396000,"4,290名中有1,653名将获发100股股份",38.53146853146853,0.3853146853146853
