代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2595,劲方医药-B,200,1.0,200,"56,508名中46名获发200股股份",0.16280880583280244,0.0008140440291640122
2595,劲方医药-B,200,2.0,400,"23,969名中39名获发200股股份",0.32542033459885683,0.0016271016729942842
2595,劲方医药-B,200,3.0,600,"9,645名中24名获发200股股份",0.4976671850699845,0.0024883359253499225
2595,劲方医药-B,200,4.0,800,"6,303名中21名获发200股股份",0.6663493574488338,0.003331746787244169
2595,劲方医药-B,200,5.0,1000,"8,391名中35名获发200股股份",0.8342271481349064,0.0041711357406745316
2595,劲方医药-B,200,6.0,1200,"3,616名中18名获发200股股份",0.995575221238938,0.00497787610619469
2595,劲方医药-B,200,7.0,1400,"2,793名中16名获发200股股份",1.145721446473326,0.00572860723236663
2595,劲方医药-B,200,8.0,1600,"2,412名中16名获发200股股份",1.3266998341625207,0.006633499170812604
2595,劲方医药-B,200,9.0,1800,"2,148名中16名获发200股股份",1.48975791433892,0.0074487895716946
2595,劲方医药-B,200,10.0,2000,"18,966名中156名获发200股股份",1.6450490351154698,0.008225245175577349
2595,劲方医药-B,200,15.0,3000,"7,485名中92名获发200股股份",2.458249832999332,0.012291249164996661
2595,劲方医药-B,200,20.0,4000,"8,121名中134名获发200股股份",3.300086196281246,0.01650043098140623
2595,劲方医药-B,200,25.0,5000,"5,633名中116名获发200股股份",4.118586898633056,0.02059293449316528
2595,劲方医药-B,200,30.0,6000,"3,659名中90名获发200股股份",4.919376878928669,0.024596884394643345
2595,劲方医药-B,200,35.0,7000,"2,727名中79名获发200股股份",5.793912724605794,0.02896956362302897
2595,劲方医药-B,200,40.0,8000,"2,718名中89名获发200股股份",6.548933038999264,0.032744665194996324
2595,劲方医药-B,200,45.0,9000,"2,595名中96名获发200股股份",7.398843930635838,0.03699421965317919
2595,劲方医药-B,200,50.0,10000,"15,251名中627名获发200股股份",8.222411645138024,0.04111205822569012
2595,劲方医药-B,200,100.0,20000,"10,301名中847名获发200股股份",16.445005339287448,0.08222502669643723
2595,劲方医药-B,200,150.0,30000,"5,947名中734名获发200股股份",24.68471498234404,0.12342357491172021
2595,劲方医药-B,200,200.0,40000,"4,988名中821名获发200股股份",32.919005613472336,0.16459502806736168
2595,劲方医药-B,200,250.0,50000,"4,208名中865名获发200股股份",41.11216730038023,0.20556083650190116
2595,劲方医药-B,200,300.0,60000,"2,901名中716名获发200股股份",49.362288865908305,0.24681144432954152
2595,劲方医药-B,200,350.0,70000,"2,410名中694名获发200股股份",57.593360995850624,0.28796680497925314
2595,劲方医药-B,200,400.0,80000,"1,974名中650名获发200股股份",65.85612968591693,0.32928064842958465
2595,劲方医药-B,200,450.0,90000,"1,763名中653名获发200股股份",74.0782756664776,0.370391378332388
2595,劲方医药-B,200,500.0,100000,"6,372名中2,621名获发200股股份",82.2661644695543,0.41133082234777146
2595,劲方医药-B,200,750.0,150000,"4,417名中2,725名获发200股股份",123.38691419515509,0.6169345709757754
2595,劲方医药-B,200,1000.0,200000,"7,738名中6,364名获发200股股份",164.48694753166194,0.8224347376583097
2595,劲方医药-B,200,1250.0,250000,"4,430名中1,348名获发200股股份",60.85778781038375,0.3042889390519187
2595,劲方医药-B,200,1500.0,300000,"2,398名中875名获发200股股份",72.97748123436197,0.36488740617180987
2595,劲方医药-B,200,1750.0,350000,"1,868名中795名获发200股股份",85.11777301927195,0.42558886509635974
2595,劲方医药-B,200,2000.0,400000,"1,702名中828名获发200股股份",97.29729729729729,0.48648648648648646
2595,劲方医药-B,200,2250.0,450000,"1,250名中684名获发200股股份",109.44,0.5472
2595,劲方医药-B,200,2500.0,500000,"1,935名中1,177名获发200股股份",121.65374677002583,0.6082687338501291
2595,劲方医药-B,200,3000.0,600000,"1,379名中1,007名获发200股股份",146.04786076867296,0.7302393038433648
2595,劲方医药-B,200,3500.0,700000,964名中821名获发200股股份,170.33195020746888,0.8516597510373444
2595,劲方医药-B,200,4000.0,800000,770名中749名获发200股股份,194.54545454545453,0.9727272727272727
2595,劲方医药-B,200,4500.0,900000,200股股份加上678名中64名获发额外200股股份,218.87905604719765,1.0943952802359882
2595,劲方医药-B,200,5000.0,1000000,"200股股份加上1,838名中398名获发额外200股股份",243.30794341675735,1.2165397170837868
2595,劲方医药-B,200,7500.0,1500000,200股股份加上885名中730名获发额外200股股份,364.9717514124294,1.824858757062147
2595,劲方医药-B,200,10000.0,2000000,400股股份加上556名中241名获发额外200股股份,486.6906474820144,2.433453237410072
2595,劲方医药-B,200,12500.0,2500000,600股股份加上281名中12名获发额外200股股份,608.540925266904,3.04270462633452
2595,劲方医药-B,200,15000.0,3000000,600股股份加上304名中198名获发额外200股股份,730.2631578947369,3.6513157894736845
2595,劲方医药-B,200,19400.0,3880000,800股股份加上679名中489名获发额外200股股份,944.0353460972018,4.720176730486009
