,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9973,奇瑞汽车,100,1,100,"35,594份中的240份将获发100股",0.674,0.007
1,9973,奇瑞汽车,100,2,200,"11,837份中的159份将获发100股",1.343,0.013
2,9973,奇瑞汽车,100,3,300,"15,739份中的312份将获发100股",1.982,0.02
3,9973,奇瑞汽车,100,4,400,"6,473份中的172份将获发100股",2.657,0.027
4,9973,奇瑞汽车,100,5,500,"7,445份中的247份将获发100股",3.318,0.033
5,9973,奇瑞汽车,100,6,600,"4,282份中的170份将获发100股",3.97,0.04
6,9973,奇瑞汽车,100,7,700,"3,518份中的163份将获发100股",4.633,0.046
7,9973,奇瑞汽车,100,8,800,"2,555份中的135份将获发100股",5.284,0.053
8,9973,奇瑞汽车,100,9,900,"1,828份中的109份将获发100股",5.963,0.06
9,9973,奇瑞汽车,100,10,1000,"22,380份中的1,463份将获发100股",6.537,0.065
10,9973,奇瑞汽车,100,20,2000,"9,147份中的1,198份将获发100股",13.099,0.131
11,9973,奇瑞汽车,100,30,3000,"8,301份中的1,622份将获发100股",19.539,0.195
12,9973,奇瑞汽车,100,40,4000,"4,436份中的1,152份将获发100股",25.97,0.26
13,9973,奇瑞汽车,100,50,5000,"4,375份中的1,419份将获发100股",32.434,0.324
14,9973,奇瑞汽车,100,60,6000,"3,228份中的1,259份将获发100股",39.001,0.39
15,9973,奇瑞汽车,100,70,7000,"2,395份中的1,093份将获发100股",45.637,0.456
16,9973,奇瑞汽车,100,80,8000,"2,156份中的1,124份将获发100股",52.133,0.521
17,9973,奇瑞汽车,100,90,9000,"1,743份中的1,018份将获发100股",58.415,0.584
18,9973,奇瑞汽车,100,100,10000,"13,645份中的8,811份将获发100股",64.577,0.646
19,9973,奇瑞汽车,100,200,20000,"100股 + 7,304份中的2,129份将获发额外100股",129.147,1.291
20,9973,奇瑞汽车,100,300,30000,"100股 + 4,599份中的4,310份将获发额外100股",193.738,1.937
21,9973,奇瑞汽车,100,400,40000,"200股 + 3,090份中的1,802份将获发额外100股",258.317,2.583
22,9973,奇瑞汽车,100,500,50000,"300股 + 2,693份中的615份将获发额外100股",322.837,3.228
23,9973,奇瑞汽车,100,600,60000,"300股 + 1,869份中的1,628份将获发额外100股",387.106,3.871
24,9973,奇瑞汽车,100,700,70000,"400股 + 1,891份中的975份将获发额外100股",451.56,4.516
25,9973,奇瑞汽车,100,800,80000,"500股 + 1,165份中的194份将获发额外100股",516.652,5.167
26,9973,奇瑞汽车,100,900,90000,"500股 + 1,019份中的822份将获发额外100股",580.677,5.807
27,9973,奇瑞汽车,100,1000,100000,"600股 + 9,988份中的4,177份将获发额外100股",641.82,6.418
28,9973,奇瑞汽车,100,2000,200000,"400股 + 6,550份中的2,202份将获发额外100股",433.618,4.336
29,9973,奇瑞汽车,100,3000,300000,"600股 + 2,070份中的1,044份将获发额外100股",650.435,6.504
30,9973,奇瑞汽车,100,4000,400000,"800股 + 1,157份中的778份将获发额外100股",867.243,8.672
31,9973,奇瑞汽车,100,5000,500000,"1,000股 + 737份中的620份将获发额外100股",1084.125,10.841
32,9973,奇瑞汽车,100,6000,600000,"1,300股 + 489份中的4份将获发额外100股",1300.818,13.008
33,9973,奇瑞汽车,100,7000,700000,"1,500股 + 363份中的64份将获发额外100股",1517.631,15.176
34,9973,奇瑞汽车,100,8000,800000,"1,700股 + 274份中的95份将获发额外100股",1734.672,17.347
35,9973,奇瑞汽车,100,9000,900000,"1,900股 + 179份中的92份将获发额外100股",1951.397,19.514
36,9973,奇瑞汽车,100,10000,1000000,"2,100股 + 846份中的576份将获发额外100股",2168.085,21.681
37,9973,奇瑞汽车,100,20000,2000000,"4,300股 + 293份中的106份将获发额外100股",4336.177,43.362
38,9973,奇瑞汽车,100,30000,3000000,"6,500股 + 92份中的4份将获发额外100股",6504.348,65.043
39,9973,奇瑞汽车,100,40000,4000000,"8,600股 + 34份中的25份将获发额外100股",8673.529,86.735
40,9973,奇瑞汽车,100,50000,5000000,"10,800股 + 76份中的31份将获发额外100股",10840.789,108.408
41,9973,奇瑞汽车,100,100000,10000000,"21,600股 + 29份中的24份将获发额外100股",21682.759,216.828
42,9973,奇瑞汽车,100,148698,14869800,"32,200股 + 44份中的17份将获发额外100股",32238.636,322.386
