,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2583,西普尼,100,1,100,"54,683名申请人中547名获发100股",1.0,0.01
1,2583,西普尼,100,2,200,"11,232名申请人中151名获发100股",1.3444,0.0134
2,2583,西普尼,100,3,300,"21,735名申请人中346名获发100股",1.5919,0.0159
3,2583,西普尼,100,4,400,"3,559名申请人中64名获发100股",1.7983,0.018
4,2583,西普尼,100,5,500,"4,352名申请人中86名获发100股",1.9761,0.0198
5,2583,西普尼,100,6,600,"2,051名申请人中44名获发100股",2.1453,0.0215
6,2583,西普尼,100,7,700,"1,724名申请人中40名获发100股",2.3202,0.0232
7,2583,西普尼,100,8,800,"1,547名申请人中38名获发100股",2.4564,0.0246
8,2583,西普尼,100,9,900,"1,190名申请人中31名获发100股",2.605,0.0261
9,2583,西普尼,100,10,1000,"9,558名申请人中253名获发100股",2.647,0.0265
10,2583,西普尼,100,15,1500,"5,279名申请人中166名获发100股",3.1445,0.0314
11,2583,西普尼,100,20,2000,"3,372名申请人中120名获发100股",3.5587,0.0356
12,2583,西普尼,100,25,2500,"1,544名申请人中60名获发100股",3.886,0.0389
13,2583,西普尼,100,30,3000,"2,425名申请人中102名获发100股",4.2062,0.0421
14,2583,西普尼,100,35,3500,"1,659名申请人中75名获发100股",4.5208,0.0452
15,2583,西普尼,100,40,4000,"1,105名申请人中53名获发100股",4.7964,0.048
16,2583,西普尼,100,45,4500,642名申请人中32名获发100股,4.9844,0.0498
17,2583,西普尼,100,50,5000,"2,007名申请人中105名获发100股",5.2317,0.0523
18,2583,西普尼,100,60,6000,"1,205名申请人中68名获发100股",5.6432,0.0564
19,2583,西普尼,100,70,7000,"1,121名申请人中68名获发100股",6.066,0.0607
20,2583,西普尼,100,80,8000,884名申请人中57名获发100股,6.4479,0.0645
21,2583,西普尼,100,90,9000,776名申请人中52名获发100股,6.701,0.067
22,2583,西普尼,100,100,10000,"6,605名申请人中461名获发100股",6.9796,0.0698
23,2583,西普尼,100,200,20000,"3,712名申请人中347名获发100股",9.3481,0.0935
24,2583,西普尼,100,300,30000,"1,855名申请人中206名获发100股",11.1051,0.1111
25,2583,西普尼,100,400,40000,"1,466名申请人中184名获发100股",12.5512,0.1255
26,2583,西普尼,100,500,50000,"1,182名申请人中163名获发100股",13.7902,0.1379
27,2583,西普尼,100,600,60000,802名申请人中120名获发100股,14.9626,0.1496
28,2583,西普尼,100,700,70000,735名申请人中117名获发100股,15.9184,0.1592
29,2583,西普尼,100,800,80000,584名申请人中98名获发100股,16.7808,0.1678
30,2583,西普尼,100,900,90000,538名申请人中95名获发100股,17.6579,0.1766
31,2583,西普尼,100,1000,100000,"5,162名申请人中951名获发100股",18.4227,0.1842
32,2583,西普尼,100,2000,200000,"2,213名申请人中1,771名获发100股",80.0276,0.8003
33,2583,西普尼,100,3000,300000,100股 + 604名申请人中53名获发额外100股,108.7748,1.0877
34,2583,西普尼,100,4000,400000,100股 + 405名申请人中143名获发额外100股,135.3086,1.3531
35,2583,西普尼,100,5300,530000,"100股 + 1,388名申请人中936名获发额外100股",167.4352,1.6744
