,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2259,紫金黄金国际,100,1,100,"90,349名中45,175名获发100股",50.0,0.5
1,2259,紫金黄金国际,100,2,200,"27,058名中13,808名获发100股",51.0361,0.5104
2,2259,紫金黄金国际,100,3,300,"16,041名中8,191名获发100股",51.0604,0.5106
3,2259,紫金黄金国际,100,4,400,"10,012名中5,117名获发100股",51.1149,0.5111
4,2259,紫金黄金国际,100,5,500,"13,586名中6,951名获发100股",51.1641,0.5116
5,2259,紫金黄金国际,100,6,600,"8,669名中4,441名获发100股",51.2302,0.5123
6,2259,紫金黄金国际,100,7,700,"4,597名中2,359名获发100股",51.3161,0.5132
7,2259,紫金黄金国际,100,8,800,"5,110名中2,627名获发100股",51.4088,0.5141
8,2259,紫金黄金国际,100,9,900,"3,195名中1,646名获发100股",51.518,0.5152
9,2259,紫金黄金国际,100,10,1000,"32,546名中16,800名获发100股",51.6194,0.5162
10,2259,紫金黄金国际,100,15,1500,"10,656名中5,517名获发100股",51.7714,0.5177
11,2259,紫金黄金国际,100,20,2000,"10,255名中5,330名获发100股",51.9746,0.5197
12,2259,紫金黄金国际,100,25,2500,"5,561名中2,905名获发100股",52.2399,0.5224
13,2259,紫金黄金国际,100,30,3000,"6,064名中3,186名获发100股",52.5396,0.5254
14,2259,紫金黄金国际,100,35,3500,"3,565名中1,886名获发100股",52.9029,0.529
15,2259,紫金黄金国际,100,40,4000,"4,059名中2,164名获发100股",53.3136,0.5331
16,2259,紫金黄金国际,100,45,4500,"2,632名中1,416名获发100股",53.7988,0.538
17,2259,紫金黄金国际,100,50,5000,"6,623名中3,597名获发100股",54.3119,0.5431
18,2259,紫金黄金国际,100,60,6000,"4,691名中2,576名获发100股",54.9146,0.5491
19,2259,紫金黄金国际,100,70,7000,"3,962名中2,203名获发100股",55.6042,0.556
20,2259,紫金黄金国际,100,80,8000,"3,352名中1,891名获发100股",56.4147,0.5641
21,2259,紫金黄金国际,100,90,9000,"2,637名中1,512名获发100股",57.3383,0.5734
22,2259,紫金黄金国际,100,100,10000,"18,232名中10,643名获发100股",58.3879,0.5839
23,2259,紫金黄金国际,100,200,20000,"10,033名中6,058名获发100股",60.3965,0.604
24,2259,紫金黄金国际,100,300,30000,"6,292名中3,988名获发100股",63.3821,0.6338
25,2259,紫金黄金国际,100,400,40000,"4,394名中2,961名获发100股",67.3883,0.6739
26,2259,紫金黄金国际,100,500,50000,"3,813名中2,760名获发100股",72.3845,0.7238
27,2259,紫金黄金国际,100,600,60000,"8,658名中6,788名获发100股",78.4,0.784
28,2259,紫金黄金国际,100,700,70000,400股,400.0,4.0
29,2259,紫金黄金国际,100,800,80000,"400股 + 1,877名中31名获发额外100股",401.6516,4.0165
30,2259,紫金黄金国际,100,900,90000,"400股 + 1,397名中47名获发额外100股",403.3644,4.0336
31,2259,紫金黄金国际,100,1000,100000,"400股 + 7,311名中410名获发额外100股",405.608,4.0561
32,2259,紫金黄金国际,100,2000,200000,600股,600.0,6.0
33,2259,紫金黄金国际,100,3000,300000,800股,800.0,8.0
34,2259,紫金黄金国际,100,4000,400000,"1,000股",1000.0,10.0
35,2259,紫金黄金国际,100,5000,500000,"1,200股",1200.0,12.0
36,2259,紫金黄金国际,100,10000,1000000,"2,300股",2300.0,23.0
37,2259,紫金黄金国际,100,15000,1500000,"3,300股",3300.0,33.0
38,2259,紫金黄金国际,100,20000,2000000,"4,100股",4100.0,41.0
39,2259,紫金黄金国际,100,25000,2500000,"4,800股",4800.0,48.0
40,2259,紫金黄金国际,100,30000,3000000,"5,400股",5400.0,54.0
41,2259,紫金黄金国际,100,40000,4000000,"6,800股",6800.0,68.0
42,2259,紫金黄金国际,100,50000,5000000,"7,900股",7900.0,79.0
43,2259,紫金黄金国际,100,75000,7500000,"11,100股",11100.0,111.0
44,2259,紫金黄金国际,100,100000,10000000,"13,800股",13800.0,138.0
45,2259,紫金黄金国际,100,125000,12500000,"16,000股",16000.0,160.0
46,2259,紫金黄金国际,100,150000,15000000,"17,700股",17700.0,177.0
47,2259,紫金黄金国际,100,174495,17449500,"18,800股",18800.0,188.0
