,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2026,小马智行-W,100,1,100,"20,756名中11,416名可获配发100股",55.0,0.55
1,2026,小马智行-W,100,2,200,"5,195名中3,073名可获配发100股",59.1617,0.5916
2,2026,小马智行-W,100,3,300,"1,397名中828名可获配发100股",59.2706,0.5927
3,2026,小马智行-W,100,4,400,540名中321名可获配发100股,59.4444,0.5944
4,2026,小马智行-W,100,5,500,"1,252名中745名可获配发100股",59.5048,0.595
5,2026,小马智行-W,100,6,600,673名中401名可获配发100股,59.584,0.5958
6,2026,小马智行-W,100,7,700,249名中149名可获配发100股,59.8394,0.5984
7,2026,小马智行-W,100,8,800,236名中142名可获配发100股,60.1695,0.6017
8,2026,小马智行-W,100,9,900,145名中88名可获配发100股,60.6897,0.6069
9,2026,小马智行-W,100,10,1000,"2,516名中1,527名可获配发100股",60.6995,0.607
10,2026,小马智行-W,100,15,1500,582名中354名可获配发100股,60.8247,0.6082
11,2026,小马智行-W,100,20,2000,604名中368名可获配发100股,60.9272,0.6093
12,2026,小马智行-W,100,25,2500,207名中127名可获配发100股,61.3527,0.6135
13,2026,小马智行-W,100,30,3000,320名中197名可获配发100股,61.5625,0.6156
14,2026,小马智行-W,100,35,3500,129名中80名可获配发100股,62.0155,0.6202
15,2026,小马智行-W,100,40,4000,172名中107名可获配发100股,62.2093,0.6221
16,2026,小马智行-W,100,45,4500,149名中93名可获配发100股,62.4161,0.6242
17,2026,小马智行-W,100,50,5000,336名中210名可获配发100股,62.5,0.625
18,2026,小马智行-W,100,60,6000,232名中146名可获配发100股,62.931,0.6293
19,2026,小马智行-W,100,70,7000,107名中68名可获配发100股,63.5514,0.6355
20,2026,小马智行-W,100,80,8000,93名中60名可获配发100股,64.5161,0.6452
21,2026,小马智行-W,100,90,9000,49名中32名可获配发100股,65.3061,0.6531
22,2026,小马智行-W,100,100,10000,478名中313名可获配发100股,65.4812,0.6548
23,2026,小马智行-W,100,200,20000,202名中133名可获配发100股,65.8416,0.6584
24,2026,小马智行-W,100,300,30000,"4,400股 + 202名中118名可获配发额外100股",4458.4158,44.5842
25,2026,小马智行-W,100,400,40000,"4,600股",4600.0,46.0
26,2026,小马智行-W,100,500,50000,"4,700股",4700.0,47.0
27,2026,小马智行-W,100,600,60000,"4,800股",4800.0,48.0
28,2026,小马智行-W,100,700,70000,"4,900股",4900.0,49.0
29,2026,小马智行-W,100,800,80000,"5,000股",5000.0,50.0
30,2026,小马智行-W,100,900,90000,"5,100股",5100.0,51.0
31,2026,小马智行-W,100,1000,100000,"5,200股",5200.0,52.0
32,2026,小马智行-W,100,2000,200000,"5,300股",5300.0,53.0
33,2026,小马智行-W,100,3000,300000,"5,400股",5400.0,54.0
34,2026,小马智行-W,100,4000,400000,"5,500股",5500.0,55.0
35,2026,小马智行-W,100,5000,500000,"5,600股",5600.0,56.0
36,2026,小马智行-W,100,6000,600000,"5,700股",5700.0,57.0
37,2026,小马智行-W,100,7000,700000,"5,800股",5800.0,58.0
38,2026,小马智行-W,100,10000,1000000,"5,900股",5900.0,59.0
39,2026,小马智行-W,100,15000,1500000,"6,000股",6000.0,60.0
40,2026,小马智行-W,100,20978,2097800,"6,100股",6100.0,61.0
