,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2698,乐舒适,200,1,200,"108,042名申请人中的1,081名获得200股股份",2.0,0.01
1,2698,乐舒适,200,2,400,"19,693名申请人中的335名获得200股股份",3.4,0.02
2,2698,乐舒适,200,3,600,"7,099名申请人中的158名获得200股股份",4.45,0.02
3,2698,乐舒适,200,4,800,"6,727名申请人中的175名获得200股股份",5.2,0.03
4,2698,乐舒适,200,5,1000,"11,426名申请人中的343名获得200股股份",6.0,0.03
5,2698,乐舒适,200,6,1200,"5,800名申请人中的194名获得200股股份",6.69,0.03
6,2698,乐舒适,200,7,1400,"4,287名申请人中的165名获得200股股份",7.7,0.04
7,2698,乐舒适,200,8,1600,"8,696名申请人中的376名获得200股股份",8.65,0.04
8,2698,乐舒适,200,9,1800,"9,617名申请人中的459名获得200股股份",9.55,0.05
9,2698,乐舒适,200,10,2000,"17,474名申请人中的927名获得200股股份",10.61,0.05
10,2698,乐舒适,200,15,3000,"6,557名申请人中的414名获得200股股份",12.63,0.06
11,2698,乐舒适,200,20,4000,"5,125名申请人中的373名获得200股股份",14.56,0.07
12,2698,乐舒适,200,25,5000,"4,235名申请人中的357名获得200股股份",16.86,0.08
13,2698,乐舒适,200,30,6000,"2,479名申请人中的236名获得200股股份",19.04,0.1
14,2698,乐舒适,200,35,7000,"2,255名申请人中的238名获得200股股份",21.11,0.11
15,2698,乐舒适,200,40,8000,"2,058名申请人中的237名获得200股股份",23.04,0.12
16,2698,乐舒适,200,45,9000,"1,619名申请人中的202名获得200股股份",24.96,0.12
17,2698,乐舒适,200,50,10000,"11,002名申请人中的1,468名获得200股股份",26.69,0.13
18,2698,乐舒适,200,100,20000,"7,441名申请人中的1,660名获得200股股份",44.63,0.22
19,2698,乐舒适,200,150,30000,"4,656名申请人中的1,286名获得200股股份",55.27,0.28
20,2698,乐舒适,200,200,40000,"3,834名申请人中的1,281名获得200股股份",66.82,0.33
21,2698,乐舒适,200,250,50000,"2,782名申请人中的1,129名获得200股股份",81.16,0.41
22,2698,乐舒适,200,300,60000,"2,098名申请人中的970名获得200股股份",92.47,0.46
23,2698,乐舒适,200,350,70000,"1,599名申请人中的790名获得200股股份",98.81,0.49
24,2698,乐舒适,200,400,80000,"1,477名申请人中的787名获得200股股份",106.57,0.53
25,2698,乐舒适,200,450,90000,"1,283名申请人中的711名获得200股股份",110.83,0.55
26,2698,乐舒适,200,500,100000,"11,173名申请人中的6,369名获得200股股份",114.03,0.57
27,2698,乐舒适,200,1000,200000,"9,299名申请人中的5,580名获得200股股份",120.0,0.6
28,2698,乐舒适,200,1500,300000,"3,409名申请人中的2,672名获得200股股份",156.79,0.78
29,2698,乐舒适,200,2000,400000,"2,358名申请人中的2,076名获得200股股份",176.18,0.88
30,2698,乐舒适,200,2500,500000,"1,483名申请人中的1,409名获得200股股份",190.02,0.95
31,2698,乐舒适,200,3000,600000,811名申请人中的144名获得额外200股股份,235.51,1.18
