,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2788,创新实业,500,1,500,"37,271名中3,727名获500股股份",50.0,0.1
1,2788,创新实业,500,2,1000,"7,643名中810名获500股股份",53.0,0.11
2,2788,创新实业,500,3,1500,"4,657名中496名获500股股份",53.25,0.11
3,2788,创新实业,500,4,2000,"4,582名中495名获500股股份",54.02,0.11
4,2788,创新实业,500,5,2500,"4,520名中499名获500股股份",55.2,0.11
5,2788,创新实业,500,6,3000,"3,165名中361名获500股股份",57.03,0.11
6,2788,创新实业,500,7,3500,"1,372名中157名获500股股份",57.22,0.11
7,2788,创新实业,500,8,4000,"1,776名中204名获500股股份",57.43,0.11
8,2788,创新实业,500,9,4500,"5,245名中603名获500股股份",57.48,0.11
9,2788,创新实业,500,10,5000,"4,169名中480名获500股股份",57.57,0.12
10,2788,创新实业,500,12,6000,"1,939名中224名获500股股份",57.76,0.12
11,2788,创新实业,500,14,7000,"1,835名中244名获500股股份",66.49,0.13
12,2788,创新实业,500,16,8000,"2,215名中330名获500股股份",74.49,0.15
13,2788,创新实业,500,18,9000,"2,933名中475名获500股股份",80.97,0.16
14,2788,创新实业,500,20,10000,"6,220名中1,095名获500股股份",88.02,0.18
15,2788,创新实业,500,30,15000,"4,589名中964名获500股股份",105.03,0.21
16,2788,创新实业,500,40,20000,"4,136名中1,090名获500股股份",131.77,0.26
17,2788,创新实业,500,50,25000,"2,578名中836名获500股股份",162.14,0.32
18,2788,创新实业,500,60,30000,"2,095名中802名获500股股份",191.41,0.38
19,2788,创新实业,500,70,35000,"1,577名中693名获500股股份",219.72,0.44
20,2788,创新实业,500,80,40000,"1,569名中775名获500股股份",247.0,0.49
21,2788,创新实业,500,90,45000,"1,391名中760名获500股股份",273.19,0.55
22,2788,创新实业,500,100,50000,"2,821名中1,683名获500股股份",298.3,0.6
23,2788,创新实业,500,120,60000,"1,764名中1,241名获500股股份",351.76,0.7
24,2788,创新实业,500,140,70000,"1,458名中1,176名获500股股份",403.29,0.81
25,2788,创新实业,500,160,80000,"1,327名中1,201名获500股股份",452.52,0.91
26,2788,创新实业,500,180,90000,"1,300名中1,300名获500股股份",500.0,1.0
27,2788,创新实业,500,200,100000,"6,379名中638名获额外500股股份",550.0,1.1
28,2788,创新实业,500,400,200000,"4,043名中1,617名获额外500股股份",700.0,1.4
29,2788,创新实业,500,600,300000,"2,641名中2,641名获1000股股份",1000.0,2.0
30,2788,创新实业,500,800,400000,"3,758名中1,804名获额外500股股份",1240.0,2.48
