,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2693,金岩高岭新材,500,1,500,"48,023名获0股，13名获500股",0.13532,0.00027
1,2693,金岩高岭新材,500,2,1000,"39,203名获0股，20名获500股",0.255,0.00051
2,2693,金岩高岭新材,500,3,1500,"5,481名获0股，5名获500股",0.45577,0.00091
3,2693,金岩高岭新材,500,4,2000,"3,855名获0股，4名获500股",0.51847,0.00104
4,2693,金岩高岭新材,500,5,2500,"4,687名获0股，6名获500股",0.63942,0.00128
5,2693,金岩高岭新材,500,6,3000,"2,354名获0股，4名获500股",0.84873,0.0017
6,2693,金岩高岭新材,500,7,3500,"1,445名获0股，3名获500股",1.03675,0.00207
7,2693,金岩高岭新材,500,8,4000,"1,652名获0股，4名获500股",1.20773,0.00242
8,2693,金岩高岭新材,500,9,4500,"1,208名获0股，3名获500股",1.23967,0.00248
9,2693,金岩高岭新材,500,10,5000,"4,972名获0股，13名获500股",1.30464,0.00261
10,2693,金岩高岭新材,500,12,6000,"4,776名获0股，13名获500股",1.35841,0.00272
11,2693,金岩高岭新材,500,14,7000,"1,331名获0股，4名获500股",1.4985,0.003
12,2693,金岩高岭新材,500,16,8000,"1,202名获0股，4名获500股",1.6582,0.00332
13,2693,金岩高岭新材,500,18,9000,933名获0股，4名获500股,2.13419,0.00427
14,2693,金岩高岭新材,500,20,10000,"4,234名获0股，19名获500股",2.23347,0.00447
15,2693,金岩高岭新材,500,30,15000,"2,937名获0股，20名获500股",3.37924,0.00676
16,2693,金岩高岭新材,500,40,20000,"1,844名获0股，17名获500股",4.56956,0.00914
17,2693,金岩高岭新材,500,50,25000,"1,515名获0股，17名获500股",5.54274,0.01109
18,2693,金岩高岭新材,500,60,30000,"1,294名获0股，18名获500股",6.85933,0.01372
19,2693,金岩高岭新材,500,70,35000,926名获0股，15名获500股,7.97155,0.01594
20,2693,金岩高岭新材,500,80,40000,"1,030名获0股，19名获500股",9.05338,0.01811
21,2693,金岩高岭新材,500,90,45000,770名获0股，16名获500股,10.17812,0.02036
22,2693,金岩高岭新材,500,100,50000,"1,745名获0股，40名获500股",11.20336,0.02241
23,2693,金岩高岭新材,500,120,60000,"1,033名获0股，28名获500股",13.19892,0.0264
24,2693,金岩高岭新材,500,140,70000,924名获0股，30名获500股,15.72327,0.03145
25,2693,金岩高岭新材,500,160,80000,851名获0股，31名获500股,17.5674,0.03513
26,2693,金岩高岭新材,500,180,90000,775名获0股，32名获500股,19.81486,0.03963
27,2693,金岩高岭新材,500,200,100000,"4,134名获0股，187名获500股",21.63616,0.04327
28,2693,金岩高岭新材,500,400,200000,"3,043名获0股，276名获500股",41.58931,0.08318
29,2693,金岩高岭新材,500,600,300000,"2,118名获0股，288名获500股",59.85062,0.1197
30,2693,金岩高岭新材,500,800,400000,"1,602名获0股，291名获500股",76.8835,0.15377
31,2693,金岩高岭新材,500,1000,500000,"1,226名获0股，0名获500股",0.0,0.0
32,2693,金岩高岭新材,500,1000,500000,278名获500股,500.0,1.0
33,2693,金岩高岭新材,500,1200,600000,"2,590名获0股，708名获500股",107.54599,0.21509
34,2693,金岩高岭新材,500,1400,700000,"3,117名获0股，466名获500股",65.03022,0.13006
35,2693,金岩高岭新材,500,1600,800000,945名获0股，161名获500股,72.82764,0.14566
36,2693,金岩高岭新材,500,1800,900000,600名获0股，115名获500股,80.41958,0.16084
37,2693,金岩高岭新材,500,2000,1000000,585名获0股，125名获500股,88.02817,0.17606
38,2693,金岩高岭新材,500,2200,1100000,529名获0股，124名获500股,94.94482,0.18989
39,2693,金岩高岭新材,500,2430,1215000,"5,550名获0股，1,439名获500股",102.89932,0.2058
