,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2408,遇见小面,500,1,500,"22,374名申请人中448名将获发500股",10.0112,0.02
1,2408,遇见小面,500,2,1000,"13,207名申请人中439名将获发500股",16.6185,0.0332
2,2408,遇见小面,500,3,1500,"2,295名申请人中102名将获发500股",22.2222,0.0444
3,2408,遇见小面,500,4,2000,"1,464名申请人中80名将获发500股",27.3224,0.0546
4,2408,遇见小面,500,5,2500,"1,914名申请人中117名将获发500股",30.5643,0.0611
5,2408,遇见小面,500,6,3000,"1,007名申请人中69名将获发500股",34.2602,0.0685
6,2408,遇见小面,500,7,3500,480名申请人中37名将获发500股,38.5417,0.0771
7,2408,遇见小面,500,8,4000,564名申请人中46名将获发500股,40.7801,0.0816
8,2408,遇见小面,500,9,4500,356名申请人中32名将获发500股,44.9438,0.0899
9,2408,遇见小面,500,10,5000,"2,319名申请人中218名将获发500股",47.0017,0.094
10,2408,遇见小面,500,12,6000,529名申请人中59名将获发500股,55.7656,0.1115
11,2408,遇见小面,500,14,7000,843名申请人中101名将获发500股,59.9051,0.1198
12,2408,遇见小面,500,16,8000,488名申请人中63名将获发500股,64.5492,0.1291
13,2408,遇见小面,500,18,9000,309名申请人中44名将获发500股,71.1974,0.1424
14,2408,遇见小面,500,20,10000,"1,584名申请人中237名将获发500股",74.8106,0.1496
15,2408,遇见小面,500,30,15000,"1,012名申请人中208名将获发500股",102.7668,0.2055
16,2408,遇见小面,500,40,20000,595名申请人中147名将获发500股,123.5294,0.2471
17,2408,遇见小面,500,50,25000,511名申请人中141名将获发500股,137.9648,0.2759
18,2408,遇见小面,500,60,30000,483名申请人中154名将获发500股,159.4203,0.3188
19,2408,遇见小面,500,70,35000,276名申请人中98名将获发500股,177.5362,0.3551
20,2408,遇见小面,500,80,40000,304名申请人中115名将获发500股,189.1447,0.3783
21,2408,遇见小面,500,90,45000,239名申请人中98名将获发500股,205.0209,0.41
22,2408,遇见小面,500,100,50000,745名申请人中338名将获发500股,226.8456,0.4537
23,2408,遇见小面,500,120,60000,382名申请人中195名将获发500股,255.2356,0.5105
24,2408,遇见小面,500,140,70000,323名申请人中178名将获发500股,275.5418,0.5511
25,2408,遇见小面,500,160,80000,302名申请人中182名将获发500股,301.3245,0.6026
26,2408,遇见小面,500,180,90000,222名申请人中145名将获发500股,326.5766,0.6532
27,2408,遇见小面,500,200,100000,"1,431名申请人中1,000名将获发500股",349.406,0.6988
28,2408,遇见小面,500,400,200000,500股,500.0,1.0
29,2408,遇见小面,500,600,300000,500股 + 529名申请人中247名将获发额外500股,733.4594,1.4669
30,2408,遇见小面,500,800,400000,500股 + 367名申请人中316名将获发额外500股,930.5177,1.861
31,2408,遇见小面,500,1000,500000,"1,000股",1000.0,2.0
32,2408,遇见小面,500,1200,600000,"1,000股 + 239名申请人中80名将获发额外500股",1167.364,2.3347
33,2408,遇见小面,500,1400,700000,"1,000股 + 430名申请人中251名将获发额外500股",1291.8605,2.5837
34,2408,遇见小面,500,1600,800000,"2,000股",2000.0,4.0
35,2408,遇见小面,500,1800,900000,"2,000股 + 111名申请人中24名将获发额外500股",2108.1081,4.2162
36,2408,遇见小面,500,2000,1000000,"2,000股 + 442名申请人中177名将获发额外500股",2200.2262,4.4005
37,2408,遇见小面,500,4000,2000000,"3,500股",3500.0,7.0
38,2408,遇见小面,500,6000,3000000,"4,500股",4500.0,9.0
39,2408,遇见小面,500,8000,4000000,"5,500股",5500.0,11.0
40,2408,遇见小面,500,9736,4868000,"6,500股",6500.0,13.0
