,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2658,天域半导体,50,1,50,"18,947名中1,895名获发50股",5.0,0.1
1,2658,天域半导体,50,2,100,"4,373名中701名获发50股",8.014,0.16
2,2658,天域半导体,50,3,150,"4,092名中865名获发50股",10.57,0.211
3,2658,天域半导体,50,4,200,"2,005名中516名获发50股",12.868,0.257
4,2658,天域半导体,50,5,250,"1,392名中417名获发50股",14.978,0.3
5,2658,天域半导体,50,6,300,"1,071名中363名获发50股",16.946,0.339
6,2658,天域半导体,50,7,350,546名中206名获发50股,18.864,0.377
7,2658,天域半导体,50,8,400,496名中205名获发50股,20.665,0.413
8,2658,天域半导体,50,9,450,303名中136名获发50股,22.442,0.449
9,2658,天域半导体,50,10,500,"2,285名中1,096名获发50股",23.982,0.48
10,2658,天域半导体,50,12,600,453名中246名获发50股,27.152,0.543
11,2658,天域半导体,50,14,700,372名中225名获发50股,30.242,0.605
12,2658,天域半导体,50,16,800,632名中418名获发50股,33.07,0.661
13,2658,天域半导体,50,18,900,307名中220名获发50股,35.831,0.717
14,2658,天域半导体,50,20,1000,"1,545名中1,188名获发50股",38.447,0.769
15,2658,天域半导体,50,30,1500,50股 + 759名中10名获额外50股,50.659,1.013
16,2658,天域半导体,50,40,2000,50股 + 801名中186名获额外50股,61.61,1.232
17,2658,天域半导体,50,50,2500,50股 + 427名中186名获额外50股,71.78,1.436
18,2658,天域半导体,50,60,3000,50股 + 326名中204名获额外50股,81.288,1.626
19,2658,天域半导体,50,70,3500,50股 + 258名中208名获额外50股,90.31,1.806
20,2658,天域半导体,50,80,4000,50股 + 225名中220名获额外50股,98.889,1.978
21,2658,天域半导体,50,90,4500,100股 + 159名中23名获额外50股,107.233,2.145
22,2658,天域半导体,50,100,5000,100股 + 533名中160名获额外50股,115.011,2.3
23,2658,天域半导体,50,120,6000,100股 + 239名中145名获额外50股,130.335,2.607
24,2658,天域半导体,50,140,7000,100股 + 178名中159名获额外50股,144.663,2.893
25,2658,天域半导体,50,160,8000,150股 + 162名中27名获额外50股,158.333,3.167
26,2658,天域半导体,50,180,9000,150股 + 137名中59名获额外50股,171.533,3.431
27,2658,天域半导体,50,200,10000,150股 + 803名中550名获额外50股,184.246,3.685
28,2658,天域半导体,50,400,20000,250股 + 430名中390名获额外50股,295.349,5.907
29,2658,天域半导体,50,600,30000,350股 + 218名中172名获额外50股,389.45,7.789
30,2658,天域半导体,50,800,40000,450股 + 125名中59名获额外50股,473.6,9.472
31,2658,天域半导体,50,1000,50000,550股 + 139名中4名获额外50股,551.439,11.029
32,2658,天域半导体,50,1200,60000,600股 + 81名中39名获额外50股,624.074,12.481
33,2658,天域半导体,50,1400,70000,650股 + 65名中56名获额外50股,693.077,13.862
34,2658,天域半导体,50,1600,80000,750股 + 135名中25名获额外50股,759.259,15.185
35,2658,天域半导体,50,1800,90000,"1,400股 + 183名中147名获额外50股",1440.164,28.803
36,2658,天域半导体,50,2000,100000,"1,550股 + 142名中94名获额外50股",1583.099,31.662
37,2658,天域半导体,50,4000,200000,"3,000股",3000.0,60.0
38,2658,天域半导体,50,6000,300000,"4,350股",4350.0,87.0
39,2658,天域半导体,50,8000,400000,"5,650股",5650.0,113.0
40,2658,天域半导体,50,10000,500000,"6,950股",6950.0,139.0
41,2658,天域半导体,50,12000,600000,"8,200股",8200.0,164.0
42,2658,天域半导体,50,14000,700000,"9,450股",9450.0,189.0
43,2658,天域半导体,50,16000,800000,"10,700股",10700.0,214.0
44,2658,天域半导体,50,18000,900000,"11,900股",11900.0,238.0
45,2658,天域半导体,50,20000,1000000,"13,100股",13100.0,262.0
46,2658,天域半导体,50,30070,1503500,"19,050股",19050.0,381.0
