,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2676,纳芯微,100,1,100,"12,099名申请人中523名将获发100股",4.3227,0.0432
1,2676,纳芯微,100,2,200,"1,878名申请人中162名将获发100股",8.6262,0.0863
2,2676,纳芯微,100,3,300,915名申请人中118名将获发100股,12.8962,0.129
3,2676,纳芯微,100,4,400,815名申请人中140名将获发100股,17.1779,0.1718
4,2676,纳芯微,100,5,500,910名申请人中195名将获发100股,21.4286,0.2143
5,2676,纳芯微,100,6,600,259名申请人中66名将获发100股,25.4826,0.2548
6,2676,纳芯微,100,7,700,129名申请人中38名将获发100股,29.4574,0.2946
7,2676,纳芯微,100,8,800,215名申请人中71名将获发100股,33.0233,0.3302
8,2676,纳芯微,100,9,900,250名申请人中93名将获发100股,37.2,0.372
9,2676,纳芯微,100,10,1000,"1,423名申请人中585名将获发100股",41.1103,0.4111
10,2676,纳芯微,100,15,1500,370名申请人中227名将获发100股,61.3514,0.6135
11,2676,纳芯微,100,20,2000,407名申请人中333名将获发100股,81.8182,0.8182
12,2676,纳芯微,100,25,2500,180股 + 180名申请人中4名将额外获发100股,182.2222,1.8222
13,2676,纳芯微,100,30,3000,100股 + 256名申请人中57名将额外获发100股,122.2656,1.2227
14,2676,纳芯微,100,35,3500,100股 + 150名申请人中63名将额外获发100股,142.0,1.42
15,2676,纳芯微,100,40,4000,100股 + 154名申请人中96名将额外获发100股,162.3377,1.6234
16,2676,纳芯微,100,45,4500,100股 + 89名申请人中73名将额外获发100股,182.0225,1.8202
17,2676,纳芯微,100,50,5000,200股 + 293名申请人中6名将额外获发100股,202.0478,2.0205
18,2676,纳芯微,100,60,6000,200股 + 106名申请人中45名将额外获发100股,242.4528,2.4245
19,2676,纳芯微,100,70,7000,200股 + 61名申请人中50名将额外获发100股,281.9672,2.8197
20,2676,纳芯微,100,80,8000,300股 + 95名申请人中21名将额外获发100股,322.1053,3.2211
21,2676,纳芯微,100,90,9000,300股 + 72名申请人中45名将额外获发100股,362.5,3.625
22,2676,纳芯微,100,100,10000,400股 + 338名申请人中6名将额外获发100股,401.7751,4.0178
23,2676,纳芯微,100,200,20000,800股 + 159名申请人中2名将额外获发100股,801.2579,8.0126
24,2676,纳芯微,100,300,30000,"1,100股 + 69名申请人中68名将额外获发100股",1198.5507,11.9855
25,2676,纳芯微,100,400,40000,"1,500股 + 51名申请人中50名将额外获发100股",1598.0392,15.9804
26,2676,纳芯微,100,500,50000,"1,900股 + 74名申请人中19名将额外获发100股",1925.6757,19.2568
27,2676,纳芯微,100,600,60000,"2,300股 + 14名申请人中1名将额外获发100股",2307.1429,23.0714
28,2676,纳芯微,100,700,70000,"2,600股 + 12名申请人中11名将额外获发100股",2691.6667,26.9167
29,2676,纳芯微,100,800,80000,"3,000股 + 7名申请人中5名将额外获发100股",3071.4286,30.7143
30,2676,纳芯微,100,900,90000,"3,400股 + 8名申请人中4名将额外获发100股",3450.0,34.5
31,2676,纳芯微,100,1000,100000,"3,800股 + 35名申请人中11名将额外获发100股",3831.4286,38.3143
32,2676,纳芯微,100,1500,150000,"5,700股 + 11名申请人中5名将额外获发100股",5745.4545,57.4545
33,2676,纳芯微,100,2000,200000,"7,600股 + 15名申请人中9名将额外获发100股",7660.0,76.6
34,2676,纳芯微,100,2500,250000,"9,500股 + 3名申请人中2名将额外获发100股",9566.6667,95.6667
35,2676,纳芯微,100,3000,300000,"11,500股",11500.0,115.0
36,2676,纳芯微,100,4000,400000,"15,300股 + 7名申请人中1名将额外获发100股",15314.2857,153.1429
37,2676,纳芯微,100,5000,500000,"19,100股 + 5名申请人中3名将额外获发100股",19160.0,191.6
38,2676,纳芯微,100,6000,600000,"23,000股",23000.0,230.0
39,2676,纳芯微,100,8000,800000,"30,600股 + 2名申请人中1名将额外获发100股",30650.0,306.5
