,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2655,果下科技,100,1,100,"0股 (54,418人) 或 100股 (6,047人)",10.0,0.1
1,2655,果下科技,100,2,200,"0股 (4,960人) 或 100股 (658人)",11.713,0.117
2,2655,果下科技,100,3,300,"0股 (16,170人) 或 100股 (2,146人)",11.716,0.117
3,2655,果下科技,100,4,400,"0股 (6,147人) 或 100股 (816人)",11.717,0.117
4,2655,果下科技,100,5,500,"0股 (3,917人) 或 100股 (520人)",11.718,0.117
5,2655,果下科技,100,6,600,"0股 (1,367人) 或 100股 (182人)",11.748,0.117
6,2655,果下科技,100,7,700,"0股 (1,010人) 或 100股 (135人)",11.79,0.118
7,2655,果下科技,100,8,800,"0股 (1,062人) 或 100股 (142人)",11.794,0.118
8,2655,果下科技,100,9,900,0股 (924人) 或 100股 (124人),11.832,0.118
9,2655,果下科技,100,10,1000,"0股 (8,396人) 或 100股 (1,127人)",11.835,0.118
10,2655,果下科技,100,20,2000,"0股 (9,691人) 或 100股 (1,301人)",11.835,0.118
11,2655,果下科技,100,30,3000,"0股 (1,992人) 或 100股 (268人)",11.858,0.119
12,2655,果下科技,100,40,4000,"0股 (1,977人) 或 100股 (266人)",11.862,0.119
13,2655,果下科技,100,50,5000,"0股 (1,759人) 或 100股 (237人)",11.873,0.119
14,2655,果下科技,100,60,6000,0股 (799人) 或 100股 (109人),12.004,0.12
15,2655,果下科技,100,70,7000,0股 (738人) 或 100股 (101人),12.041,0.12
16,2655,果下科技,100,80,8000,0股 (611人) 或 100股 (84人),12.086,0.121
17,2655,果下科技,100,90,9000,0股 (582人) 或 100股 (81人),12.217,0.122
18,2655,果下科技,100,100,10000,"0股 (3,928人) 或 100股 (550人)",12.28,0.123
19,2655,果下科技,100,200,20000,"0股 (2,589人) 或 100股 (371人)",12.534,0.125
20,2655,果下科技,100,300,30000,"0股 (1,623人) 或 100股 (233人)",12.552,0.126
21,2655,果下科技,100,400,40000,"0股 (1,153人) 或 100股 (166人)",12.586,0.126
22,2655,果下科技,100,500,50000,"0股 (1,225人) 或 100股 (177人)",12.622,0.126
23,2655,果下科技,100,600,60000,0股 (674人) 或 100股 (98人),12.694,0.127
24,2655,果下科技,100,700,70000,0股 (657人) 或 100股 (96人),12.749,0.127
25,2655,果下科技,100,800,80000,0股 (561人) 或 100股 (82人),12.755,0.128
26,2655,果下科技,100,900,90000,0股 (434人) 或 100股 (64人),12.852,0.129
27,2655,果下科技,100,1000,100000,"0股 (1,930人) 或 100股 (285人)",12.868,0.129
28,2655,果下科技,100,1500,150000,"0股 (1,368人) 或 100股 (203人)",12.921,0.129
29,2655,果下科技,100,2000,200000,"0股 (1,738人) 或 100股 (258人)",12.924,0.129
30,2655,果下科技,100,2500,250000,"100股 (1,009人) 或 200股 (2,742人)",173.353,1.734
31,2655,果下科技,100,3000,300000,100股 (354人) 或 200股 (963人),173.353,1.734
32,2655,果下科技,100,3500,350000,100股 (173人) 或 200股 (473人),173.374,1.734
33,2655,果下科技,100,4000,400000,100股 (156人) 或 200股 (429人),173.333,1.733
34,2655,果下科技,100,4500,450000,100股 (93人) 或 200股 (259人),173.295,1.733
35,2655,果下科技,100,5000,500000,100股 (174人) 或 200股 (488人),173.414,1.734
36,2655,果下科技,100,6000,600000,100股 (91人) 或 200股 (258人),173.495,1.735
