,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2546,智汇矿业,1000,1,1000,"47,424名申请人中474名将获发1,000股",10.0,0.01
1,2546,智汇矿业,1000,2,2000,"28,245名申请人中311名将获发1,000股",11.011,0.011
2,2546,智汇矿业,1000,3,3000,"4,646名申请人中52名将获发1,000股",11.192,0.011
3,2546,智汇矿业,1000,4,4000,"3,232名申请人中37名将获发1,000股",11.448,0.011
4,2546,智汇矿业,1000,5,5000,"3,589名申请人中43名将获发1,000股",11.982,0.012
5,2546,智汇矿业,1000,6,6000,"1,794名申请人中22名将获发1,000股",12.263,0.012
6,2546,智汇矿业,1000,7,7000,"1,287名申请人中16名将获发1,000股",12.432,0.012
7,2546,智汇矿业,1000,8,8000,"1,854名申请人中24名将获发1,000股",12.945,0.013
8,2546,智汇矿业,1000,9,9000,"1,140名申请人中15名将获发1,000股",13.158,0.013
9,2546,智汇矿业,1000,10,10000,"14,739名申请人中206名将获发1,000股",13.977,0.014
10,2546,智汇矿业,1000,15,15000,"2,975名申请人中44名将获发1,000股",14.79,0.015
11,2546,智汇矿业,1000,20,20000,"3,987名申请人中60名将获发1,000股",15.049,0.015
12,2546,智汇矿业,1000,25,25000,"2,107名申请人中32名将获发1,000股",15.188,0.015
13,2546,智汇矿业,1000,30,30000,"1,649名申请人中27名将获发1,000股",16.374,0.016
14,2546,智汇矿业,1000,35,35000,"1,174名申请人中21名将获发1,000股",17.888,0.018
15,2546,智汇矿业,1000,40,40000,"1,305名申请人中24名将获发1,000股",18.391,0.018
16,2546,智汇矿业,1000,45,45000,"1,119名申请人中21名将获发1,000股",18.767,0.019
17,2546,智汇矿业,1000,50,50000,"2,066名申请人中41名将获发1,000股",19.845,0.02
18,2546,智汇矿业,1000,60,60000,"1,473名申请人中34名将获发1,000股",23.083,0.023
19,2546,智汇矿业,1000,70,70000,"1,206名申请人中32名将获发1,000股",26.534,0.027
20,2546,智汇矿业,1000,80,80000,"1,206名申请人中36名将获发1,000股",29.851,0.03
21,2546,智汇矿业,1000,90,90000,"1,062名申请人中34名将获发1,000股",32.015,0.032
22,2546,智汇矿业,1000,100,100000,"7,285名申请人中255名将获发1,000股",35.003,0.035
23,2546,智汇矿业,1000,200,200000,"4,646名申请人中316名将获发1,000股",68.016,0.068
24,2546,智汇矿业,1000,300,300000,"3,048名申请人中302名将获发1,000股",99.081,0.099
25,2546,智汇矿业,1000,400,400000,"2,136名申请人中273名将获发1,000股",127.809,0.128
26,2546,智汇矿业,1000,500,500000,"1,956名申请人中303名将获发1,000股",154.908,0.155
27,2546,智汇矿业,1000,600,600000,"1,664名申请人中300名将获发1,000股",180.288,0.18
28,2546,智汇矿业,1000,700,700000,"1,382名申请人中281名将获发1,000股",203.328,0.203
29,2546,智汇矿业,1000,800,800000,"1,251名申请人中280名将获发1,000股",223.821,0.224
30,2546,智汇矿业,1000,900,900000,"1,084名申请人中266名将获发1,000股",245.387,0.245
31,2546,智汇矿业,1000,1000,1000000,"7,142名申请人中1,916名将获发1,000股",268.272,0.268
32,2546,智汇矿业,1000,1500,1500000,"7,167名申请人中1,935名将获发1,000股",270.0,0.27
33,2546,智汇矿业,1000,2000,2000000,"2,110名申请人中675名将获发1,000股",319.905,0.32
34,2546,智汇矿业,1000,2500,2500000,"1,297名申请人中454名将获发1,000股",350.039,0.35
35,2546,智汇矿业,1000,3000,3000000,"1,055名申请人中411名将获发1,000股",389.573,0.39
36,2546,智汇矿业,1000,3500,3500000,"721名申请人中303名将获发1,000股",420.25,0.42
37,2546,智汇矿业,1000,4000,4000000,"1,003名申请人中441名将获发1,000股",439.681,0.44
38,2546,智汇矿业,1000,5000,5000000,"725名申请人中363名将获发1,000股",500.69,0.501
39,2546,智汇矿业,1000,6098,6098000,"2,591名申请人中1,516名将获发1,000股",585.102,0.585
