,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2691,南华期货,500,1,500,"5,663份中的4,227份获发500股",373.1949,0.7464
1,2691,南华期货,500,2,1000,500股 + 688份中的339份获发额外500股,746.3663,1.4927
2,2691,南华期货,500,3,1500,"1,000股 + 147份中的35份获发额外500股",1119.0476,2.2381
3,2691,南华期货,500,4,2000,"1,000股 + 149份中的146份获发额外500股",1489.9329,2.9799
4,2691,南华期货,500,5,2500,"1,500股 + 76份中的55份获发额外500股",1861.8421,3.7237
5,2691,南华期货,500,6,3000,"2,000股 + 73份中的34份获发额外500股",2232.8767,4.4658
6,2691,南华期货,500,7,3500,"2,500股 + 46份中的9份获发额外500股",2597.8261,5.1957
7,2691,南华期货,500,8,4000,"2,500股 + 30份中的28份获发额外500股",2966.6667,5.9333
8,2691,南华期货,500,9,4500,"3,000股 + 9份中的6份获发额外500股",3333.3333,6.6667
9,2691,南华期货,500,10,5000,"3,500股 + 232份中的94份获发额外500股",3702.5862,7.4052
10,2691,南华期货,500,12,6000,"4,000股 + 29份中的25份获发额外500股",4431.0345,8.8621
11,2691,南华期货,500,14,7000,"5,000股 + 44份中的14份获发额外500股",5159.0909,10.3182
12,2691,南华期货,500,16,8000,"5,500股 + 26份中的20份获发额外500股",5884.6154,11.7692
13,2691,南华期货,500,18,9000,"6,500股 + 19份中的4份获发额外500股",6605.2632,13.2105
14,2691,南华期货,500,20,10000,"7,000股 + 77份中的52份获发额外500股",7337.6623,14.6753
15,2691,南华期货,500,30,15000,"11,000股",11000.0,22.0
16,2691,南华期货,500,40,20000,"14,500股 + 30份中的10份获发额外500股",14666.6667,29.3333
17,2691,南华期货,500,50,25000,"18,000股 + 13份中的1份获发额外500股",18038.4615,36.0769
18,2691,南华期货,500,60,30000,"21,500股 + 14份中的3份获发额外500股",21607.1429,43.2143
19,2691,南华期货,500,70,35000,"25,000股 + 5份中的2份获发额外500股",25200.0,50.4
20,2691,南华期货,500,80,40000,"28,500股 + 7份中的3份获发额外500股",28714.2857,57.4286
21,2691,南华期货,500,90,45000,"32,000股 + 2份中的1份获发额外500股",32250.0,64.5
22,2691,南华期货,500,100,50000,"35,500股 + 8份中的3份获发额外500股",35687.5,71.375
23,2691,南华期货,500,120,60000,"42,500股 + 13份中的8份获发额外500股",42807.6923,85.6154
24,2691,南华期货,500,140,70000,"49,500股 + 5份中的4份获发额外500股",49900.0,99.8
25,2691,南华期货,500,160,80000,"57,000股",57000.0,114.0
26,2691,南华期货,500,180,90000,"63,500股 + 3份中的1份获发额外500股",63666.6667,127.3333
27,2691,南华期货,500,200,100000,"70,500股 + 16份中的5份获发额外500股",70656.25,141.3125
28,2691,南华期货,500,400,200000,"141,000股 + 5份中的3份获发额外500股",141300.0,282.6
29,2691,南华期货,500,600,300000,"211,500股 + 6份中的4份获发额外500股",211833.3333,423.6667
