,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,6600,欧安机器人,100,1,100,"51,784名中3,625名获发100股股份",7.0,0.07
1,6600,欧安机器人,100,2,200,"4,768名中343名获发100股股份",7.2,0.07
2,6600,欧安机器人,100,3,300,"2,346名中169名获发100股股份",7.2,0.07
3,6600,欧安机器人,100,4,400,"1,314名中95名获发100股股份",7.23,0.07
4,6600,欧安机器人,100,5,500,"1,991名中159名获发100股股份",7.99,0.08
5,6600,欧安机器人,100,6,600,"2,681名中225名获发100股股份",8.39,0.08
6,6600,欧安机器人,100,7,700,782名中66名获发100股股份,8.44,0.08
7,6600,欧安机器人,100,8,800,611名中54名获发100股股份,8.84,0.09
8,6600,欧安机器人,100,9,900,361名中32名获发100股股份,8.86,0.09
9,6600,欧安机器人,100,10,1000,"4,707名中433名获发100股股份",9.2,0.09
10,6600,欧安机器人,100,15,1500,"1,696名中178名获发100股股份",10.5,0.11
11,6600,欧安机器人,100,20,2000,"1,329名中175名获发100股股份",13.17,0.13
12,6600,欧安机器人,100,25,2500,774名中116名获发100股股份,14.99,0.15
13,6600,欧安机器人,100,30,3000,819名中130名获发100股股份,15.87,0.16
14,6600,欧安机器人,100,35,3500,490名中86名获发100股股份,17.55,0.18
15,6600,欧安机器人,100,40,4000,569名中109名获发100股股份,19.16,0.19
16,6600,欧安机器人,100,45,4500,368名中76名获发100股股份,20.65,0.21
17,6600,欧安机器人,100,50,5000,"1,001名中215名获发100股股份",21.48,0.21
18,6600,欧安机器人,100,60,6000,721名中173名获发100股股份,24.0,0.24
19,6600,欧安机器人,100,70,7000,566名中151名获发100股股份,26.68,0.27
20,6600,欧安机器人,100,80,8000,487名中136名获发100股股份,27.93,0.28
21,6600,欧安机器人,100,90,9000,391名中116名获发100股股份,29.67,0.3
22,6600,欧安机器人,100,100,10000,"2,572名中823名获发100股股份",32.0,0.32
23,6600,欧安机器人,100,200,20000,"1,596名中990名获发100股股份",62.03,0.62
24,6600,欧安机器人,100,300,30000,809名中663名获发100股股份,81.95,0.82
25,6600,欧安机器人,100,400,40000,539名中539名获发100股股份,100.0,1.0
26,6600,欧安机器人,100,500,50000,423名中85名获发额外100股股份,120.09,1.2
27,6600,欧安机器人,100,600,60000,527名中200名获发额外100股股份,137.95,1.38
