,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,9903,天数智芯,100,1,100,"102,763名中7,193名获发100股",7.0,0.07
1,9903,天数智芯,100,2,200,"7,517名中588名获发100股",7.8223,0.0782
2,9903,天数智芯,100,3,300,"16,673名中1,307名获发100股",7.8392,0.0784
3,9903,天数智芯,100,4,400,"2,094名中165名获发100股",7.8797,0.0788
4,9903,天数智芯,100,5,500,"2,250名中178名获发100股",7.9111,0.0791
5,9903,天数智芯,100,6,600,"2,759名中219名获发100股",7.9377,0.0794
6,9903,天数智芯,100,7,700,"1,575名中126名获发100股",8.0,0.08
7,9903,天数智芯,100,8,800,823名中66名获发100股,8.0194,0.0802
8,9903,天数智芯,100,9,900,511名中41名获发100股,8.0235,0.0802
9,9903,天数智芯,100,10,1000,"7,184名中577名获发100股",8.032,0.0803
10,9903,天数智芯,100,15,1500,"2,383名中192名获发100股",8.0571,0.0806
11,9903,天数智芯,100,20,2000,"2,557名中207名获发100股",8.0954,0.081
12,9903,天数智芯,100,25,2500,"1,460名中119名获发100股",8.1507,0.0815
13,9903,天数智芯,100,30,3000,"1,789名中146名获发100股",8.1608,0.0816
14,9903,天数智芯,100,35,3500,993名中82名获发100股,8.2578,0.0826
15,9903,天数智芯,100,40,4000,"1,116名中93名获发100股",8.3333,0.0833
16,9903,天数智芯,100,45,4500,739名中62名获发100股,8.3897,0.0839
17,9903,天数智芯,100,50,5000,"1,805名中152名获发100股",8.4211,0.0842
18,9903,天数智芯,100,60,6000,"1,323名中112名获发100股",8.4656,0.0847
19,9903,天数智芯,100,70,7000,"1,378名中117名获发100股",8.4906,0.0849
20,9903,天数智芯,100,80,8000,"1,112名中95名获发100股",8.5432,0.0854
21,9903,天数智芯,100,90,9000,831名中71名获发100股,8.5439,0.0854
22,9903,天数智芯,100,100,10000,"4,595名中393名获发100股",8.5528,0.0855
23,9903,天数智芯,100,200,20000,"2,742名中235名获发100股",8.5704,0.0857
24,9903,天数智芯,100,300,30000,"2,095名中180名获发100股",8.5919,0.0859
25,9903,天数智芯,100,400,40000,"100股 + 5,722名中1,717名获发额外100股",130.008,1.3001
26,9903,天数智芯,100,500,50000,100股 + 924名中278名获发额外100股,130.0866,1.3009
27,9903,天数智芯,100,600,60000,100股 + 555名中168名获发额外100股,130.2703,1.3027
28,9903,天数智芯,100,700,70000,100股 + 477名中145名获发额外100股,130.3983,1.304
29,9903,天数智芯,100,800,80000,100股 + 357名中109名获发额外100股,130.5322,1.3053
30,9903,天数智芯,100,900,90000,100股 + 214名中66名获发额外100股,130.8411,1.3084
31,9903,天数智芯,100,1000,100000,100股 + 764名中236名获发额外100股,130.8901,1.3089
32,9903,天数智芯,100,2000,200000,100股 + 327名中102名获发额外100股,131.1927,1.3119
33,9903,天数智芯,100,3000,300000,100股 + 116名中37名获发额外100股,131.8966,1.319
34,9903,天数智芯,100,4000,400000,100股 + 61名中20名获发额外100股,132.7869,1.3279
35,9903,天数智芯,100,5000,500000,100股 + 38名中13名获发额外100股,134.2105,1.3421
36,9903,天数智芯,100,6000,600000,100股 + 32名中11名获发额外100股,134.375,1.3438
37,9903,天数智芯,100,7000,700000,100股 + 27名中10名获发额外100股,137.037,1.3704
38,9903,天数智芯,100,8000,800000,100股 + 14名中6名获发额外100股,142.8571,1.4286
39,9903,天数智芯,100,9000,900000,100股 + 11名中5名获发额外100股,145.4545,1.4545
40,9903,天数智芯,100,10000,1000000,100股 + 7名中4名获发额外100股,157.1429,1.5714
41,9903,天数智芯,100,11000,1100000,100股 + 5名中3名获发额外100股,160.0,1.6
42,9903,天数智芯,100,12716,1271600,100股 + 84名中51名获发额外100股,160.7143,1.6071
