,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,1641,红星冷链,500,1,500,"65,757名中658名将获发500股",5.003,0.01
1,1641,红星冷链,500,2,1000,"5,105名中71名将获发500股",6.954,0.014
2,1641,红星冷链,500,3,1500,"2,063名中35名将获发500股",8.483,0.017
3,1641,红星冷链,500,4,2000,"1,413名中27名将获发500股",9.554,0.019
4,1641,红星冷链,500,5,2500,"1,360名中29名将获发500股",10.662,0.021
5,1641,红星冷链,500,6,3000,751名中17名将获发500股,11.318,0.023
6,1641,红星冷链,500,7,3500,575名中14名将获发500股,12.174,0.024
7,1641,红星冷链,500,8,4000,"2,102名中55名将获发500股",13.083,0.026
8,1641,红星冷链,500,9,4500,597名中17名将获发500股,14.238,0.028
9,1641,红星冷链,500,10,5000,"2,783名中80名将获发500股",14.373,0.029
10,1641,红星冷链,500,12,6000,719名中23名将获发500股,15.995,0.032
11,1641,红星冷链,500,14,7000,503名中17名将获发500股,16.899,0.034
12,1641,红星冷链,500,16,8000,805名中29名将获发500股,18.012,0.036
13,1641,红星冷链,500,18,9000,719名中27名将获发500股,18.776,0.038
14,1641,红星冷链,500,20,10000,"1,819名中72名将获发500股",19.791,0.04
15,1641,红星冷链,500,30,15000,"1,029名中49名将获发500股",23.809,0.048
16,1641,红星冷链,500,40,20000,767名中42名将获发500股,27.38,0.055
17,1641,红星冷链,500,50,25000,689名中42名将获发500股,30.479,0.061
18,1641,红星冷链,500,60,30000,439名中29名将获发500股,33.03,0.066
19,1641,红星冷链,500,70,35000,358名中25名将获发500股,34.916,0.07
20,1641,红星冷链,500,80,40000,414名中31名将获发500股,37.44,0.075
21,1641,红星冷链,500,90,45000,256名中20名将获发500股,39.062,0.078
22,1641,红星冷链,500,100,50000,787名中65名将获发500股,41.296,0.083
23,1641,红星冷链,500,120,60000,476名中43名将获发500股,45.168,0.09
24,1641,红星冷链,500,140,70000,375名中36名将获发500股,48.0,0.096
25,1641,红星冷链,500,160,80000,450名中46名将获发500股,51.111,0.102
26,1641,红星冷链,500,180,90000,395名中43名将获发500股,54.43,0.109
27,1641,红星冷链,500,200,100000,"1,931名中217名将获发500股",56.189,0.112
28,1641,红星冷链,500,400,200000,987名中152名将获发500股,77.001,0.154
29,1641,红星冷链,500,600,300000,690名中128名将获发500股,92.754,0.186
30,1641,红星冷链,500,800,400000,891名中188名将获发500股,105.499,0.211
31,1641,红星冷链,500,1000,500000,"1,982名中793名将获发500股",200.05,0.4
32,1641,红星冷链,500,1200,600000,425名中181名将获发500股,212.941,0.426
33,1641,红星冷链,500,1400,700000,296名中132名将获发500股,222.973,0.446
34,1641,红星冷链,500,1600,800000,264名中123名将获发500股,232.955,0.466
35,1641,红星冷链,500,1800,900000,242名中117名将获发500股,241.736,0.483
36,1641,红星冷链,500,2000,1000000,260名中130名将获发500股,250.0,0.5
37,1641,红星冷链,500,2326,1163000,"1,628名中850名将获发500股",261.056,0.522
