,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,470,先导智能,100,1,100,"17,015名中3,063名获发100股",18.0,0.18
1,470,先导智能,100,2,200,"8,294名中1,659名获发100股",20.0,0.2
2,470,先导智能,100,3,300,"1,911名中516名获发100股",27.0016,0.27
3,470,先导智能,100,4,400,"1,355名中434名获发100股",32.03,0.3203
4,470,先导智能,100,5,500,"1,685名中632名获发100股",37.5074,0.3751
5,470,先导智能,100,6,600,696名中305名获发100股,43.8218,0.4382
6,470,先导智能,100,7,700,666名中336名获发100股,50.4505,0.5045
7,470,先导智能,100,8,800,614名中344名获发100股,56.0261,0.5603
8,470,先导智能,100,9,900,622名中381名获发100股,61.254,0.6125
9,470,先导智能,100,10,1000,"7,322名中4,566名获发100股",62.36,0.6236
10,470,先导智能,100,20,2000,"3,187名中2,550名获发100股",80.0126,0.8001
11,470,先导智能,100,30,3000,"1,645名中1,481名获发100股",90.0304,0.9003
12,470,先导智能,100,40,4000,100股,100.0,1.0
13,470,先导智能,100,50,5000,"100股 + 1,118名中56名获发额外100股",105.009,1.0501
14,470,先导智能,100,60,6000,100股 + 659名中53名获发额外100股,108.0425,1.0804
15,470,先导智能,100,70,7000,100股 + 492名中59名获发额外100股,111.9919,1.1199
16,470,先导智能,100,80,8000,100股 + 456名中91名获发额外100股,119.9561,1.1996
17,470,先导智能,100,90,9000,100股 + 372名中97名获发额外100股,126.0753,1.2608
18,470,先导智能,100,100,10000,"100股 + 2,417名中725名获发额外100股",129.9959,1.3
19,470,先导智能,100,200,20000,200股,200.0,2.0
20,470,先导智能,100,300,30000,300股,300.0,3.0
21,470,先导智能,100,400,40000,400股,400.0,4.0
22,470,先导智能,100,500,50000,500股,500.0,5.0
23,470,先导智能,100,600,60000,600股,600.0,6.0
24,470,先导智能,100,700,70000,700股,700.0,7.0
25,470,先导智能,100,800,80000,800股,800.0,8.0
26,470,先导智能,100,900,90000,900股,900.0,9.0
27,470,先导智能,100,1000,100000,"1,000股",1000.0,10.0
28,470,先导智能,100,1500,150000,"2,700股 + 715名中57名获发额外100股",2707.972,27.0797
29,470,先导智能,100,2000,200000,"2,900股",2900.0,29.0
30,470,先导智能,100,2500,250000,"3,100股",3100.0,31.0
31,470,先导智能,100,3000,300000,"3,300股",3300.0,33.0
32,470,先导智能,100,3500,350000,"3,500股",3500.0,35.0
33,470,先导智能,100,4000,400000,"3,700股",3700.0,37.0
34,470,先导智能,100,4500,450000,"3,900股",3900.0,39.0
35,470,先导智能,100,5000,500000,"4,100股",4100.0,41.0
36,470,先导智能,100,10000,1000000,"6,100股",6100.0,61.0
37,470,先导智能,100,15000,1500000,"8,100股",8100.0,81.0
38,470,先导智能,100,20000,2000000,"10,100股",10100.0,101.0
39,470,先导智能,100,25000,2500000,"12,100股",12100.0,121.0
40,470,先导智能,100,30000,3000000,"14,100股",14100.0,141.0
41,470,先导智能,100,40000,4000000,"18,700股",18700.0,187.0
42,470,先导智能,100,46808,4680800,"21,900股",21900.0,219.0
