,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2706,海致科技集团,200,1,200,"82,364份中有50份获发200股",0.1214,0.0006
1,2706,海致科技集团,200,2,400,"12,074份中有14份获发200股",0.2319,0.0012
2,2706,海致科技集团,200,3,600,"7,116份中有13份获发200股",0.3654,0.0018
3,2706,海致科技集团,200,4,800,"5,818份中有14份获发200股",0.4813,0.0024
4,2706,海致科技集团,200,5,1000,"5,850份中有17份获发200股",0.5812,0.0029
5,2706,海致科技集团,200,6,1200,"2,848份中有10份获发200股",0.7022,0.0035
6,2706,海致科技集团,200,7,1400,"2,009份中有8份获发200股",0.7964,0.004
7,2706,海致科技集团,200,8,1600,"11,123份中有53份获发200股",0.953,0.0048
8,2706,海致科技集团,200,9,1800,"2,433份中有13份获发200股",1.0686,0.0053
9,2706,海致科技集团,200,10,2000,"8,928份中有53份获发200股",1.1873,0.0059
10,2706,海致科技集团,200,15,3000,"6,332份中有57份获发200股",1.8004,0.009
11,2706,海致科技集团,200,20,4000,"4,198份中有50份获发200股",2.3821,0.0119
12,2706,海致科技集团,200,25,5000,"2,952份中有44份获发200股",2.981,0.0149
13,2706,海致科技集团,200,30,6000,"2,523份中有45份获发200股",3.5672,0.0178
14,2706,海致科技集团,200,35,7000,"2,128份中有44份获发200股",4.1353,0.0207
15,2706,海致科技集团,200,40,8000,"1,851份中有44份获发200股",4.7542,0.0238
16,2706,海致科技集团,200,45,9000,"1,906份中有51份获发200股",5.3515,0.0268
17,2706,海致科技集团,200,50,10000,"9,179份中有274份获发200股",5.9701,0.0299
18,2706,海致科技集团,200,100,20000,"6,641份中有396份获发200股",11.9253,0.0596
19,2706,海致科技集团,200,150,30000,"4,379份中有392份获发200股",17.9036,0.0895
20,2706,海致科技集团,200,200,40000,"3,481份中有415份获发200股",23.8443,0.1192
21,2706,海致科技集团,200,250,50000,"2,604份中有388份获发200股",29.8003,0.149
22,2706,海致科技集团,200,300,60000,"2,069份中有370份获发200股",35.7666,0.1788
23,2706,海致科技集团,200,350,70000,"1,838份中有384份获发200股",41.7845,0.2089
24,2706,海致科技集团,200,400,80000,"1,616份中有385份获发200股",47.6485,0.2382
25,2706,海致科技集团,200,450,90000,"1,274份中有342份获发200股",53.6899,0.2684
26,2706,海致科技集团,200,500,100000,"10,338份中有3,082份获发200股",59.6235,0.2981
27,2706,海致科技集团,200,1000,200000,"11,891份中有1,408份获发200股",23.6826,0.1184
28,2706,海致科技集团,200,1500,300000,"3,920份中有696份获发200股",35.5102,0.1776
29,2706,海致科技集团,200,2000,400000,"2,626份中有621份获发200股",47.2993,0.2365
30,2706,海致科技集团,200,2500,500000,"1,464份中有433份获发200股",59.153,0.2958
31,2706,海致科技集团,200,3000,600000,"1,170份中有415份获发200股",70.9402,0.3547
32,2706,海致科技集团,200,3500,700000,869份中有360份获发200股,82.8541,0.4143
33,2706,海致科技集团,200,4000,800000,765份中有362份获发200股,94.6405,0.4732
34,2706,海致科技集团,200,4500,900000,446份中有237份获发200股,106.278,0.5314
35,2706,海致科技集团,200,5000,1000000,479份中有283份获发200股,118.1639,0.5908
36,2706,海致科技集团,200,5500,1100000,267份中有174份获发200股,130.3371,0.6517
37,2706,海致科技集团,200,6000,1200000,257份中有182份获发200股,141.6342,0.7082
38,2706,海致科技集团,200,6500,1300000,219份中有168份获发200股,153.4247,0.7671
39,2706,海致科技集团,200,7008,1401600,"2,013份中有1,669份获发200股",165.8515,0.8293
