,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2726,瀚天天成,50,1,50,"19,798名中3,960名获发50股股份",10.0,0.2
1,2726,瀚天天成,50,2,100,"11,582名中2,432名获发50股股份",10.5,0.21
2,2726,瀚天天成,50,3,150,856名中187名获发50股股份,10.92,0.2184
3,2726,瀚天天成,50,4,200,"1,241名中273名获发50股股份",11.0,0.22
4,2726,瀚天天成,50,5,250,690名中152名获发50股股份,11.01449,0.22029
5,2726,瀚天天成,50,6,300,375名中84名获发50股股份,11.2,0.224
6,2726,瀚天天成,50,7,350,215名中51名获发50股股份,11.86047,0.23721
7,2726,瀚天天成,50,8,400,275名中73名获发50股股份,13.27273,0.26545
8,2726,瀚天天成,50,9,450,220名中65名获发50股股份,14.77273,0.29545
9,2726,瀚天天成,50,10,500,"1,583名中507名获发50股股份",16.01453,0.32029
10,2726,瀚天天成,50,12,600,"2,408名中910名获发50股股份",18.89535,0.37791
11,2726,瀚天天成,50,14,700,289名中125名获发50股股份,21.6263,0.43253
12,2726,瀚天天成,50,16,800,291名中135名获发50股股份,23.19588,0.46392
13,2726,瀚天天成,50,18,900,617名中312名获发50股股份,25.28363,0.50567
14,2726,瀚天天成,50,20,1000,"1,163名中629名获发50股股份",27.04299,0.54086
15,2726,瀚天天成,50,30,1500,529名中413名获发50股股份,39.03686,0.78074
16,2726,瀚天天成,50,40,2000,50股股份，另230名申请人中有31名获发额外50股股份,56.73913,1.13478
17,2726,瀚天天成,50,50,2500,50股股份，另171名申请人中有61名获发额外50股股份,67.83626,1.35673
18,2726,瀚天天成,50,60,3000,50股股份，另103名申请人中有42名获发额外50股股份,70.38835,1.40777
19,2726,瀚天天成,50,70,3500,100股股份，另122名申请人中有41名获发额外50股股份,116.80328,2.33607
20,2726,瀚天天成,50,80,4000,100股股份，另81名申请人中有39名获发额外50股股份,124.07407,2.48148
21,2726,瀚天天成,50,90,4500,100股股份，另202名申请人中有82名获发额外50股股份,120.29703,2.40594
22,2726,瀚天天成,50,100,5000,150股股份，另120名申请人中有46名获发额外50股股份,169.16667,3.38333
23,2726,瀚天天成,50,120,6000,150股股份，另70名申请人中有32名获发额外50股股份,172.85714,3.45714
24,2726,瀚天天成,50,140,7000,150股股份，另65名申请人中有26名获发额外50股股份,170.0,3.4
25,2726,瀚天天成,50,160,8000,200股股份，另82名申请人中有37名获发额外50股股份,222.56098,4.45122
26,2726,瀚天天成,50,180,9000,200股股份，另441名申请人中有172名获发额外50股股份,219.50113,4.39002
27,2726,瀚天天成,50,200,10000,200股股份，另212名申请人中有59名获发额外50股股份,213.91509,4.2783
28,2726,瀚天天成,50,400,20000,350股股份，另107名申请人中有44名获发额外50股股份,370.56075,7.41121
29,2726,瀚天天成,50,600,30000,500股股份，另69名申请人中有20名获发额外50股股份,514.49275,10.28986
30,2726,瀚天天成,50,800,40000,550股股份，另255名申请人中有75名获发额外50股股份,564.70588,11.29412
31,2726,瀚天天成,50,1000,50000,650股股份，另244名申请人中有65名获发额外50股股份,663.31967,13.26639
32,2726,瀚天天成,50,2000,100000,"2,250股股份，另27名申请人中有11名获发额外50股股份",2270.37037,45.40741
33,2726,瀚天天成,50,4000,200000,"3,250股股份，另17名申请人中有6名获发额外50股股份",3267.64706,65.35294
34,2726,瀚天天成,50,6000,300000,"4,350股股份，另9名申请人中有5名获发额外50股股份",4377.77778,87.55556
35,2726,瀚天天成,50,8000,400000,"5,250股股份，另2名申请人中有2名获发额外50股股份",5300.0,106.0
36,2726,瀚天天成,50,10000,500000,"6,300股股份，另4名申请人中有1名获发额外50股股份",6312.5,126.25
37,2726,瀚天天成,50,12000,600000,"7,200股股份，另1名申请人中有1名获发额外50股股份",7250.0,145.0
38,2726,瀚天天成,50,14000,700000,"8,250股股份，另1名申请人中有1名获发额外50股股份",8300.0,166.0
39,2726,瀚天天成,50,16000,800000,"9,200股股份，另1名申请人中有1名获发额外50股股份",9250.0,185.0
40,2726,瀚天天成,50,18000,900000,"10,000股股份，另21名申请人中有12名获发额外50股股份",10028.57143,200.57143
41,2726,瀚天天成,50,21492,1074600,"11,800股股份，另21名申请人中有21名获发额外50股股份",11850.0,237.0
