,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2050,三花智控,1,100,"40,886名中6,133名获发100股股份",15.0,0.15
1,2050,三花智控,2,200,"10,462名中2,720名获发100股股份",26.0,0.26
2,2050,三花智控,3,300,"11,734名中3,520名获发100股股份",30.0,0.3
3,2050,三花智控,4,400,"8,373名中2,806名获发100股股份",33.52,0.3352
4,2050,三花智控,5,500,"41,948名中14,892名获发100股股份",35.5,0.355
5,2050,三花智控,6,600,"9,922名中3,602名获发100股股份",36.3,0.363
6,2050,三花智控,7,700,"7,452名中2,718名获发100股股份",36.48,0.3648
7,2050,三花智控,8,800,"7,748名中3,164名获发100股股份",40.84,0.4084
8,2050,三花智控,9,900,"7,114名中3,240名获发100股股份",45.54,0.4554
9,2050,三花智控,10,1000,"33,607名中16,972名获发100股股份",50.5,0.505
10,2050,三花智控,20,2000,100股股份,100.0,1.0
11,2050,三花智控,30,3000,"100股股份，加上8,940名中82名获发额外100股股份",100.92,1.0092
12,2050,三花智控,40,4000,"100股股份，加上10,525名中3,594名获发额外100股股份",134.15,1.3415
13,2050,三花智控,50,5000,"100股股份，加上7,515名中5,048名获发额外100股股份",167.18,1.6718
14,2050,三花智控,60,6000,200股股份,200.0,2.0
15,2050,三花智控,70,7000,"200股股份, 加上3,518名中427名获发额外100股股份",212.14,2.1214
16,2050,三花智控,80,8000,"200股股份, 加上4,131名中1,720名获发额外100股股份",241.64,2.4164
17,2050,三花智控,90,9000,"200股股份, 加上3,325名中2,358名获发额外100股股份",270.92,2.7092
18,2050,三花智控,100,10000,300股股份,300.0,3.0
19,2050,三花智控,200,20000,400股股份,400.0,4.0
20,2050,三花智控,300,30000,500股股份,500.0,5.0
21,2050,三花智控,400,40000,600股股份,600.0,6.0
22,2050,三花智控,500,50000,700股股份,700.0,7.0
23,2050,三花智控,1000,100000,800股股份,800.0,8.0
24,2050,三花智控,1500,150000,1000股股份,1000.0,10.0
25,2050,三花智控,2000,200000,1200股股份,1200.0,12.0
26,2050,三花智控,2500,250000,"1,300股股份",1300.0,13.0
27,2050,三花智控,3000,300000,"1,500股股份",1500.0,15.0
28,2050,三花智控,3500,350000,"1,700股股份",1700.0,17.0
29,2050,三花智控,4000,400000,"1,900股股份",1900.0,19.0
30,2050,三花智控,4500,450000,"2,000股股份",2000.0,20.0
31,2050,三花智控,5000,500000,"2,100股股份",2100.0,21.0
32,2050,三花智控,7500,750000,"3,000股股份",3000.0,30.0
33,2050,三花智控,10000,1000000,"3,500股股份",3500.0,35.0
34,2050,三花智控,12500,1250000,"4,200股股份",4200.0,42.0
35,2050,三花智控,15000,1500000,"4,900股股份",4900.0,49.0
36,2050,三花智控,20000,2000000,"6,300股股份",6300.0,63.0
37,2050,三花智控,30000,3000000,"9,000股股份",9000.0,90.0
38,2050,三花智控,40000,4000000,"11,600股股份",11600.0,116.0
39,2050,三花智控,50000,5000000,"13,900股股份",13900.0,139.0
