代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2076,BOSS直聘－Ｗ,100,1,100,100股股份,100.0,1.0
2076,BOSS直聘－Ｗ,100,2,200,"100股股份，另1,038名申请人中有934名获得额外100股股份",189.98,1.8998
2076,BOSS直聘－Ｗ,100,3,300,100股股份，另561名申请人中有549名获得额外100股股份,197.86,1.9786
2076,BOSS直聘－Ｗ,100,4,400,200股股份,200.0,2.0
2076,BOSS直聘－Ｗ,100,5,500,200股股份，另492名申请人中有160名获得额外100股股份,232.52,2.3252
2076,BOSS直聘－Ｗ,100,6,600,200股股份，另229名申请人中有160名获得额外100股股份,269.87,2.6987
2076,BOSS直聘－Ｗ,100,7,700,300股股份,300.0,3.0
2076,BOSS直聘－Ｗ,100,8,800,300股股份，另105名申请人中有41名获得额外100股股份,339.05,3.3905
2076,BOSS直聘－Ｗ,100,9,900,300股股份，另70名申请人中有50名获得额外100股股份,371.43,3.7143
2076,BOSS直聘－Ｗ,100,10,1000,400股股份,400.0,4.0
2076,BOSS直聘－Ｗ,100,15,1500,500股股份,500.0,5.0
2076,BOSS直聘－Ｗ,100,20,2000,600股股份,600.0,6.0
2076,BOSS直聘－Ｗ,100,25,2500,700股股份,700.0,7.0
2076,BOSS直聘－Ｗ,100,30,3000,800股股份,800.0,8.0
2076,BOSS直聘－Ｗ,100,35,3500,900股股份,900.0,9.0
2076,BOSS直聘－Ｗ,100,40,4000,1000股股份,1000.0,10.0
2076,BOSS直聘－Ｗ,100,45,4500,1100股股份,1100.0,11.0
2076,BOSS直聘－Ｗ,100,50,5000,1200股股份,1200.0,12.0
2076,BOSS直聘－Ｗ,100,60,6000,1400股股份,1400.0,14.0
2076,BOSS直聘－Ｗ,100,70,7000,1600股股份,1600.0,16.0
2076,BOSS直聘－Ｗ,100,80,8000,1800股股份,1800.0,18.0
2076,BOSS直聘－Ｗ,100,90,9000,2000股股份,2000.0,20.0
2076,BOSS直聘－Ｗ,100,100,10000,2200股股份,2200.0,22.0
2076,BOSS直聘－Ｗ,100,200,20000,4300股股份,4300.0,43.0
2076,BOSS直聘－Ｗ,100,300,30000,6400股股份,6400.0,64.0
2076,BOSS直聘－Ｗ,100,400,40000,8500股股份,8500.0,85.0
2076,BOSS直聘－Ｗ,100,500,50000,10600股股份,10600.0,106.0
2076,BOSS直聘－Ｗ,100,600,60000,12700股股份,12700.0,127.0
2076,BOSS直聘－Ｗ,100,700,70000,21000股股份,21000.0,210.0
2076,BOSS直聘－Ｗ,100,800,80000,23900股股份,23900.0,239.0
2076,BOSS直聘－Ｗ,100,900,90000,26800股股份,26800.0,268.0
2076,BOSS直聘－Ｗ,100,1000,100000,29600股股份,29600.0,296.0
2076,BOSS直聘－Ｗ,100,2000,200000,58900股股份,58900.0,589.0
2076,BOSS直聘－Ｗ,100,3000,300000,88100股股份,88100.0,881.0
2076,BOSS直聘－Ｗ,100,10000,1000000,293100股股份,293100.0,2931.0
2076,BOSS直聘－Ｗ,100,15000,1500000,439400股股份,439400.0,4394.0
