,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2396,華芢生物,200,1,200,"98,545名申请人中2,464名获发200股",5.0,0.025
1,2396,華芢生物,200,2,400,"5,705名申请人中146名获发200股",5.12,0.026
2,2396,華芢生物,200,3,600,"3,049名申请人中76名获发200股",4.99,0.025
3,2396,華芢生物,200,4,800,"9,695名申请人中266名获发200股",5.49,0.027
4,2396,華芢生物,200,5,1000,"1,959名申请人中58名获发200股",5.92,0.03
5,2396,華芢生物,200,6,1200,553名申请人中18名获发200股,6.51,0.033
6,2396,華芢生物,200,7,1400,439名申请人中15名获发200股,6.83,0.034
7,2396,華芢生物,200,8,1600,432名申请人中15名获发200股,6.94,0.035
8,2396,華芢生物,200,9,1800,959名申请人中35名获发200股,7.3,0.037
9,2396,華芢生物,200,10,2000,"6,488名申请人中244名获发200股",7.52,0.038
10,2396,華芢生物,200,15,3000,"1,382名申请人中60名获发200股",8.68,0.043
11,2396,華芢生物,200,20,4000,"1,280名申请人中61名获发200股",9.53,0.048
12,2396,華芢生物,200,25,5000,835名申请人中43名获发200股,10.3,0.052
13,2396,華芢生物,200,30,6000,757名申请人中42名获发200股,11.1,0.056
14,2396,華芢生物,200,35,7000,535名申请人中31名获发200股,11.59,0.058
15,2396,華芢生物,200,40,8000,561名申请人中34名获发200股,12.12,0.061
16,2396,華芢生物,200,45,9000,355名申请人中23名获发200股,12.96,0.065
17,2396,華芢生物,200,50,10000,"2,470名申请人中161名获发200股",13.04,0.065
18,2396,華芢生物,200,100,20000,"1,723名申请人中142名获发200股",16.48,0.082
19,2396,華芢生物,200,150,30000,"1,083名申请人中103名获发200股",19.02,0.095
20,2396,華芢生物,200,200,40000,822名申请人中86名获发200股,20.92,0.105
21,2396,華芢生物,200,250,50000,616名申请人中70名获发200股,22.73,0.114
22,2396,華芢生物,200,300,60000,481名申请人中58名获发200股,24.12,0.121
23,2396,華芢生物,200,350,70000,354名申请人中45名获发200股,25.42,0.127
24,2396,華芢生物,200,400,80000,301名申请人中40名获发200股,26.58,0.133
25,2396,華芢生物,200,450,90000,560名申请人中77名获发200股,27.5,0.138
