,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2508,聖貝拉,500,1,500,"18,853名申请人中478名获发500股",12.68,0.025
1,2508,聖貝拉,500,2,1000,"3,812名申请人中193名获发500股",25.32,0.051
2,2508,聖貝拉,500,3,1500,"7,360名申请人中558名获发500股",37.91,0.076
3,2508,聖貝拉,500,4,2000,"1,306名申请人中132名获发500股",50.54,0.101
4,2508,聖貝拉,500,5,2500,"1,235名申请人中156名获发500股",63.16,0.126
5,2508,聖貝拉,500,6,3000,"1,068名申请人中162名获发500股",75.84,0.152
6,2508,聖貝拉,500,7,3500,362名申请人中64名获发500股,88.4,0.177
7,2508,聖貝拉,500,8,4000,471名申请人中95名获发500股,100.85,0.202
8,2508,聖貝拉,500,9,4500,311名申请人中70名获发500股,112.54,0.225
9,2508,聖貝拉,500,10,5000,"2,511名申请人中627名获发500股",124.85,0.25
10,2508,聖貝拉,500,12,6000,507名申请人中152名获发500股,149.9,0.3
11,2508,聖貝拉,500,14,7000,"1,336名申请人中465名获发500股",174.03,0.348
12,2508,聖貝拉,500,16,8000,485名申请人中193名获发500股,198.97,0.398
13,2508,聖貝拉,500,18,9000,325名申请人中145名获发500股,223.08,0.446
14,2508,聖貝拉,500,20,10000,"1,958名申请人中970名获发500股",247.7,0.495
15,2508,聖貝拉,500,30,15000,"1,689名申请人中1,255名获发500股",371.52,0.743
16,2508,聖貝拉,500,40,20000,"1,104名申请人中1,093名获发500股",495.02,0.99
17,2508,聖貝拉,500,50,25000,798名申请人中190名获发额外500股,619.05,1.238
18,2508,聖貝拉,500,60,30000,808名申请人中391名获发额外500股,741.96,1.484
19,2508,聖貝拉,500,70,35000,332名申请人中243名获发额外500股,866.27,1.733
20,2508,聖貝拉,500,80,40000,346名申请人中339名获发额外500股,989.88,1.98
21,2508,聖貝拉,500,90,45000,212名申请人中48名获发额外500股,1113.21,2.226
22,2508,聖貝拉,500,100,50000,920名申请人中436名获发额外500股,1236.96,2.474
23,2508,聖貝拉,500,120,60000,329名申请人中316名获发额外500股,1480.24,2.96
24,2508,聖貝拉,500,140,70000,245名申请人中110名获发额外500股,1724.49,3.449
25,2508,聖貝拉,500,160,80000,286名申请人中266名获发额外500股,1965.03,3.93
26,2508,聖貝拉,500,180,90000,164名申请人中69名获发额外500股,2210.37,4.421
27,2508,聖貝拉,500,200,100000,"1,184名申请人中1,054名获发额外500股",2445.1,4.89
28,2508,聖貝拉,500,400,200000,587名申请人中458名获发额外500股,4890.12,9.78
29,2508,聖貝拉,500,600,300000,327名申请人中220名获发额外500股,7339.45,14.679
30,2508,聖貝拉,500,800,400000,176名申请人中85名获发额外500股,9801.14,19.602
31,2508,聖貝拉,500,1000,500000,167名申请人中59名获发额外500股,12338.32,24.677
32,2508,聖貝拉,500,1200,600000,73名申请人中17名获发额外500股,14883.56,29.767
33,2508,聖貝拉,500,1400,700000,149名申请人中14名获发额外500股,17046.98,34.094
