代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2513,智譜,100,1,100,"92,859名申请人中的4,643名获得100股股份",5.0,0.05
2513,智譜,100,2,200,"12,235名申请人中的897名获得100股股份",7.33,0.0733
2513,智譜,100,3,300,"5,502名申请人中的505名获得100股股份",9.18,0.0918
2513,智譜,100,4,400,"13,605名申请人中的1,462名获得100股股份",10.75,0.1075
2513,智譜,100,5,500,"4,461名申请人中的543名获得100股股份",12.17,0.1217
2513,智譜,100,6,600,"1,699名申请人中的229名获得100股股份",13.48,0.1348
2513,智譜,100,7,700,"1,068名申请人中的157名获得100股股份",14.7,0.147
2513,智譜,100,8,800,"2,695名申请人中的425名获得100股股份",15.77,0.1577
2513,智譜,100,9,900,"1,784名申请人中的300名获得100股股份",16.82,0.1682
2513,智譜,100,10,1000,"10,763名申请人中的1,918名获得100股股份",17.82,0.1782
2513,智譜,100,15,1500,"3,513名申请人中的783名获得100股股份",22.29,0.2229
2513,智譜,100,20,2000,"3,709名申请人中的969名获得100股股份",26.13,0.2613
2513,智譜,100,25,2500,"1,896名申请人中的560名获得100股股份",29.54,0.2954
2513,智譜,100,30,3000,"2,337名申请人中的764名获得100股股份",32.69,0.3269
2513,智譜,100,35,3500,"1,331名申请人中的474名获得100股股份",35.61,0.3561
2513,智譜,100,40,4000,"1,816名申请人中的696名获得100股股份",38.33,0.3833
2513,智譜,100,45,4500,"1,141名申请人中的467名获得100股股份",40.93,0.4093
2513,智譜,100,50,5000,"2,813名申请人中的1,218名获得100股股份",43.3,0.433
2513,智譜,100,60,6000,"1,693名申请人中的811名获得100股股份",47.9,0.479
2513,智譜,100,70,7000,"1,329名申请人中的693名获得100股股份",52.14,0.5214
2513,智譜,100,80,8000,"1,460名申请人中的820名获得100股股份",56.16,0.5616
2513,智譜,100,90,9000,"1,302名申请人中的750名获得100股股份",57.6,0.576
2513,智譜,100,100,10000,"7,925名申请人中的4,888名获得100股股份",61.68,0.6168
2513,智譜,100,200,20000,100股股份,100.0,1.0
2513,智譜,100,300,30000,"100股股份，另2,898名申请人中有406名获得额外100股股份",114.01,1.1401
2513,智譜,100,400,40000,"100股股份，另2,914名申请人中有933名获得额外100股股份",132.02,1.3202
2513,智譜,100,500,50000,"100股股份，另6,994名申请人中有3,497名获得额外100股股份",150.0,1.5
2513,智譜,100,600,60000,"100股股份，另1,398名申请人中有1,010名获得额外100股股份",172.25,1.7225
2513,智譜,100,700,70000,100股股份，另817名申请人中有764名获得额外100股股份,193.51,1.9351
2513,智譜,100,800,80000,200股股份，另700名申请人中有99名获得额外100股股份,214.14,2.1414
2513,智譜,100,900,90000,200股股份，另550名申请人中有188名获得额外100股股份,234.18,2.3418
2513,智譜,100,1000,100000,"200股股份，另2,340名申请人中有1,014名获得额外100股股份",243.33,2.4333
2513,智譜,100,2000,200000,400股股份，另915名申请人中有366名获得额外100股股份,440.0,4.4
2513,智譜,100,3000,300000,600股股份，另328名申请人中有99名获得额外100股股份,630.18,6.3018
2513,智譜,100,4000,400000,800股股份,800.0,8.0
2513,智譜,100,5000,500000,900股股份,900.0,9.0
2513,智譜,100,6000,600000,1000股股份,1000.0,10.0
2513,智譜,100,7000,700000,1100股股份,1100.0,11.0
2513,智譜,100,8000,800000,1200股股份,1200.0,12.0
2513,智譜,100,9355,935500,1300股股份,1300.0,13.0
