,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2525,禾賽,20,1,20,"26,117名申请人中7,836名获发20股",6.0,0.3
1,2525,禾賽,20,2,40,"10,092名申请人中3,243名获发20股",6.43,0.32
2,2525,禾賽,20,3,60,"4,394名申请人中1,470名获发20股",6.69,0.33
3,2525,禾賽,20,4,80,"3,441名申请人中1,257名获发20股",7.31,0.37
4,2525,禾賽,20,5,100,"5,774名申请人中2,259名获发20股",7.82,0.39
5,2525,禾賽,20,6,120,"1,731名申请人中716名获发20股",8.27,0.41
6,2525,禾賽,20,7,140,"1,159名申请人中503名获发20股",8.68,0.43
7,2525,禾賽,20,8,160,"1,107名申请人中501名获发20股",9.05,0.45
8,2525,禾賽,20,9,180,859名申请人中403名获发20股,9.38,0.47
9,2525,禾賽,20,10,200,"7,475名申请人中3,616名获发20股",9.67,0.48
10,2525,禾賽,20,15,300,"3,360名申请人中1,841名获发20股",10.96,0.55
11,2525,禾賽,20,20,400,"3,105名申请人中1,858名获发20股",11.97,0.6
12,2525,禾賽,20,25,500,"2,286名申请人中1,465名获发20股",12.82,0.64
13,2525,禾賽,20,30,600,"1,384名申请人中938名获发20股",13.55,0.68
14,2525,禾賽,20,35,700,760名申请人中540名获发20股,14.21,0.71
15,2525,禾賽,20,40,800,978名申请人中724名获发20股,14.81,0.74
16,2525,禾賽,20,45,900,713名申请人中548名获发20股,15.37,0.77
17,2525,禾賽,20,50,1000,"5,191名申请人中4,114名获发20股",15.85,0.79
18,2525,禾賽,20,100,2000,"2,860名申请人中2,804名获发20股",19.61,0.98
19,2525,禾賽,20,150,3000,"1,473名申请人中？",0.0,0.0
20,2525,禾賽,20,200,4000,"1,179名申请人中251名获发额外20股",24.45,1.22
21,2525,禾賽,20,250,5000,904名申请人中270名获发额外20股,31.42,1.57
22,2525,禾賽,20,300,6000,638名申请人中238名获发额外20股,37.62,1.88
23,2525,禾賽,20,350,7000,414名申请人中182名获发额外20股,45.41,2.27
24,2525,禾賽,20,400,8000,385名申请人中193名获发额外20股,50.13,2.51
25,2525,禾賽,20,450,9000,332名申请人中185名获发额外20股,55.72,2.79
26,2525,禾賽,20,500,10000,"1,958名申请人中1,187名获发额外20股",60.62,3.03
27,2525,禾賽,20,1000,20000,"1,152名申请人中1,136名获发额外20股",98.61,4.93
