,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2526,德適-B,50,1,50,"62,439名中1,873名获发50股股份",1.5,0.03
1,2526,德適-B,50,2,100,"5,013名中167名获发50股股份",1.66667,0.03333
2,2526,德適-B,50,3,150,"1,687名中58名获发50股股份",1.71944,0.03439
3,2526,德適-B,50,4,200,"1,570名中57名获发50股股份",1.81529,0.03631
4,2526,德適-B,50,5,250,"1,569名中58名获发50股股份",1.84831,0.03697
5,2526,德適-B,50,6,300,"1,058名中41名获发50股股份",1.93762,0.03875
6,2526,德適-B,50,7,350,752名中30名获发50股股份,1.99468,0.03989
7,2526,德適-B,50,8,400,"5,549名中224名获发50股股份",2.01892,0.04038
8,2526,德適-B,50,9,450,"1,008名中42名获发50股股份",2.08333,0.04167
9,2526,德適-B,50,10,500,"3,247名中140名获发50股股份",2.15596,0.04312
10,2526,德適-B,50,12,600,858名中39名获发50股股份,2.27273,0.04545
11,2526,德適-B,50,14,700,628名中31名获发50股股份,2.46815,0.04936
12,2526,德適-B,50,16,800,"1,708名中87名获发50股股份",2.54684,0.05094
13,2526,德適-B,50,18,900,"1,193名中63名获发50股股份",2.6404,0.05281
14,2526,德適-B,50,20,1000,"2,389名中133名获发50股股份",2.78317,0.05566
15,2526,德適-B,50,30,1500,"1,444名中97名获发50股股份",3.35942,0.06719
16,2526,德適-B,50,40,2000,"1,239名中98名获发50股股份",3.95513,0.0791
17,2526,德適-B,50,50,2500,"1,041名中95名获发50股股份",4.56388,0.09128
18,2526,德適-B,50,60,3000,828名中85名获发50股股份,5.13285,0.10266
19,2526,德適-B,50,70,3500,652名中74名获发50股股份,5.67485,0.1135
20,2526,德適-B,50,80,4000,649名中82名获发50股股份,6.31741,0.12635
21,2526,德適-B,50,90,4500,547名中75名获发50股股份,6.85558,0.13711
22,2526,德適-B,50,100,5000,"1,356名中204名获发50股股份",7.52212,0.15044
23,2526,德適-B,50,120,6000,757名中131名获发50股股份,8.65258,0.17305
24,2526,德適-B,50,140,7000,713名中141名获发50股股份,9.8878,0.19776
25,2526,德適-B,50,160,8000,597名中132名获发50股股份,11.05528,0.22111
26,2526,德適-B,50,180,9000,651名中159名获发50股股份,12.21198,0.24424
27,2526,德適-B,50,200,10000,"3,031名中812名获发50股股份",13.39426,0.26789
28,2526,德適-B,50,400,20000,"1,660名中829名获发50股股份",24.96988,0.4994
29,2526,德適-B,50,600,30000,"1,020名中746名获发50股股份",36.56863,0.73137
30,2526,德適-B,50,800,40000,"1,244名中1,197名获发50股股份",48.11174,0.96223
