,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2539,樂摩科技,100,1,100,"49,112名申请人中393名获发100股",0.8,0.008
1,2539,樂摩科技,100,2,200,"36,589名申请人中361名获发100股",0.99,0.01
2,2539,樂摩科技,100,3,300,"5,709名申请人中64名获发100股",1.12,0.011
3,2539,樂摩科技,100,4,400,"4,722名申请人中58名获发100股",1.23,0.012
4,2539,樂摩科技,100,5,500,"4,542名申请人中59名获发100股",1.3,0.013
5,2539,樂摩科技,100,6,600,"2,124名申请人中30名获发100股",1.41,0.014
6,2539,樂摩科技,100,7,700,"1,729名申请人中25名获发100股",1.45,0.014
7,2539,樂摩科技,100,8,800,"1,607名申请人中24名获发100股",1.49,0.015
8,2539,樂摩科技,100,9,900,"1,167名申请人中19名获发100股",1.63,0.016
9,2539,樂摩科技,100,10,1000,"10,131名申请人中162名获发100股",1.6,0.016
10,2539,樂摩科技,100,15,1500,"3,268名申请人中59名获发100股",1.81,0.018
11,2539,樂摩科技,100,20,2000,"3,044名申请人中60名获发100股",1.97,0.02
12,2539,樂摩科技,100,25,2500,"2,207名申请人中47名获发100股",2.13,0.021
13,2539,樂摩科技,100,30,3000,"1,497名申请人中34名获发100股",2.27,0.023
14,2539,樂摩科技,100,35,3500,972名申请人中23名获发100股,2.37,0.024
15,2539,樂摩科技,100,40,4000,970名申请人中24名获发100股,2.47,0.025
16,2539,樂摩科技,100,45,4500,726名申请人中19名获发100股,2.62,0.026
17,2539,樂摩科技,100,50,5000,"1,901名申请人中50名获发100股",2.63,0.026
18,2539,樂摩科技,100,60,6000,"1,072名申请人中30名获发100股",2.8,0.028
19,2539,樂摩科技,100,70,7000,939名申请人中27名获发100股,2.88,0.029
20,2539,樂摩科技,100,80,8000,917名申请人中28名获发100股,3.05,0.031
21,2539,樂摩科技,100,90,9000,716名申请人中23名获发100股,3.21,0.032
22,2539,樂摩科技,100,100,10000,"5,354名申请人中170名获发100股",3.18,0.032
23,2539,樂摩科技,100,200,20000,"3,883名申请人中152名获发100股",3.91,0.039
24,2539,樂摩科技,100,300,30000,"2,894名申请人中128名获发100股",4.42,0.044
25,2539,樂摩科技,100,400,40000,"1,954名申请人中94名获发100股",4.81,0.048
26,2539,樂摩科技,100,500,50000,"1,754名申请人中91名获发100股",5.19,0.052
27,2539,樂摩科技,100,600,60000,"1,236名申请人中68名获发100股",5.5,0.055
28,2539,樂摩科技,100,700,70000,"1,187名申请人中68名获发100股",5.73,0.057
29,2539,樂摩科技,100,800,80000,"1,056名申请人中63名获发100股",5.97,0.06
30,2539,樂摩科技,100,900,90000,772名申请人中48名获发100股,6.22,0.062
31,2539,樂摩科技,100,1000,100000,"1,540名申请人中98名获发100股",6.36,0.064
32,2539,樂摩科技,100,1200,120000,"2,667名申请人中179名获发100股",6.71,0.067
