代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
2560,海螺材料科技,1000,1,1000,"6,447名申请人中的4,513名获得1000股股份",700.02,0.7
2560,海螺材料科技,1000,2,2000,635名申请人中的508名获得1000股股份,800.0,0.8
2560,海螺材料科技,1000,3,3000,"1,131名申请人中的1,018名获得1000股股份",900.09,0.9001
2560,海螺材料科技,1000,4,4000,1000股股份,1000.0,1.0
2560,海螺材料科技,1000,5,5000,1000股股份，另228名申请人中有36名获得额外1000股股份,1157.89,1.1579
2560,海螺材料科技,1000,6,6000,1000股股份，另114名申请人中有40名获得额外1000股股份,1350.88,1.3509
2560,海螺材料科技,1000,7,7000,1000股股份，另47名申请人中有24名获得额外1000股股份,1510.64,1.5106
2560,海螺材料科技,1000,8,8000,1000股股份，另64名申请人中有43名获得额外1000股股份,1671.88,1.6719
2560,海螺材料科技,1000,9,9000,1000股股份，另44名申请人中有36名获得额外1000股股份,1818.18,1.8182
2560,海螺材料科技,1000,10,10000,2000股股份,2000.0,2.0
2560,海螺材料科技,1000,15,15000,2000股股份，另507名申请人中有136名获得额外1000股股份,2268.24,2.2682
2560,海螺材料科技,1000,20,20000,2000股股份，另195名申请人中有117名获得额外1000股股份,2600.0,2.6
2560,海螺材料科技,1000,25,25000,3000股股份,3000.0,3.0
2560,海螺材料科技,1000,30,30000,3000股股份，另364名申请人中有110名获得额外1000股股份,3302.2,3.3022
2560,海螺材料科技,1000,35,35000,3000股股份，另67名申请人中有46名获得额外1000股股份,3686.57,3.6866
2560,海螺材料科技,1000,40,40000,4000股股份,4000.0,4.0
2560,海螺材料科技,1000,45,45000,4000股股份，另45名申请人中有7名获得额外1000股股份,4155.56,4.1556
2560,海螺材料科技,1000,50,50000,4000股股份，另156名申请人中有63名获得额外1000股股份,4403.85,4.4038
2560,海螺材料科技,1000,60,60000,5000股股份,5000.0,5.0
2560,海螺材料科技,1000,70,70000,5000股股份，另43名申请人中有5名获得额外1000股股份,5116.28,5.1163
2560,海螺材料科技,1000,80,80000,5000股股份，另37名申请人中有17名获得额外1000股股份,5459.46,5.4595
2560,海螺材料科技,1000,90,90000,6000股股份,6000.0,6.0
2560,海螺材料科技,1000,100,100000,6000股股份，另330名申请人中有66名获得额外1000股股份,6200.0,6.2
2560,海螺材料科技,1000,200,200000,8000股股份,8000.0,8.0
2560,海螺材料科技,1000,300,300000,10000股股份,10000.0,10.0
2560,海螺材料科技,1000,400,400000,12000股股份,12000.0,12.0
2560,海螺材料科技,1000,500,500000,14000股股份,14000.0,14.0
2560,海螺材料科技,1000,600,600000,16000股股份,16000.0,16.0
2560,海螺材料科技,1000,700,700000,18000股股份,18000.0,18.0
2560,海螺材料科技,1000,800,800000,20000股股份,20000.0,20.0
2560,海螺材料科技,1000,900,900000,22000股股份,22000.0,22.0
2560,海螺材料科技,1000,1000,1000000,24000股股份,24000.0,24.0
2560,海螺材料科技,1000,2000,2000000,917000股股份,917000.0,917.0
2560,海螺材料科技,1000,3000,3000000,1372000股股份,1372000.0,1372.0
2560,海螺材料科技,1000,7249,7249000,3313000股股份,3313000.0,3313.0
