,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2565,派格生物醫藥,500,1,500,"18,543名申请人中1,483名获发500股",40.0,0.08
1,2565,派格生物醫藥,500,2,1000,"4,139名申请人中414名获发500股",50.0,0.1
2,2565,派格生物醫藥,500,3,1500,"2,155名申请人中217名获发500股",50.35,0.1
3,2565,派格生物醫藥,500,4,2000,"1,699名申请人中180名获发500股",52.97,0.11
4,2565,派格生物醫藥,500,5,2500,"1,235名申请人中133名获发500股",53.85,0.11
5,2565,派格生物醫藥,500,6,3000,"1,421名申请人中162名获发500股",57.0,0.11
6,2565,派格生物醫藥,500,7,3500,498名申请人中58名获发500股,58.23,0.12
7,2565,派格生物醫藥,500,8,4000,485名申请人中58名获发500股,59.79,0.12
8,2565,派格生物醫藥,500,9,4500,351名申请人中43名获发500股,61.25,0.12
9,2565,派格生物醫藥,500,10,5000,"2,638名申请人中330名获发500股",62.55,0.13
10,2565,派格生物醫藥,500,12,6000,"1,095名申请人中138名获发500股",63.01,0.13
11,2565,派格生物醫藥,500,14,7000,871名申请人中110名获发500股,63.15,0.13
12,2565,派格生物醫藥,500,16,8000,535名申请人中68名获发500股,63.55,0.13
13,2565,派格生物醫藥,500,18,9000,344名申请人中45名获发500股,65.41,0.13
14,2565,派格生物醫藥,500,20,10000,"2,478名申请人中330名获发500股",66.58,0.13
15,2565,派格生物醫藥,500,30,15000,"1,507名申请人中279名获发500股",92.57,0.19
16,2565,派格生物醫藥,500,40,20000,"1,167名申请人中283名获发500股",121.25,0.24
17,2565,派格生物醫藥,500,50,25000,824名申请人中246名获发500股,149.27,0.3
18,2565,派格生物醫藥,500,60,30000,716名申请人中253名获发500股,176.68,0.35
19,2565,派格生物醫藥,500,70,35000,451名申请人中182名获发500股,201.77,0.4
20,2565,派格生物醫藥,500,80,40000,383名申请人中174名获发500股,227.15,0.45
21,2565,派格生物醫藥,500,90,45000,267名申请人中134名获发500股,250.94,0.5
22,2565,派格生物醫藥,500,100,50000,882名申请人中481名获发500股,272.68,0.55
23,2565,派格生物醫藥,500,120,60000,504名申请人中324名获发500股,321.43,0.64
24,2565,派格生物醫藥,500,140,70000,368名申请人中271名获发500股,368.21,0.74
25,2565,派格生物醫藥,500,160,80000,301名申请人中249名获发500股,413.62,0.83
26,2565,派格生物醫藥,500,180,90000,215名申请人中196名获发500股,455.81,0.91
27,2565,派格生物醫藥,500,200,100000,895名申请人全部获发500股,500.0,1.0
28,2565,派格生物醫藥,500,300,150000,503名申请人中33名获发额外500股,532.8,1.07
29,2565,派格生物醫藥,500,400,200000,299名申请人中120名获发额外500股,700.67,1.4
30,2565,派格生物醫藥,500,500,250000,194名申请人中131名获发额外500股,837.63,1.68
31,2565,派格生物醫藥,500,600,300000,"31名申请人全部获发1,000股",1000.0,2.0
