,代码,名称,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2573,新琪安,1,200,"8,691名获0股, 966名获200股",20.0,0.1
1,2573,新琪安,2,400,"1,921名获0股, 0名获200股",0.0,0.0
2,2573,新琪安,3,600,"895名获0股, 0名获200股",0.0,0.0
3,2573,新琪安,4,800,"442名获0股, 872名获200股",132.72,0.6636
4,2573,新琪安,5,1000,"989名获0股, 215名获200股",35.71,0.1786
5,2573,新琪安,6,1200,"200名获0股, 0名获200股",0.0,0.0
6,2573,新琪安,7,1400,"137名获0股, 35名获200股",40.7,0.2035
7,2573,新琪安,8,1600,"167名获0股, 45名获200股",42.45,0.2123
8,2573,新琪安,9,1800,"113名获0股, 0名获200股",0.0,0.0
9,2573,新琪安,10,2000,"1,119名获0股, 331名获200股",45.66,0.2283
10,2573,新琪安,15,3000,"354名获0股, 127名获200股",52.81,0.2641
11,2573,新琪安,20,4000,"392名获0股, 163名获200股",58.74,0.2937
12,2573,新琪安,25,5000,"403名获0股, 187名获200股",63.39,0.317
13,2573,新琪安,30,6000,"190名获0股, 98名获200股",68.06,0.3403
14,2573,新琪安,35,7000,"94名获0股, 53名获200股",72.11,0.3605
15,2573,新琪安,40,8000,"130名获0股, 78名获200股",75.0,0.375
16,2573,新琪安,45,9000,"82名获0股, 53名获200股",78.52,0.3926
17,2573,新琪安,50,10000,"294名获0股, 201名获200股",81.21,0.4061
18,2573,新琪安,60,12000,"115名获0股, 89名获200股",87.25,0.4363
19,2573,新琪安,70,14000,"62名获0股, 54名获200股",93.1,0.4655
20,2573,新琪安,80,16000,"53名获0股, 49名获200股",96.08,0.4804
21,2573,新琪安,90,18000,"38名获0股, 38名获200股",100.0,0.5
22,2573,新琪安,100,20000,"138名获0股, 150名获200股",104.17,0.5208
23,2573,新琪安,150,30000,"85名获0股, 128名获200股",120.19,0.6009
24,2573,新琪安,200,40000,"35名获0股, 70名获200股",133.33,0.6667
25,2573,新琪安,250,50000,"24名获0股, 65名获200股",146.07,0.7303
26,2573,新琪安,300,60000,"10名获0股, 34名获200股",154.55,0.7727
27,2573,新琪安,350,70000,"5名获0股, 26名获200股",167.74,0.8387
28,2573,新琪安,400,80000,"4名获0股, 27名获200股",174.19,0.871
29,2573,新琪安,450,90000,"1名获0股, 14名获200股",186.67,0.9333
30,2573,新琪安,500,100000,"5名获0股, 71名获200股",186.84,0.9342
31,2573,新琪安,600,120000,"0名获0股, 15名获200股",200.0,1.0
32,2573,新琪安,700,140000,"12名获200股, 1名获400股",215.38,1.0769
33,2573,新琪安,800,160000,"11名获200股, 2名获400股",230.77,1.1538
34,2573,新琪安,900,180000,"9名获200股, 2名获400股",236.36,1.1818
35,2573,新琪安,1000,200000,"85名获200股, 20名获400股",238.1,1.1905
