,代码,名称,一手股数,申购手数,申购股数,分配基准描述,期望获配股数,期望获配手数
0,2575,軒竹生物,500,1,500,"190,432名申请人中1,895名获发500股",4.98,0.01
1,2575,軒竹生物,500,2,1000,"21,196名申请人中211名获发500股",4.98,0.01
2,2575,軒竹生物,500,3,1500,"9,928名申请人中99名获发500股",4.99,0.01
3,2575,軒竹生物,500,4,2000,"9,417名申请人中94名获发500股",4.99,0.01
4,2575,軒竹生物,500,5,2500,"6,805名申请人中68名获发500股",5.0,0.01
5,2575,軒竹生物,500,6,3000,"4,654名申请人中47名获发500股",5.05,0.01
6,2575,軒竹生物,500,7,3500,"2,586名申请人中27名获发500股",5.22,0.01
7,2575,軒竹生物,500,8,4000,"10,024名申请人中105名获发500股",5.24,0.01
8,2575,軒竹生物,500,9,4500,"1,953名申请人中21名获发500股",5.38,0.01
9,2575,軒竹生物,500,10,5000,"10,839名申请人中117名获发500股",5.4,0.01
10,2575,軒竹生物,500,12,6000,"3,094名申请人中36名获发500股",5.82,0.01
11,2575,軒竹生物,500,14,7000,"2,176名申请人中26名获发500股",5.97,0.01
12,2575,軒竹生物,500,16,8000,"4,200名申请人中51名获发500股",6.07,0.01
13,2575,軒竹生物,500,18,9000,"3,958名申请人中49名获发500股",6.19,0.01
14,2575,軒竹生物,500,20,10000,"9,105名申请人中113名获发500股",6.21,0.01
15,2575,軒竹生物,500,30,15000,"5,271名申请人中74名获发500股",7.02,0.01
16,2575,軒竹生物,500,40,20000,"4,434名申请人中63名获发500股",7.1,0.01
17,2575,軒竹生物,500,50,25000,"3,397名申请人中49名获发500股",7.21,0.01
18,2575,軒竹生物,500,60,30000,"2,885名申请人中44名获发500股",7.63,0.02
19,2575,軒竹生物,500,70,35000,"2,041名申请人中36名获发500股",8.82,0.02
20,2575,軒竹生物,500,80,40000,"2,396名申请人中48名获发500股",10.02,0.02
21,2575,軒竹生物,500,90,45000,"1,898名申请人中43名获发500股",11.33,0.02
22,2575,軒竹生物,500,100,50000,"4,356名申请人中110名获发500股",12.63,0.03
23,2575,軒竹生物,500,120,60000,"2,846名申请人中86名获发500股",15.11,0.03
24,2575,軒竹生物,500,140,70000,"2,241名申请人中79名获发500股",17.63,0.04
25,2575,軒竹生物,500,160,80000,"2,283名申请人中92名获发500股",20.15,0.04
26,2575,軒竹生物,500,180,90000,"1,904名申请人中86名获发500股",22.58,0.05
27,2575,軒竹生物,500,200,100000,"10,688名申请人中540名获发500股",25.26,0.05
28,2575,軒竹生物,500,400,200000,"6,606名申请人中662名获发500股",50.11,0.1
29,2575,軒竹生物,500,600,300000,"4,486名申请人中603名获发500股",67.21,0.13
30,2575,軒竹生物,500,800,400000,"8,406名申请人中1,160名获发500股",69.0,0.14
